"Mode","Site","Sink season","Source season","Substrate","N sinks","N sources","Water % (mean +/- SE)","Unknown % (mean +/- SE)"
"Concurrent","SELVA","Winter","Winter","All",15,6,"23.6 +/- 4.3","76.4 +/- 4.3"
"Concurrent","SELVA","Spring","Spring","All",15,6,"18.6 +/- 2.6","81.4 +/- 2.6"
"Concurrent","SELVA","Summer","Summer","All",15,6,"73.1 +/- 6.6","26.9 +/- 6.6"
"Concurrent","SELVA","Fall","Fall","All",15,5,"14 +/- 3.3","86 +/- 3.3"
"Concurrent","SELVA","Winter2","Winter2","All",14,6,"22.6 +/- 4.8","77.4 +/- 4.8"
"Concurrent","TBS","Winter","Winter","All",15,6,"25.7 +/- 1.3","74.3 +/- 1.3"
"Concurrent","TBS","Spring","Spring","All",15,6,"27.1 +/- 2.2","72.9 +/- 2.2"
"Concurrent","TBS","Summer","Summer","All",15,6,"9.4 +/- 2","90.6 +/- 2"
"Concurrent","TBS","Fall","Fall","All",15,6,"31.1 +/- 6.3","68.9 +/- 6.3"
"Concurrent","TBS","Winter2","Winter2","All",14,6,"19.6 +/- 5.3","80.4 +/- 5.3"
"Lagged","SELVA","Spring","Winter","All",15,6,"12.9 +/- 2.2","87.1 +/- 2.2"
"Lagged","SELVA","Summer","Spring","All",15,6,"62.3 +/- 8.6","37.7 +/- 8.6"
"Lagged","SELVA","Fall","Summer","All",15,6,"6.2 +/- 1.4","93.8 +/- 1.4"
"Lagged","SELVA","Winter2","Fall","All",14,5,"3.9 +/- 0.8","96.2 +/- 0.8"
"Lagged","TBS","Spring","Winter","All",15,6,"16.4 +/- 1.7","83.6 +/- 1.7"
"Lagged","TBS","Summer","Spring","All",15,6,"6.9 +/- 2.1","93.1 +/- 2.1"
"Lagged","TBS","Fall","Summer","All",15,6,"6 +/- 1.1","94 +/- 1.1"
"Lagged","TBS","Winter2","Fall","All",14,6,"5.5 +/- 1.8","94.5 +/- 1.8"
"Per substrate","SELVA","Winter","Winter","Glass",3,6,"18 +/- 11.2","82 +/- 11.2"
"Per substrate","SELVA","Winter","Winter","PE",3,6,"27.1 +/- 11.4","72.9 +/- 11.4"
"Per substrate","SELVA","Winter","Winter","PET",3,6,"19.2 +/- 9.7","80.8 +/- 9.7"
"Per substrate","SELVA","Winter","Winter","Weathered_PE",3,6,"25.4 +/- 12.8","74.6 +/- 12.8"
