"TBS_5_F2_Water_all"	"TBS_7_F2_Water_all"	"SEL_7_F1_Water_all"	"SEL_8_F1_Water_all"	"TBS_8_F3_Water_all"	"TBS_8_F1_Water_all"	"SEL_1_F1_Water_all"	"SEL_1_F2_Water_all"	"SEL_1_F3_Water_all"	"SEL_10_F1_Water_all"	"SEL_10_F2_Water_all"	"SEL_10_F3_Water_all"	"SEL_11_F1_Water_all"	"SEL_11_F2_Water_all"	"SEL_11_F3_Water_all"	"SEL_12_F1_Water_all"	"SEL_12_F2_Water_all"	"SEL_12_F3_Water_all"	"SEL_3_F1_Water_all"	"SEL_3_F2_Water_all"	"SEL_3_F3_Water_all"	"SEL_5_F1_Water_all"	"SEL_5_F2_Water_all"	"SEL_5_F3_Water_all"	"SEL_6_F1_Water_all"	"SEL_6_F2_Water_all"	"SEL_6_F3_Water_all"	"SEL_7_F2_Water_all"	"SEL_7_F3_Water_all"	"SEL_8_F2_Water_all"	"SEL_8_F3_Water_all"	"SEL_9_F1_Water_all"	"SEL_9_F2_Water_all"	"TBS_1_F1_Water_all"	"TBS_1_F2_Water_all"	"TBS_1_F3_Water_all"	"TBS_10_F1_Water_all"	"TBS_10_F2_Water_all"	"TBS_10_F3_Water_all"	"TBS_11_F1_Water_all"	"TBS_11_F2_Water_all"	"TBS_11_F3_Water_all"	"TBS_12_F1_Water_all"	"TBS_12_F2_Water_all"	"TBS_12_F3_Water_all"	"TBS_3_F1_Water_all"	"TBS_3_F2_Water_all"	"TBS_3_F3_Water_all"	"TBS_5_F1_Water_all"	"TBS_5_F3_Water_all"	"TBS_6_F1_Water_all"	"TBS_6_F2_Water_all"	"TBS_6_F3_Water_all"	"TBS_7_F1_Water_all"	"TBS_7_F3_Water_all"	"TBS_8_F2_Water_all"	"TBS_9_F1_Water_all"	"TBS_9_F2_Water_all"	"TBS_9_F3_Water_all"	"Unknown"
"TBS_SPR_PE2_Biofilm"	8.09644431238175e-07	1.72182791866486e-07	1.66834081210217e-06	8.61327151162762e-12	1.37075371906432e-11	9.52993432936166e-08	1.31669820486393e-09	3.11485718357621e-05	3.40998363830238e-05	1.3226731423777e-08	4.86061977724293e-07	1.71619311048896e-08	1.95073199128124e-11	1.23315957251665e-12	3.74501121157337e-05	1.85868955746701e-12	7.42855696679443e-05	4.16664356210506e-10	0.000196196732669789	0.00011959923892946	0.000808908173921271	4.06719013428161e-06	0.00162052130227715	0.000480203452522403	0.00745755580343623	0.000191165908083858	0.00118577291232779	0.00360594712247624	0.00889800413523509	0.00149020247326913	0.000287389626071013	3.32590742369342e-05	7.79544336888095e-13	0.00163964404722828	0.00068965783147995	0.000331513514176513	3.05823475864955e-09	9.00324655682188e-09	1.49481226839813e-06	0.00596342326099964	5.80007752495107e-10	3.61761599799899e-05	1.6150071041896e-07	1.12302132108779e-07	4.24488446129201e-06	0.037071528837125	0.00462065640667347	0.0413719970260839	7.41472949169065e-06	0.0212719033472259	8.32260769961253e-07	1.23997173942415e-05	0.0019211466308756	0.020696535691291	0.00377560742185292	7.12741589316753e-08	0.000582185733750674	0.00180935757737673	0.000177671870809414	0.831455209587521
"SEL_SUM_PE2_Biofilm"	2.6392252465793e-09	0.00138310801630406	0.00176805306594007	0.00141401533394866	6.75032589298194e-06	0.000303448702929056	3.89309051240648e-09	3.39105226915646e-09	1.18816551428356e-09	1.08759852350372e-06	1.90846226309143e-08	3.9083087181185e-08	1.1288644734894e-06	4.43941410197354e-12	4.47397769967557e-09	3.46471079797641e-11	0.00270079665589195	4.52207241403121e-07	2.47373808103259e-06	5.42231760152835e-08	3.56497319860259e-06	0.00146060410328233	0.000905208265840657	0.0455695425416559	2.78785950624229e-11	3.25259080579192e-10	2.88504217778621e-12	0.000865067141247005	0.010383495195835	0.00013650856776957	0.00136092773022957	0.0190186309083451	0.0325162142963741	0.0190886061187341	0.068000901482542	0.0230354978570602	4.49189254691874e-05	6.59317179577567e-05	1.03930664558738e-05	0.000793715249926662	0.000161823486602998	0.000153881828109464	0.00369604649014615	0.000184548291664413	0.00842736853282938	0.0375887409132238	0.00092227760844859	0.00319371093734378	2.57165211899358e-08	2.80905225357031e-06	1.15635015253192e-05	0.00254285060449524	0.0121575622131879	0.131232008202104	0.00686940652809001	0.000149038151866425	0.0323401021205072	0.329272332497466	0.0532492735088226	0.147003458792136
"TBS_SUM_PET1_Biofilm"	3.87292118082579e-08	0.000511344489955703	0.00274877784609395	0.0344820564198933	0.00185139536124586	0.000798042576267972	6.73307682212023e-05	1.76025732073142e-05	1.31024328499234e-05	1.55899659095552e-05	1.22984866406181e-05	4.50308520257704e-06	5.49589394453463e-07	1.32925126962386e-07	8.74174821074018e-05	0.000355136855572553	0.00237905188258435	3.79417907781329e-05	2.6869282244749e-05	0.000108655263197154	0.000242178222738829	9.93872410947153e-05	0.00048900754659107	4.11992818916089e-06	2.624825196842e-07	0.000400224237681828	7.57712920122946e-06	0.000256211680934122	0.00900201796338008	0.00211854130825833	0.0180519613645803	0.000268086131947986	0.00495753969936286	0.000160081529519672	5.35198874695038e-06	2.9166267685555e-05	1.21495634538972e-07	4.22538413453487e-05	7.04457773104617e-06	0.000478744490694311	5.336312728114e-07	6.76764372558406e-05	3.07604594819212e-06	1.30367237328217e-05	4.72357717087347e-06	0.0012099467452832	6.18678882888063e-05	0.00109176322130829	8.58435535332635e-07	0.000183989494699745	3.56576395974533e-06	2.87738217916112e-06	1.48268014304814e-06	0.00591791323384922	0.00571737549572739	0.000293654410620346	0.00114370676674514	7.41134408996144e-05	3.55901316198147e-05	0.904034531560218
"TBS_SUM_G1_Biofilm"	1.21414246154146e-10	6.15399494094173e-05	3.52562954764385e-05	0.00283250964692392	0.000274059186040411	0.00175460767974558	5.33607111827696e-05	1.67582573094849e-06	7.86207202705231e-06	1.67441145225316e-05	4.88290969251646e-06	1.47754647403932e-05	5.87510307098974e-07	3.68887403911914e-08	8.8068778490688e-07	0.000114875280094094	0.000392741247361405	1.22268361001143e-06	0.000280905655738952	1.15137151500233e-05	7.65460685709012e-05	1.28917552880368e-05	0.000144617967297335	7.6623054920095e-05	6.95942673102873e-08	1.52439132478172e-06	1.17160156101374e-06	0.000132680881240601	0.000141821385551668	0.00281339663056837	0.00497432138677666	0.0414583310024612	0.0408574802716949	1.22193316979571e-05	1.20533492717892e-06	2.02050703798023e-06	3.52280158102175e-08	1.11845807850296e-08	1.60029613310787e-06	0.000123267767451954	5.72892207455761e-05	2.78637412512473e-07	8.55352450306105e-07	8.16195503955199e-08	2.98907877737562e-07	0.00118101931581823	3.84937771264216e-05	5.93677903870406e-05	1.60548434952746e-11	4.53103740591885e-10	5.04087829141036e-06	4.66373593366243e-07	1.25980203014283e-09	0.000961850645901362	0.00674357789382854	0.000306422801042272	0.000131413205503075	3.14259276544548e-05	7.03178800039821e-05	0.893719924756792
"SEL_SUM_wPE1_Biofilm"	1.13915974459972e-10	0.00111560182363944	0.0182808871306842	0.000340137543859814	0.000497579166222666	0.00175476808711068	6.59013938100297e-06	4.71755507171409e-08	5.23717004945054e-07	6.61269551536862e-05	1.59082065617496e-05	0.00031611252407591	0.000410040039376786	1.97243477645562e-10	1.54858964491328e-07	2.19626040558853e-07	0.0199448141065201	0.000107370767627447	0.000203095639828731	5.67795006412011e-06	0.000108716204977866	0.0071722469597537	0.012738233179904	0.0433899102822894	5.58072512942735e-08	1.54651489911654e-07	5.73880263834864e-08	0.00319565840179836	0.0351048560286562	0.00011505004453706	0.000877867953970821	7.45261530913264e-07	2.19314916750209e-05	0.0278946209337768	0.0359994345534187	0.0649673986304311	0.00149772232242585	0.00110645154691904	0.000578519018018459	0.0109584465359794	0.00464837301503628	0.00768238420187061	0.00286775293683739	0.00508771813862264	0.00134188461268863	0.0164635989728878	0.0116766583751856	0.0216572603733245	0.00026262081629593	0.00214822014934863	0.00339653527060407	0.0115838033161224	0.102950538055384	0.125009752049287	0.015196214559816	0.00397345243959119	0.0499408735956343	0.211039894304412	0.049927406098513	0.0643513257528821
"TBS_SUM_PET3_Biofilm"	4.81135137849932e-09	0.000142050095421337	0.00649374649062771	0.0221711278966529	0.000534051504510942	0.00578812833283698	2.97514155681397e-09	2.79879471863844e-09	9.09011837542857e-09	5.66649344630624e-07	1.30487428159848e-08	3.46223485284441e-08	6.71582753840012e-09	1.63821923199787e-10	6.52124152761941e-12	1.55522719063882e-10	0.000156659905854481	3.47384464949921e-09	5.57179343223586e-06	1.81842377704926e-06	2.0489841242636e-06	9.54915933652526e-05	5.15025072927845e-05	0.000191559877604537	1.99595996890145e-08	5.6257754176276e-10	7.23314494739263e-10	9.52960646069966e-05	0.00541973006295867	0.000531952868959379	0.0388451519696199	0.0100927969499435	0.231959587009205	0.00209642608711236	0.000696609906775202	0.000224781411501446	3.17227711482311e-07	4.4087872378269e-07	3.3561420381371e-05	0.000102178436109478	2.41844732623242e-05	7.75784749124531e-06	1.96671109946339e-05	2.71218815420071e-05	0.000134967933129031	0.00291528865284535	0.000415230307602468	0.000299172417858877	1.52026601790945e-08	0.000108884234889952	5.6371243457863e-05	3.15143056078027e-06	0.000918005495912214	0.020442952005386	0.0141400332764272	0.000797807832843247	0.0655353102395945	0.00652312959993817	0.00048441258556048	0.561413282772063
"SEL_SPR_wPE2_Biofilm"	4.61388955659133e-07	3.50303483490259e-44	3.26484270602971e-30	2.70014397150148e-31	3.10884616923029e-20	6.21769569111429e-05	3.7600846946916e-05	2.56289128335406e-18	9.40335058241945e-23	3.90890799680292e-08	0.000176498409424252	7.16788576105428e-09	3.90787890436762e-23	1.01120057850865e-24	3.30517502659387e-27	5.57602348645839e-10	4.65621603247569e-10	1.26934703790964e-07	3.65868846608726e-16	7.14953823129252e-22	0.00245623360518337	1.19323995620399e-11	0.000174467672760982	3.36951409020936e-10	0.00272963319947524	7.87022317855229e-05	0.00333845389272514	0.0227079433557127	0.0599949543767073	0.237301772246637	0.000241210168118011	1.002796935939e-06	0.000124726166146714	7.01393304167779e-05	1.47185060490024e-11	7.35712918787595e-09	1.32329527030396e-12	1.7711629801587e-22	0.000346985360900328	0.000693101457865399	6.08670205518668e-13	8.16941155625298e-18	6.09751122167306e-29	1.24579368969402e-14	8.00629601412238e-23	0.000999530626979276	6.48436229487204e-11	5.44454336214286e-13	3.88430802230111e-06	0.585859366427695	5.53281902528684e-14	1.0286209882284e-11	8.9283818879581e-07	0.0415223307861128	8.97073125172038e-20	4.15944883415734e-05	1.56372036417842e-14	3.58702900423608e-05	3.28968829588889e-12	0.0410002847544042
"SEL_SUM_wPE2_Biofilm"	6.80544178600307e-13	0.00919922173888038	0.0107210406831323	0.000276122012932419	5.52485432680944e-05	0.000802284494956467	1.04426855290894e-05	1.28180439953373e-06	4.94821321735607e-08	1.74686142309083e-06	5.74583113517747e-05	3.55423930805532e-06	1.43848012207519e-06	2.03515921721697e-13	7.93885414451587e-14	5.59698114933877e-14	0.0222682053516964	9.19497484467028e-06	1.30947320352057e-06	1.9501717513333e-06	5.32890685143804e-05	0.00298336711029639	0.0102106370991821	0.0271881046103152	1.44396435116814e-09	1.45171529440541e-09	1.45382624418114e-09	0.000241955035671513	0.00627453166771424	5.3666924189778e-05	0.00187235386882447	0.00160819107108591	0.00346648048905015	0.0538840369914748	0.0447589270415807	0.01554624376743	0.00115467691548812	0.000161586100754063	0.00044454021979294	0.00246075958422347	0.000733828234163037	0.00305804094668535	0.00425000328663666	0.00376685746288282	0.0417196016685936	0.00731514303946142	0.0012407838339129	0.0210688335746174	5.06951198130374e-07	9.02512618605667e-05	0.00037013574177741	0.00801461185262345	0.125653014073104	0.0220166047646987	0.160993228451721	0.000166056800959677	0.194603038008055	0.0635963970667794	0.0643905007247901	0.0611786610304344
"SEL_SUM_G1_Biofilm"	9.4748526590616e-10	0.00177833553580361	0.147169009507172	0.000685740522526733	8.66745216229024e-05	0.000282923913716317	9.47050745602899e-06	2.75621818755792e-10	1.03727847139226e-09	5.50172465267517e-05	2.73805926379248e-05	4.50538419719427e-06	1.92834145740303e-05	2.88450138084072e-13	2.60570700772508e-05	1.01838977910287e-10	0.00324207452448631	4.49354457253028e-05	5.46982975701704e-05	1.5650039501658e-11	2.16699680419471e-08	0.00123060864530204	0.000469052151836709	0.00988675305526808	1.371688255075e-08	1.4670078524486e-10	1.89323863287434e-09	3.1617655917765e-05	0.00504284384062876	0.000234895179819408	0.00290679605385699	0.0288492223089334	0.00163087419816702	0.0593944018684373	0.00225014938803831	0.0043016776555751	6.26896212975394e-05	2.86322387181339e-05	0.000150972933776866	0.000261465276604783	5.23869402789491e-05	0.000236810387576729	0.000904877392615685	3.31518970806466e-05	2.25078284299893e-05	0.0208255426492383	0.000145096976656961	0.00324269766597907	1.39581427145564e-09	4.26998720501231e-05	4.62844352675653e-06	0.00118460287523356	0.0779652820508172	0.0832047243565474	0.0284435072259991	0.000254682418708041	0.00760997956329229	0.0212620551128919	0.0121449827339803	0.472200983852059
"TBS_SUM_wPE3_Biofilm"	2.16942419463408e-09	0.00027347508629903	0.00619114771669919	0.000212500251716003	0.000855270131762382	0.00998611717588558	0.000133815731922764	8.20691345599672e-10	1.1465142494533e-10	1.54402079199976e-06	1.14571981586288e-07	1.05166535504041e-06	5.21017384548717e-06	5.08625639371139e-14	4.59938856186504e-08	3.82299410476712e-11	0.000508033883043953	2.26285141253503e-07	1.12211465545259e-06	1.24227965926655e-06	5.1717060955334e-06	0.000263669769303562	4.86622604234559e-05	0.00401591135331985	2.0576076349788e-06	1.09368003048208e-07	1.28518297412506e-07	0.000480057722990715	0.00981396985853207	0.00114464697921815	0.0106627401614237	0.161863493620163	0.242006929031951	0.00628873904136713	0.000966493425284491	0.00193663312122674	9.33216419011686e-06	8.31594508520928e-09	3.78081079568341e-05	0.00038364347755718	3.80227687597245e-05	2.3530114505608e-05	0.00011562811655842	0.000294339881191592	3.28240840559309e-05	0.00259763401124042	8.69620320283496e-05	0.00241767029789378	1.08786072775203e-07	0.00468943228753843	6.70010239268717e-05	0.000356808452668738	0.0155497048232363	0.00221860031026904	0.015239838080528	0.000475574203840038	0.0888735796299571	0.0297757503525018	0.00229987469565965	0.376745990210991
