"SEL_10_F1_Water_SELVA_Fall"	"SEL_10_F2_Water_SELVA_Fall"	"SEL_10_F3_Water_SELVA_Fall"	"SEL_9_F1_Water_SELVA_Fall"	"SEL_9_F2_Water_SELVA_Fall"	"Unknown"
"SEL_FAL_G1_Biofilm"	2.18430339569479e-06	4.35818800156756e-17	0.0658772207369425	0.0790243485108574	7.29995757516479e-14	0.855096246448732
"SEL_FAL_G2_Biofilm"	1.85563064232031e-07	2.60648086164036e-09	6.4619351521654e-13	0.000189840833810831	0.0367787066982084	0.963031264297789
"SEL_FAL_G3_Biofilm"	3.38909552439019e-09	3.60575398912853e-09	6.51737090508213e-08	0.183577076301266	0.348331982396948	0.468090869133228
"SEL_FAL_PE1_Biofilm"	0.0343974132804038	0.0564925347699324	8.12891428089026e-08	1.24373044195238e-07	1.84828600044821e-08	0.909109827804617
"SEL_FAL_PE2_Biofilm"	0.0135989079328264	0.0336742338148954	0.000489122650164342	0.143459021043394	0.0939476597854202	0.7148310547733
"SEL_FAL_PE3_Biofilm"	6.19414294909425e-10	9.05845025176889e-10	1.41793586736459e-09	4.7450746941674e-10	7.19344294907446e-14	0.999999996582225
"SEL_FAL_PET1_Biofilm"	1.74925813826367e-05	0.0170050141916364	8.842207337865e-07	0.00184835053926409	0.0661166063330766	0.915011652133906
"SEL_FAL_PET2_Biofilm"	0.00409578263681842	0.0160980907824807	3.31188402824728e-06	0.0242659020224708	0.0458994647516855	0.909637447922516
"SEL_FAL_PET3_Biofilm"	0.00297555118659333	0.0404657068001809	0.0162649949975988	0.0688802971601332	0.000808765233625081	0.870604684621869
"SEL_FAL_wPE1_Biofilm"	0.0200583436035516	0.00285561864402691	0.0243560360740503	0.00416853587466786	0.064568915654837	0.883992550148866
"SEL_FAL_wPE2_Biofilm"	0.022912815209835	0.0111677725078002	0.000593769364135274	0.0102316517671342	0.000169990807961011	0.954924000343134
"SEL_FAL_wPE3_Biofilm"	0.0479927197800877	0.0244453294425019	0.00402106691769131	0.0302753897093041	0.00909275088029217	0.884172743270123
"SEL_FAL_wPET1_Biofilm"	1.72087229192344e-07	0.000159358442474346	0.0139698989756658	0.0062614849143645	0.0449530318260222	0.934656053754244
"SEL_FAL_wPET2_Biofilm"	0.0445804279646434	0.0412922060496255	3.3933265010628e-17	5.766507771107e-05	0.105245133804245	0.808824567103775
"SEL_FAL_wPET3_Biofilm"	0.0672193984721346	0.0186526025678533	1.76654903669338e-24	0.000104964219703122	0.0838685580188467	0.830154476721462
