"SEL_5_F1_Water_SELVA_Spring"	"SEL_5_F2_Water_SELVA_Spring"	"SEL_5_F3_Water_SELVA_Spring"	"SEL_6_F1_Water_SELVA_Spring"	"SEL_6_F2_Water_SELVA_Spring"	"SEL_6_F3_Water_SELVA_Spring"	"Unknown"
"SEL_SPR_wPE2_Biofilm"	1.71423346385596e-06	0.0120002730355925	0.000192166054452125	0.000823081763415759	0.00435245492204107	6.60574481297457e-05	0.982564252542905
"SEL_SPR_G1_Biofilm"	8.8362918852109e-06	0.265846205012584	6.70285429675476e-05	0.000334481559707594	0.00643820132185672	0.000377960676842516	0.726927286594157
"SEL_SPR_G2_Biofilm"	2.57550905511863e-06	0.00344623605465337	0.0818349617564577	0.0084047938411876	0.0740090863661267	6.36590824026371e-07	0.832301709881695
"SEL_SPR_G3_Biofilm"	4.08714482229503e-05	0.214757228151501	1.14083799895581e-05	0.0264036808089931	0.044209254158262	2.15982811426583e-05	0.714555958771889
"SEL_SPR_PE1_Biofilm"	2.74732826737001e-05	0.0149901302297979	4.70797412251293e-08	0.0270080982644405	0.0033773945527378	0.000381876569645304	0.954214980020963
"SEL_SPR_PE2_Biofilm"	0.000171196693491941	0.130350311837214	0.0182247276321921	0.0479352945161072	0.0115613851383133	8.73604745772975e-05	0.791669723708104
"SEL_SPR_PE3_Biofilm"	4.4601630696654e-07	0.141608582344091	4.40360870164351e-05	0.120824376439236	0.00738930824258875	7.41364510651962e-05	0.730059114419695
"SEL_SPR_PET1_Biofilm"	0.00011723603634046	0.00201408975425067	0.206892967512024	0.00757632848430834	0.0400310407520019	0.000141717312149918	0.743226620148924
"SEL_SPR_PET2_Biofilm"	4.74815866104109e-07	0.201356204699702	0.000125149145727147	0.0234375600266872	0.0111043299103463	0.00016988578864901	0.763806395613023
"SEL_SPR_PET3_Biofilm"	8.06460135942489e-07	0.0683608616900229	0.0491171290887724	0.00131513533147986	0.0402816714470131	4.35911400882801e-07	0.840923960071175
"SEL_SPR_wPE1_Biofilm"	3.87998931567657e-05	0.125476668925538	2.73544458838095e-05	0.0218343364070914	0.00581029090388657	9.21171119607832e-05	0.846720432312482
"SEL_SPR_wPE3_Biofilm"	2.36581799240793e-05	0.253645349864745	1.31560640107773e-06	0.0525494049003771	0.0215720055208512	0.000315095434138238	0.671893170493564
"SEL_SPR_wPET1_Biofilm"	8.9272955095214e-05	0.0185705856480651	3.20471220072511e-05	0.0430721081276226	0.0116623964265462	0.0056099818388303	0.920963607881833
"SEL_SPR_wPET2_Biofilm"	8.17302635031681e-07	0.0100018199838359	3.28752715284009e-05	0.0385289755133151	0.00308423502457238	0.00025706029715858	0.948094216606955
"SEL_SPR_wPET3_Biofilm"	1.57203762794939e-06	0.238303191730467	0.00020409744710013	0.00989404138168099	0.0123180701660302	0.000125843694366908	0.739153183542726
