"SEL_7_F1_Water_SELVA_Summer"	"SEL_8_F1_Water_SELVA_Summer"	"SEL_7_F2_Water_SELVA_Summer"	"SEL_7_F3_Water_SELVA_Summer"	"SEL_8_F2_Water_SELVA_Summer"	"SEL_8_F3_Water_SELVA_Summer"	"Unknown"
"SEL_SUM_PE2_Biofilm"	0.500378949276751	0.000161501393416374	0.000395518000660661	0.395602796728618	1.56177933826418e-08	0.00926931230023624	0.0941919066825247
"SEL_SUM_wPE1_Biofilm"	0.928899978407084	0.000138525463236561	1.28172523469482e-86	0.0049110207501184	0.000373393802760999	0.00293525186495382	0.0627418297118464
"SEL_SUM_wPE2_Biofilm"	0.713818034419765	0.000243938098361507	5.1152835595406e-26	0.206258829660679	5.46734163650148e-05	0.00723768074398064	0.0723868436608483
"SEL_SUM_G1_Biofilm"	0.7030640729489	0.000488943556934363	0.0150372218803585	0.000979249893458673	0.0038117343048831	0.0174771033640043	0.259141674051461
"SEL_SUM_wPET1_Biofilm"	0.0153738282648281	6.23646830764328e-05	0.171720366786852	0.116367895156055	0.0103383103363427	0.0435823065259643	0.642554928246881
"SEL_SUM_G2_Biofilm"	0.520448760791131	0.00294419593088761	9.68696877125957e-21	0.358831323877933	3.53521160938298e-05	0.00116525213931669	0.116575115144637
"SEL_SUM_G3_Biofilm"	0.4069528488102	0.000125582179051754	4.36005705456782e-30	0.387294378893185	0.000176591313286258	0.00488298294753115	0.200567615856746
"SEL_SUM_PE1_Biofilm"	0.744349427290298	9.71103512242758e-05	0.000371566589116344	0.183685246990532	0.000114397851309124	0.00645225485936509	0.0649299960681549
"SEL_SUM_PE3_Biofilm"	3.7505373262136e-05	0.139995025834783	0.000243119418278059	0.028326411675236	0.0201342701925422	0.213680255613226	0.597583411892673
"SEL_SUM_PET1_Biofilm"	0.122388879310724	0.0001450233847676	0.000110662907271176	0.00447359796883216	0.0102025950471349	0.0158641827001578	0.846815058681113
"SEL_SUM_PET2_Biofilm"	0.0541073803321865	0.00166923360992051	5.59091852663687e-30	0.713916153083382	0.00961561141947666	0.0444924935689871	0.176199127986047
"SEL_SUM_PET3_Biofilm"	0.790586400306909	0.000198172438373469	1.15186543506704e-07	0.0991735646852996	5.24921065529565e-05	0.0323184156027543	0.077670839673567
"SEL_SUM_wPE3_Biofilm"	0.702087315933868	0.000232863219280144	4.8351895720762e-05	0.232606677378956	0.000411881192056546	0.00387683592296138	0.0607360744571573
"SEL_SUM_wPET2_Biofilm"	2.86937511838862e-05	0.442877959231959	0.000182165408615826	0.000195342877317573	0.041458425062485	0.263594002752694	0.251663410915744
"SEL_SUM_wPET3_Biofilm"	4.21707125422997e-07	0.000252789917009819	0.199922288300057	0.130050500901672	0.0405745092168297	0.115399386441399	0.513800103515907
