"SEL_11_F1_Water_SELVA_Winter2"	"SEL_11_F2_Water_SELVA_Winter2"	"SEL_11_F3_Water_SELVA_Winter2"	"SEL_12_F1_Water_SELVA_Winter2"	"SEL_12_F2_Water_SELVA_Winter2"	"SEL_12_F3_Water_SELVA_Winter2"	"Unknown"
"SEL_WIN2_G1_Biofilm"	0.0293134089720306	2.38749886241515e-68	0.0178162486069118	3.99801998823658e-226	8.01291945657966e-05	0.0660643615645192	0.886725851661973
"SEL_WIN2_G2_Biofilm"	0.149013930047363	8.43793054717567e-05	0.0908803661228591	3.10537349033654e-105	2.52337865724202e-102	0.0252480685995939	0.734773255924713
"SEL_WIN2_G3_Biofilm"	0.339453821180278	1.27171477839314e-08	0.252393714965333	2.88011856270728e-66	3.14144785938964e-182	1.14782250693755e-26	0.408152451137241
"SEL_WIN2_PE1_Biofilm"	0.0822153066000119	1.11970035116695e-06	1.51620404840276e-06	2.9300240410427e-15	1.36105917209588e-10	0.0298105039124157	0.887971553447064
"SEL_WIN2_PE2_Biofilm"	1.71488267268162e-06	5.67169210374717e-08	0.627208217152092	0.000368220598008008	2.82402501399121e-28	4.86940117555012e-06	0.37241692124913
"SEL_WIN2_PE3_Biofilm"	9.54990467285636e-06	0.0308658078897576	0.250357852654863	0.00170404056479513	4.3425425455595e-30	3.70155809613953e-07	0.717062378830101
"SEL_WIN2_PET1_Biofilm"	0.0507282220723704	9.74851567008671e-08	0.0583048554162404	3.0519611936022e-06	0.000939442772889471	0.00417287278299288	0.885851457509157
"SEL_WIN2_PET2_Biofilm"	0.113479208777938	8.87207048821997e-16	0.0114286746925869	8.91491648506457e-12	2.43943316811414e-25	0.00388964401792133	0.871202472502638
"SEL_WIN2_PET3_Biofilm"	0.00495181509656068	0.000499938980759857	0.0226414865307698	7.39679694135708e-05	0.00175158766811865	0.000213633353898293	0.969867570400479
"SEL_WIN2_wPE1_Biofilm"	2.04235385861664e-05	2.92786477030385e-30	0.037489007935965	0	0	2.62808758938494e-68	0.962490568525449
"SEL_WIN2_wPE3_Biofilm"	0.0132263133271487	1.92328897259341e-08	0.128455149936276	2.73640676996255e-30	0.0697416485558014	0.000539824649834394	0.78803704429805
"SEL_WIN2_wPET1_Biofilm"	0.0433882228498513	0.0412446054338192	3.09158230205725e-05	1.74158095302686e-45	0.000615574317220292	0.0829314548556208	0.831789226720468
"SEL_WIN2_wPET2_Biofilm"	0.137421813347366	6.43386645933613e-22	0.025168284024514	0.000974533646093031	1.5969077639075e-56	0.0621488339894593	0.774286534992567
"SEL_WIN2_wPET3_Biofilm"	0.191395514519241	6.09800146821846e-22	0.00112307601502388	3.10415358799907e-133	0.00105894991383145	0.0638993226947779	0.742523136857125
