"SEL_1_F1_Water_SELVA_Winter"	"SEL_1_F2_Water_SELVA_Winter"	"SEL_1_F3_Water_SELVA_Winter"	"SEL_3_F1_Water_SELVA_Winter"	"SEL_3_F2_Water_SELVA_Winter"	"SEL_3_F3_Water_SELVA_Winter"	"Unknown"
"SEL_3_G1_Biofilm"	2.63146026720857e-08	1.83540768693366e-08	2.73052991335517e-07	0.0178250302886555	0.00064337092482622	0.000194020217115348	0.981337260847732
"SEL_3_G2_Biofilm"	0.0317213611336355	0.00321057677340214	0.00015159730166432	0.0150544692592938	0.0167118151057438	0.0511715038222192	0.881978676604041
"SEL_3_G3_Biofilm"	8.92371335523261e-05	0.000592499892565771	5.4839347929385e-05	0.000440207415559474	0.0395415399519395	0.367418706357409	0.591862969901045
"SEL_3_PE1_Biofilm"	0.000605831091346347	0.00118644038724856	0.000146384322821662	2.37354662084592e-08	0.00928205805370278	0.115514692399966	0.873264570009448
"SEL_3_PE2_Biofilm"	0.00216896453345053	0.000934027594546498	0.00160714571046845	0.0279601006415587	0.00153238978885072	0.472141205671842	0.493656166059283
"SEL_3_PE3_Biofilm"	6.73205723143768e-05	0.000567804761893846	0.000439323373230257	0.000207708295010187	0.141114489428902	0.0460064843756705	0.811596869192978
"SEL_3_PET1_Biofilm"	0	0	0	0	0	0	1
"SEL_3_PET2_Biofilm"	1.01816450831603e-07	1.19034123745391e-07	2.18178618914212e-19	0.00345503258989354	0.0885994141250076	0.219678634076761	0.688266698357764
"SEL_3_PET3_Biofilm"	0.000782201635496629	0.00268105830499029	5.11626735031924e-13	7.06412114438552e-05	0.0117300900445093	0.254119346540069	0.730616662262979
"SEL_3_wPE1_Biofilm"	0.00363224800907269	1.0526299379087e-17	0.000181149166614721	0.000881793241686054	0.382250918231479	0.0155473233813375	0.59750656796981
"SEL_3_wPE2_Biofilm"	7.56350479702664e-07	0.000280576278640951	8.94458858977993e-06	3.58314311945742e-21	6.67760960487201e-21	8.66108139263855e-20	0.99970972278229
"SEL_3_wPE3_Biofilm"	4.64564374127876e-05	8.12991162803008e-06	0.00133974109355091	0.0210415854772438	0.00619375720920612	0.331503445287275	0.639866884583684
"SEL_3_wPET1_Biofilm"	0.000271538654023687	3.34877324109107e-05	0.00130907707515144	0.000905344622588825	0.00318984465274981	0.247733191286476	0.746557515976599
"SEL_3_wPET2_Biofilm"	9.81793977639045e-05	0.00906757202062645	0.000339862957418143	5.31980392180923e-05	0.0654701200989704	0.0574624098332265	0.867508657652777
"SEL_3_wPET3_Biofilm"	0.000255763207104099	0.000652378071999725	0.000121661733451965	0.0405358853173027	0.379423352782998	0.0208987597837578	0.558112199103386
