"TBS_10_F1_Water_TBS_Fall"	"TBS_10_F2_Water_TBS_Fall"	"TBS_10_F3_Water_TBS_Fall"	"TBS_9_F1_Water_TBS_Fall"	"TBS_9_F2_Water_TBS_Fall"	"TBS_9_F3_Water_TBS_Fall"	"Unknown"
"TBS_FAL_G1_Biofilm"	2.95473196166154e-06	0.0293576336778397	1.21435063791058e-06	0.0181382124167607	9.78104506190639e-15	3.86149643554654e-12	0.952499984818929
"TBS_FAL_G2_Biofilm"	2.93556034309826e-06	0.00319995908711234	0.00312447608461796	0.0479665311811017	1.05972284114613e-06	1.40943308450504e-23	0.945705038363984
"TBS_FAL_G3_Biofilm"	1.3920673646191e-06	0.0160449406907566	0.161301124330758	0.0158339072391268	0.000673574730543359	0.00514207224062954	0.801002988700821
"TBS_FAL_PE1_Biofilm"	1.68932240480865e-07	0.571083704541013	5.94139239422114e-10	1.45257014135793e-07	1.32633293784314e-12	8.97205792148492e-13	0.42891598067337
"TBS_FAL_PE2_Biofilm"	9.35747214180393e-07	1.90173954237184e-08	0.113018816039977	0.0410455339541979	3.7023344635039e-20	1.71723502440001e-20	0.845934695241215
"TBS_FAL_PE3_Biofilm"	1.68292117062218e-07	0.361494488139793	0.000601263169290236	0.00853317034211357	1.88371505638259e-06	4.73297274624083e-06	0.629364293368883
"TBS_FAL_PET1_Biofilm"	5.47861906365278e-07	0.220954676996346	0.0438806682855668	0.0120148590419953	0.0333643389275532	0.0053846821595537	0.684400226727078
"TBS_FAL_PET2_Biofilm"	0.0789875667418532	5.29633854792924e-32	0.0447910560721049	0.222224205185729	0.176744904483168	0.0010151561288605	0.476237111388284
"TBS_FAL_PET3_Biofilm"	7.88695648215497e-07	0.0135283411166893	0.81280680767717	0.00955789072223868	6.66084786031796e-06	0.00950281725728313	0.154596693683111
"TBS_FAL_wPE1_Biofilm"	2.29134027081399e-06	4.02617990658898e-06	0.209185270306665	0.120065343199644	3.58001665688482e-15	0.00593578082130235	0.664807288152208
"TBS_FAL_wPE2_Biofilm"	8.44946823396448e-07	0.015081489920505	0.028260276916101	0.0822253035413657	3.03628994828897e-06	5.11976080759544e-05	0.874377850777181
"TBS_FAL_wPE3_Biofilm"	0.370336622506731	1.3097669182246e-12	1.72321291730146e-16	0.132859200944481	2.59311396298734e-36	5.68193057217575e-25	0.496804176547478
"TBS_FAL_wPET1_Biofilm"	3.06238398482547e-07	0.00436771356052594	0.000131593074345917	0.516336367835834	5.56201284276685e-11	2.63001270433465e-15	0.479164019235273
"TBS_FAL_wPET2_Biofilm"	0.00049109337302546	0.0156955860089382	0.000289291354300691	0.0261434724415411	4.15658613831381e-05	3.57409339388164e-06	0.957335416867417
"TBS_FAL_wPET3_Biofilm"	1.45617102996889e-06	0.0106506426164056	0.0082548728022221	0.0365511205316116	2.13977806391807e-05	5.12514973601642e-11	0.94452051004684
