"TBS_5_F2_Water_TBS_Spring"	"TBS_5_F1_Water_TBS_Spring"	"TBS_5_F3_Water_TBS_Spring"	"TBS_6_F1_Water_TBS_Spring"	"TBS_6_F2_Water_TBS_Spring"	"TBS_6_F3_Water_TBS_Spring"	"Unknown"
"TBS_SPR_PE2_Biofilm"	2.90312446187392e-05	0.0207128848375709	0.101081977565966	2.53269964308281e-05	0.000175280243356375	0.0296703613623537	0.848305137749704
"TBS_SPR_G1_Biofilm"	6.16171841105756e-07	0.206311830837327	0.0536203085905879	0.000582079409270435	0.00111969748436107	0.10311800919805	0.635247458308562
"TBS_SPR_G2_Biofilm"	6.26331174845536e-05	0.0438026794513676	0.145653933308682	0.000369949687623359	1.97451688411513e-05	0.0348931483447604	0.775197910921241
"TBS_SPR_G3_Biofilm"	5.633738906483e-05	0.0113473569809356	0.065242444342355	1.81630334282513e-07	0.000231640700632118	0.155510937663138	0.76761110129354
"TBS_SPR_PE1_Biofilm"	3.1168083270594e-05	0.191512630742763	0.0451559256299487	7.86673077934927e-05	5.55829259535782e-05	0.137393307375447	0.625772717934824
"TBS_SPR_PE3_Biofilm"	1.18861794135561e-06	0.00226202478841046	0.0641665708306668	8.55253424950597e-05	0.000173430163324349	0.235049450538795	0.698261809718367
"TBS_SPR_PET1_Biofilm"	0.000326320118645162	6.3452638544319e-05	0.0752853924512931	0.00127380226139261	1.59640683140902e-05	0.249725071341815	0.673309997119996
"TBS_SPR_PET2_Biofilm"	1.20794019682823e-06	0.0471469955844591	0.0354305173553958	2.40513947422166e-05	0.000169985441402067	0.171681266122998	0.745545976160806
"TBS_SPR_PET3_Biofilm"	3.40103429073828e-05	0.0485178639476617	0.0936386335416087	0.000663563913244837	0.000118770273136022	0.127321855383907	0.729705302597534
"TBS_SPR_wPE1_Biofilm"	8.08977112113151e-06	0.000140034177480821	0.150880140109829	0.000163320057404764	3.24721120619309e-05	0.0455975578270077	0.803178385945095
"TBS_SPR_wPE2_Biofilm"	0.000212886730560581	0.00011538545150263	0.0716253767066002	1.78894790168439e-05	0.000678703758549561	0.215107126184822	0.712242631688948
"TBS_SPR_wPE3_Biofilm"	5.25515242789798e-07	0.000665047748919152	0.021777450857648	3.96993191903834e-05	0.000218570155897844	0.170730144790529	0.806568561612573
"TBS_SPR_wPET1_Biofilm"	9.47018096518595e-07	0.00665146415013258	0.180290899389868	0.0245280812763002	0.000212041700779716	0.00587485598824138	0.782441710476581
"TBS_SPR_wPET2_Biofilm"	2.49490770224244e-05	0.006379264899548	0.273717262939035	0.000274651408377757	0.000167242812326854	0.193291603131597	0.526145025732093
"TBS_SPR_wPET3_Biofilm"	6.92288238475473e-05	5.55027836325353e-05	0.189595610179839	8.67984671740717e-05	0.000228060616995995	0.00491282632778766	0.805051972800723
