"TBS_7_F2_Water_TBS_Summer"	"TBS_8_F3_Water_TBS_Summer"	"TBS_8_F1_Water_TBS_Summer"	"TBS_7_F1_Water_TBS_Summer"	"TBS_7_F3_Water_TBS_Summer"	"TBS_8_F2_Water_TBS_Summer"	"Unknown"
"TBS_SUM_PET1_Biofilm"	4.91973967712431e-05	0.00172448071926773	0.00867617097548137	0.00338605690262547	0.00405404480747719	0.0112361687507423	0.970873880447635
"TBS_SUM_G1_Biofilm"	4.52985019615628e-07	9.91547027339186e-05	0.0024693447604728	5.65722473073898e-05	0.00937276345454643	0.000702485690380492	0.987299226159539
"TBS_SUM_PET3_Biofilm"	0.000379658124626163	0.000167175429808444	0.0149666972075334	0.0432095812252853	0.000205421322024197	0.000983356046719494	0.940088110644003
"TBS_SUM_wPE3_Biofilm"	0.00109408376845833	4.59747210649791e-07	0.0162458169071658	0.0410638499894779	5.43435311276879e-05	0.001433142697158	0.940108303359402
"TBS_SUM_G2_Biofilm"	0.22876084717253	0.0029048644333615	0.00256382461927039	0.0164290375043677	0.0226542169852393	0.0123080845594347	0.714379124725797
"TBS_SUM_wPET1_Biofilm"	5.71490272824715e-06	0.0536121356727307	1.300738399568e-06	0.000259770925574043	0.0205670564661273	0.0512378107678924	0.874316210526548
"TBS_SUM_G3_Biofilm"	0.0301455030966567	0.000165230539541312	0.0764533040926858	0.0253898473395222	0.0599973497456723	0.000384221866215883	0.807464543319706
"TBS_SUM_PE1_Biofilm"	0.0114855838302071	0.0176745540358599	0.000157306134103494	0.00691672036244403	0.0274595040359742	0.0381632523774988	0.898143079223912
"TBS_SUM_wPET2_Biofilm"	0.000490929807507521	0.000434310716214319	0.00245847660900871	0.0318692762950426	0.0220074483386176	5.71751148369859e-05	0.942682383118772
"TBS_SUM_PE2_Biofilm"	0.0176305321164137	0.00655654086659104	0.00871196346372915	0.0103635800853552	0.0776935286957629	0.00158199646071014	0.877461858311438
"TBS_SUM_wPET3_Biofilm"	1.2392729597098e-05	0.00687787543871718	0.00975366096310928	0.00500931359394698	0.0509854267683886	0.00117495755851484	0.926186372947726
"TBS_SUM_PE3_Biofilm"	3.47170577729771e-07	7.79646107146486e-06	0.000139809591942289	1.95700903531872e-05	4.82977824694693e-05	4.58565704887235e-05	0.999738322333097
"TBS_SUM_PET2_Biofilm"	0.00347802404076922	7.34224679952439e-05	0.00499927637318311	0.000103632342009526	0.00195515892991288	2.57548365207637e-05	0.989364731009609
"TBS_SUM_wPE1_Biofilm"	0.0219570853155563	0.000144237639015738	0.0110715451621954	0.00899286014071088	0.119401253574507	0.0200196568993512	0.818413361268663
"TBS_SUM_wPE2_Biofilm"	0.0451773504424905	0.000136624690999306	0.00325978209524508	0.000697046813194121	0.0410370410579775	0.0084980745785299	0.901194080321564
