"TBS_11_F1_Water_TBS_Winter2"	"TBS_11_F2_Water_TBS_Winter2"	"TBS_11_F3_Water_TBS_Winter2"	"TBS_12_F1_Water_TBS_Winter2"	"TBS_12_F2_Water_TBS_Winter2"	"TBS_12_F3_Water_TBS_Winter2"	"Unknown"
"TBS_WIN2_G1_Biofilm"	0.000391016806303885	0.210798614250939	4.92560208340764e-10	5.61452892805571e-49	0	2.81361587234459e-57	0.788810368450197
"TBS_WIN2_G2_Biofilm"	0.0340807427900061	0.0145460634643185	9.41312113185904e-06	0.00208592106277101	9.66637658017274e-05	1.10820295465369e-07	0.949181084975675
"TBS_WIN2_G3_Biofilm"	0.0011833596062037	9.63883323632262e-05	0.299168357446637	2.52241438281338e-45	2.05981214172677e-58	8.42838084448708e-49	0.699551894614796
"TBS_WIN2_PE1_Biofilm"	0	6.0171987297755e-06	0	7.55434429050406e-06	0	9.83701692185033e-05	0.999888058287761
"TBS_WIN2_PE3_Biofilm"	3.89694390550398e-06	2.57211035635934e-05	0.458618222247574	3.85017557775661e-59	1.61413990290267e-123	1.23848908445515e-77	0.541352159704956
"TBS_WIN2_PET1_Biofilm"	0.153871386197968	1.4061378919549e-06	0.00768478976748577	0.00222028107119996	2.59453901642935e-24	4.27140063780215e-10	0.836222136398315
"TBS_WIN2_PET2_Biofilm"	0.0454230813797932	0.0712729062666566	0.000700861646527769	0.00656498804682445	3.50472273084348e-20	4.87952334723514e-11	0.876038162611403
"TBS_WIN2_PET3_Biofilm"	0.0814431899340968	0.026385802816998	0.00953147677915843	0.00473940278749652	2.5966002263043e-51	3.63656242771686e-36	0.87790012768225
"TBS_WIN2_wPE1_Biofilm"	6.89519113895553e-06	0.000193222888166588	0.0439164612393287	0.0042007636811037	2.66114376211162e-28	1.92737461836972e-25	0.951682657000262
"TBS_WIN2_wPE2_Biofilm"	0.000380329978859677	0.752603698795274	9.24448380904721e-10	1.20397757896122e-35	1.41502914897314e-41	1.71738422187964e-31	0.247015970301418
"TBS_WIN2_wPE3_Biofilm"	0.03075463649504	0.0251837383014556	0.000233326222711093	0.00427905101140892	1.88719092966738e-12	4.03565786981523e-10	0.939549247563931
"TBS_WIN2_wPET1_Biofilm"	0.0427187544922258	0.0736995887104334	0.0151381682312791	0.0127488741938145	6.7947160315031e-26	4.69367767258127e-08	0.85569456743547
"TBS_WIN2_wPET2_Biofilm"	0.00302441899696008	0.144518480931121	0.00132907860636982	0.0160886909620885	3.06296334733586e-06	3.77641646644802e-09	0.835036263763696
"TBS_WIN2_wPET3_Biofilm"	0.0389070712261886	0.0869467272081128	0.000107371046955837	0.00709487230817105	1.01364581575028e-07	0.00160022356522736	0.865343633280763
