"TBS_1_F1_Water_TBS_Winter"	"TBS_1_F2_Water_TBS_Winter"	"TBS_1_F3_Water_TBS_Winter"	"TBS_3_F1_Water_TBS_Winter"	"TBS_3_F2_Water_TBS_Winter"	"TBS_3_F3_Water_TBS_Winter"	"Unknown"
"TBS_3_G1_Biofilm"	0.000995908884877751	3.85099935143636e-05	8.68952854485078e-05	0.00145928687779688	0.000891857558451942	0.294540919634529	0.701986621765381
"TBS_3_G2_Biofilm"	0.00094868227989698	6.28189095838788e-06	2.49756058521912e-06	0.000105095362609012	9.87595950130154e-06	0.270897513606767	0.728030053339682
"TBS_3_G3_Biofilm"	8.92657715112958e-07	1.46143642554363e-07	0.0105177489534706	0.0218576688642256	0.00530664255178737	0.206575699697168	0.755741201131991
"TBS_3_PE1_Biofilm"	0.000626949807819509	0.002169923399533	0.000389364750258412	0.00197851494664337	0.00354154105406143	0.22286715694207	0.768426549099614
"TBS_3_PE2_Biofilm"	3.37187798728002e-05	7.40494241966834e-05	0.00206774389893059	0.00415359320989453	0.0066592131026795	0.246058067036447	0.740953614547979
"TBS_3_PE3_Biofilm"	0.000199813237763909	0.00012322084461243	0.000315867069232531	0.00487411421305964	0.0201485355774081	0.158220233341163	0.81611821571676
"TBS_3_PET1_Biofilm"	6.97749962239511e-05	0.000433287344640325	7.54566739823395e-05	0.0016751096022954	0.0024233556039071	0.189537113847276	0.805785901931675
"TBS_3_PET2_Biofilm"	1.45441093963768e-07	3.89183128077333e-08	2.79024916860799e-08	0.0175942554266957	0.000123203299320986	0.186230482875372	0.796051846136713
"TBS_3_PET3_Biofilm"	4.48747989311975e-07	9.35384009743524e-11	3.09909095907979e-09	0.0252376886756287	1.28024608611312e-05	0.240910852364245	0.733838204558646
"TBS_3_wPE1_Biofilm"	0.000171802592999731	0.00139893498036952	0.000718435960724039	0.00117863311666009	0.00300947703133155	0.258569090284087	0.734953626033828
"TBS_3_wPE2_Biofilm"	0.00266661568619033	0.000244136258679111	0.000115165502844709	0.00280645485552899	0.000350087877442725	0.226869653530934	0.76694788628838
"TBS_3_wPE3_Biofilm"	0.000119417676697421	1.33075125482908e-06	0.000252645142369476	0.0142799300814822	0.0088766392664652	0.330276262386795	0.646193774694936
"TBS_3_wPET1_Biofilm"	3.76657400298344e-06	0.00036448295518563	7.02470696074117e-05	0.000802785030256951	0.00167686966765329	0.220206696200466	0.776875152502828
"TBS_3_wPET2_Biofilm"	0.000577212036582576	4.49734226576708e-05	0.000479260033439201	0.000354753433702391	0.000939585595653591	0.269212719296753	0.728391496181212
"TBS_3_wPET3_Biofilm"	0.000471791182683689	3.16489924416595e-05	0.00192570771375668	0.0197124171120885	0.0686441832269243	0.261399224969456	0.647815026802649
