"SEL_7_F1_Water_SELVA_Summer"	"SEL_8_F1_Water_SELVA_Summer"	"SEL_7_F2_Water_SELVA_Summer"	"SEL_7_F3_Water_SELVA_Summer"	"SEL_8_F2_Water_SELVA_Summer"	"SEL_8_F3_Water_SELVA_Summer"	"Unknown"
"SEL_FAL_G1_Biofilm"	4.79075377458694e-08	6.62201225240751e-06	0.0416102475842907	0.0307499919751316	0.0427738725153383	0.00206885397701859	0.882790364028431
"SEL_FAL_G2_Biofilm"	1.60233766916783e-09	3.10846611001933e-06	2.28038920601399e-09	1.40274482476448e-13	6.45002446028047e-05	0.0134268685764522	0.986505518829968
"SEL_FAL_G3_Biofilm"	1.61440521717485e-10	3.84425910560284e-07	2.38038238684163e-09	2.3924062704797e-09	0.000301589061987935	0.000481393981320594	0.999216627596552
"SEL_FAL_PE1_Biofilm"	1.84576086692236e-11	0.0037394251656933	0.000327892149540156	5.07196980181914e-10	0.00141908241803507	0.0139672236670628	0.980546376074014
"SEL_FAL_PE2_Biofilm"	2.28844449190914e-07	1.11056937113662e-05	0.0397920036925796	0.00149883780742155	0.00401411660543432	0.0667833462720099	0.887900361084394
"SEL_FAL_PE3_Biofilm"	4.00189097544504e-13	3.6190601777286e-12	0	1.66303390404308e-14	4.16091849462307e-15	0	0.99999999999596
"SEL_FAL_PET1_Biofilm"	3.52220896932992e-05	2.52614403098706e-09	0.000129284383523711	3.62610592252952e-05	0.00119045562222934	0.00223406921428033	0.996374705104904
"SEL_FAL_PET2_Biofilm"	4.73693395685814e-07	1.20249676788026e-09	0.00630456030563971	0.0022214665892283	0.0604554547641389	0.00637199273311814	0.924646050711982
"SEL_FAL_PET3_Biofilm"	2.18429051067615e-06	3.33373551189465e-09	0.0595399553755194	0.00217607201513865	0.0157635059756174	0.0714445750042162	0.851073704005262
"SEL_FAL_wPE1_Biofilm"	5.42581828765281e-07	0.000498266721955949	0.0285957459588848	0.000574693785028368	0.0689062699097728	0.0360488613974938	0.865375619645036
"SEL_FAL_wPE2_Biofilm"	1.32642084219006e-06	0.000129717511522819	0.00449562971130383	0.00381251383054014	0.0182522707903941	0.00769360486142588	0.965614936873971
"SEL_FAL_wPE3_Biofilm"	6.50359838445243e-06	0.00011613072829031	0.018486841479367	0.0124328108077325	0.00745224354147044	0.0911600074771277	0.870345462367628
"SEL_FAL_wPET1_Biofilm"	4.20690859292695e-07	5.27311059652293e-08	5.93400131141807e-29	1.13335017221925e-05	0.0216091654696353	0.00746178817311302	0.970917239433564
"SEL_FAL_wPET2_Biofilm"	4.5327665887011e-07	3.85464968323883e-07	0.00224705387096258	0.000613749668747739	0.0120930642187813	0.0427674472428944	0.942277846256987
"SEL_FAL_wPET3_Biofilm"	1.46628096205659e-06	2.15724792156491e-20	0.0224954645335323	0.0038740679503495	0.00576511098270879	0.0172763915814332	0.950587498671014
