"SEL_1_F1_Water_SELVA_Winter"	"SEL_1_F2_Water_SELVA_Winter"	"SEL_1_F3_Water_SELVA_Winter"	"SEL_3_F1_Water_SELVA_Winter"	"SEL_3_F2_Water_SELVA_Winter"	"SEL_3_F3_Water_SELVA_Winter"	"Unknown"
"SEL_SPR_wPE2_Biofilm"	0.000411532516589894	1.32824794130673e-09	1.5692169492186e-09	0.000200196201850516	9.55314507174368e-09	0.00455917407514643	0.994829084755803
"SEL_SPR_G1_Biofilm"	3.81729618062348e-05	5.46390780806433e-07	7.91152745008689e-05	0.00290616459090744	0.000361663420448871	0.00457976076424758	0.992034576597308
"SEL_SPR_G2_Biofilm"	3.50352838699859e-06	0.000854801677049576	1.7439565631507e-07	0.109548439890076	0.00301328923877621	0.0037731467942418	0.882806644475813
"SEL_SPR_G3_Biofilm"	6.38918195781173e-05	0.00015306546427919	0.000653222187313371	0.0586200151016198	0.0401300481536432	0.0683461250672407	0.832033632206326
"SEL_SPR_PE1_Biofilm"	0.000190810311144313	5.95032654694929e-05	0.000180972093945262	0.0537155068973592	0.0281631816240589	0.177346601781222	0.740343424026801
"SEL_SPR_PE2_Biofilm"	4.44482115288894e-06	0.000690885412840458	0.000322572088108524	0.0575090192293745	0.0176649673445418	0.1037918277853	0.820016283318682
"SEL_SPR_PE3_Biofilm"	0.00022487109510837	4.53241244265822e-05	0.000721595987727799	0.0891696692009377	0.0156263798891437	0.163902108118747	0.730310051583908
"SEL_SPR_PET1_Biofilm"	0.000209496497630181	0.000311468941707244	0.000196322355186424	0.192273751674341	0.000727583125862198	0.0446054334195046	0.761675943985768
"SEL_SPR_PET2_Biofilm"	0.000376307901890398	5.70408051954714e-05	0.000177019827663613	0.0144115930661401	0.0178156299160734	0.0283101308380155	0.938852277645022
"SEL_SPR_PET3_Biofilm"	0.0379659520997275	1.93235171390246e-29	2.91058446150311e-16	0.108442161469858	0.00538318899016955	0.0083899881315122	0.839818709308732
"SEL_SPR_wPE1_Biofilm"	0.000118359090765137	9.62154092687803e-05	0.000408345344252386	0.0292061194125434	0.0167610234897467	0.0259029967337572	0.927506940519666
"SEL_SPR_wPE3_Biofilm"	0.000109563288072038	0.000523928804257593	0.00099612721759647	0.0283204430060595	0.0250630177751334	0.102481286475439	0.842505633433442
"SEL_SPR_wPET1_Biofilm"	0.000444910377633784	0.000232740742353007	0.00127069374799834	0.054128737873973	0.0134934927533211	0.0268944053828141	0.903535019121907
"SEL_SPR_wPET2_Biofilm"	0.000373096367737752	1.58741334208198e-14	0.000124211701557278	0.0214527369164368	0.00254871480358948	0.0428079609187527	0.93269327929191
"SEL_SPR_wPET3_Biofilm"	0.000113302649308501	2.2711706472057e-07	0.000119716270676653	0.0715405305949811	0.00178441074999092	0.00276275812378377	0.923679054494194
