"SEL_5_F1_Water_SELVA_Spring"	"SEL_5_F2_Water_SELVA_Spring"	"SEL_5_F3_Water_SELVA_Spring"	"SEL_6_F1_Water_SELVA_Spring"	"SEL_6_F2_Water_SELVA_Spring"	"SEL_6_F3_Water_SELVA_Spring"	"Unknown"
"SEL_SUM_PE2_Biofilm"	9.51511488492133e-07	0.00023859530024059	0.818759046599378	0.000712870238210679	2.54889445797399e-15	3.85906426710033e-07	0.180288150444253
"SEL_SUM_wPE1_Biofilm"	1.25333365310419e-06	8.06211223682982e-05	0.929128250413011	7.59995683492144e-08	2.22839318270933e-05	0.000718073131985787	0.0700494420675864
"SEL_SUM_wPE2_Biofilm"	5.39091705157289e-06	7.37366295447809e-05	0.898333202468997	0.000166162163419957	4.38446812740853e-17	3.23900107381792e-07	0.101421183920879
"SEL_SUM_G1_Biofilm"	3.02192479757973e-05	2.05406593605944e-05	0.478632996048052	3.05102247237548e-05	2.3816305000012e-07	0.00211577359411143	0.519169722062727
"SEL_SUM_wPET1_Biofilm"	6.89399956613455e-05	0.029274858990914	0.108429603984148	0.0026542367103575	0.000389492895329878	2.57510176230614e-05	0.859157116405966
"SEL_SUM_G2_Biofilm"	0.00018879005622398	8.1275396135098e-05	0.802951904590373	0.000670455530518872	1.56128715207818e-11	4.1094347767218e-16	0.196107574411136
"SEL_SUM_G3_Biofilm"	1.14137776764952e-06	0.00613761879578791	0.676129723999375	0.000333066509322772	2.98128089979776e-13	7.36353595257222e-05	0.317324813957923
"SEL_SUM_PE1_Biofilm"	1.26444326535157e-06	7.50448359214943e-05	0.905507803565609	2.56406853770224e-05	2.68670355125218e-09	2.258039867253e-50	0.0943902437831235
"SEL_SUM_PE3_Biofilm"	1.74577897390106e-05	0.409872184171293	0.000491299048894929	0.000225338157067294	8.98758376731831e-05	0.000531481972348482	0.588772363022984
"SEL_SUM_PET1_Biofilm"	2.22932736351383e-05	0.89339700965892	0.00195646576406955	0.000437118119765928	2.32664505088616e-10	0.000222718715618422	0.103964394235326
"SEL_SUM_PET2_Biofilm"	6.17006304983173e-05	0.000775976758786979	0.566337184684689	0.000170242130645539	0.000135562110033893	0.00178334716838548	0.430735986516961
"SEL_SUM_PET3_Biofilm"	2.05828469111774e-06	6.36021221468174e-05	0.830850771605163	0.000264530670039706	6.70724745157548e-05	0.000587180129599666	0.168164784713844
"SEL_SUM_wPE3_Biofilm"	5.62645291744819e-05	1.82097654573055e-06	0.919110599188145	5.38348340786885e-05	2.14492865345306e-05	0.000907500178471828	0.0798485310070495
"SEL_SUM_wPET2_Biofilm"	5.59514172764369e-08	0.0103837530406339	0.000345549845866591	0.00141369651755604	2.05684769004631e-05	0.000115405228420197	0.987720970939206
"SEL_SUM_wPET3_Biofilm"	3.73492899513621e-05	0.028991402354567	2.53731414956025e-05	0.0102586661815484	1.42825930595325e-06	0.00829793922522724	0.952387841547904
