"SEL_10_F1_Water_SELVA_Fall"	"SEL_10_F2_Water_SELVA_Fall"	"SEL_10_F3_Water_SELVA_Fall"	"SEL_9_F1_Water_SELVA_Fall"	"SEL_9_F2_Water_SELVA_Fall"	"Unknown"
"SEL_WIN2_G1_Biofilm"	2.49597210763409e-05	0.0244683845186435	0.0137863898698304	0.000996129409273409	1.93609157165501e-10	0.960724136287567
"SEL_WIN2_G2_Biofilm"	0.0182094184333049	0.0102033073772205	0.000198990187497791	0.00664099807496693	0.000480796436733435	0.964266489490276
"SEL_WIN2_G3_Biofilm"	7.35054514950672e-07	4.03109271146381e-29	0.00101508072957795	2.32704850490842e-10	1.56500373142523e-38	0.998984183983202
"SEL_WIN2_PE1_Biofilm"	2.85455053906523e-07	0.0209023337227002	0.00220225684085952	0.000480463917300712	0.00392656024784835	0.972488099816237
"SEL_WIN2_PE2_Biofilm"	6.11179971352227e-11	0.000155894670332747	4.14746349268005e-07	1.2129930195287e-13	8.68025162411693e-14	0.999843690521992
"SEL_WIN2_PE3_Biofilm"	3.56325624428081e-05	0.0361490303160506	0.00596639545118419	0.0033838602864946	2.78248779674861e-05	0.95443725650586
"SEL_WIN2_PET1_Biofilm"	3.08529231362719e-06	0.0463597898974492	0.0070642171069622	1.01192682491052e-05	0.0125465518481445	0.934016236586881
"SEL_WIN2_PET2_Biofilm"	1.07989132387531e-06	0.0344762811461048	0.000648697332317593	0.00387528273667778	0.00451642184754914	0.956482237046027
"SEL_WIN2_PET3_Biofilm"	0.000381564059459644	0.0159973620524966	0.000768640358939161	0.00305722840228105	0.00362827513210766	0.976166929994716
"SEL_WIN2_wPE1_Biofilm"	5.06012046369696e-09	6.25069651009611e-09	2.79916642208717e-09	1.27943185676391e-12	8.98882233454769e-12	0.999999985879748
"SEL_WIN2_wPE3_Biofilm"	0.0019097318201658	0.0146758480858863	0.00350276487382634	2.20981547684534e-05	0.00423178300451793	0.975657774060835
"SEL_WIN2_wPET1_Biofilm"	3.46814821659276e-06	0.096207129277804	0.00666017198516378	0.00762747916894572	0.00339877382335293	0.886102977596517
"SEL_WIN2_wPET2_Biofilm"	3.99317023132882e-05	0.0535684805077281	0.00298897448195468	3.41612858262337e-11	0.00146116765579214	0.941941445618051
"SEL_WIN2_wPET3_Biofilm"	0.00251169927960279	0.045675653268661	0.0111913719744167	0.00112579490894694	0.000218727482360144	0.939276753086013
