"TBS_7_F2_Water_TBS_Summer"	"TBS_8_F3_Water_TBS_Summer"	"TBS_8_F1_Water_TBS_Summer"	"TBS_7_F1_Water_TBS_Summer"	"TBS_7_F3_Water_TBS_Summer"	"TBS_8_F2_Water_TBS_Summer"	"Unknown"
"TBS_FAL_G1_Biofilm"	9.49397351928344e-07	0.019344573886766	3.17091555110135e-05	1.21172648411499e-09	0.0206978287073944	1.65324241838283e-05	0.959908405217066
"TBS_FAL_G2_Biofilm"	1.18455108869858e-06	0.00826899743465772	0.000218673039358469	0.00162730091431159	0.00611022534386351	0.0159583470678668	0.967815271648853
"TBS_FAL_G3_Biofilm"	2.38494936898178e-07	0.0355624140904597	0.000577932846884136	6.95157890589752e-05	0.0204135932103401	0.00497931291116864	0.938396992657151
"TBS_FAL_PE1_Biofilm"	9.65574050551943e-07	0.031118369509799	0.000375134004582883	2.80889874830762e-07	0.00229077839402046	0.00651838628787798	0.959696085339794
"TBS_FAL_PE2_Biofilm"	0	0	5.75537158699148e-13	0	9.06356942514514e-10	0	0.999999999093068
"TBS_FAL_PE3_Biofilm"	2.88526535174404e-07	0.0307615059968931	0.00113528184062131	1.30741460229029e-05	0.00209028146513771	0.0829961430174019	0.883003425007388
"TBS_FAL_PET1_Biofilm"	1.39203366802748e-06	0.047990013919407	0.000545779156514632	0.000843623318587512	0.0093056806712784	0.00492898888491849	0.936384522015626
"TBS_FAL_PET2_Biofilm"	6.02466361920538e-07	0.0333136573535705	0.00108133777484368	4.45843032270742e-06	0.0116818032061843	0.0079480490618668	0.94597009170685
"TBS_FAL_PET3_Biofilm"	7.83311648844527e-09	0.00425939355710517	0.000981755922800121	2.69492447410403e-06	4.8078060763861e-05	0.0174597589569352	0.977248310744805
"TBS_FAL_wPE1_Biofilm"	0.00165933530540631	0.00610211357316506	3.51296031498706e-30	4.57175114162235e-23	0.0696774003350629	0.0746191033470487	0.847942047439317
"TBS_FAL_wPE2_Biofilm"	4.07003514558451e-05	0.0677469922712474	0.000389180509208267	5.47131413540873e-08	0.0195135934874246	0.00944352899922054	0.902865949668302
"TBS_FAL_wPE3_Biofilm"	0	0.0275970990514845	0.0413402483556564	1.00376590080274e-05	0.00177354108491657	0.0340229047739571	0.895256169074977
"TBS_FAL_wPET1_Biofilm"	3.96878076329709e-09	0.00278661540743691	0.000382477802824623	6.75398428091284e-06	1.32648131231868e-05	0.00105641163638492	0.995754472387169
"TBS_FAL_wPET2_Biofilm"	2.27533156476035e-06	0.0483648491323247	0.000949557145576938	0.000196862282203255	0.0165653505318057	0.0052558436015872	0.928665261974937
"TBS_FAL_wPET3_Biofilm"	1.13818911333436e-06	0.0276473348620009	1.54123730437742e-05	0.0147055265981625	6.67045718964688e-15	6.27150691467387e-26	0.957630587977673
