"TBS_1_F1_Water_TBS_Winter"	"TBS_1_F2_Water_TBS_Winter"	"TBS_1_F3_Water_TBS_Winter"	"TBS_3_F1_Water_TBS_Winter"	"TBS_3_F2_Water_TBS_Winter"	"TBS_3_F3_Water_TBS_Winter"	"Unknown"
"TBS_SPR_PE2_Biofilm"	0.000193008613303931	0.00180294089189482	7.53031348843584e-05	0.00591801892590434	0.00187416432924105	0.111820686586814	0.878315877517957
"TBS_SPR_G1_Biofilm"	6.17034235534893e-05	0.021451829777934	9.60616874031599e-05	0.000642307587017281	0.00393319202303353	0.119924381838282	0.853890523662776
"TBS_SPR_G2_Biofilm"	3.54308419812235e-05	0.000303796361257042	0.000240923763851559	0.00300747682189767	0.00649072330228106	0.308354068109706	0.681567580799026
"TBS_SPR_G3_Biofilm"	0.000280061413572324	0.00103620240618371	0.000214360025651174	0.00334274395719478	0.000284673047609916	0.149813879931321	0.845028079218467
"TBS_SPR_PE1_Biofilm"	0.000246956072934094	0.00110694756373813	0.000120949265331346	0.00252946781473871	0.00148873903659228	0.172094652101663	0.822412288145002
"TBS_SPR_PE3_Biofilm"	1.13662502678841e-05	0.000746702069765594	0.00022446349589575	0.000993131644840382	0.0189645455686241	0.0605373814459121	0.918522409524694
"TBS_SPR_PET1_Biofilm"	0.000104630524369146	0.00262451632193263	0.000252924816802983	0.00146924205669038	0.00370885118715594	0.165545699783205	0.826294135309844
"TBS_SPR_PET2_Biofilm"	5.65078398681043e-05	0.00647279560892865	0.000160788305211934	0.00348104149461596	0.00313774893598115	0.103848033808752	0.882843084006642
"TBS_SPR_PET3_Biofilm"	9.47665524421178e-05	0.00508731066066002	0.000301792852576352	0.00157608290107292	0.00474117834482967	0.13875112758402	0.849447741104399
"TBS_SPR_wPE1_Biofilm"	0.000188270965245967	0.00268272829813924	5.00184557058707e-05	0.00146893113243528	0.00067142406179696	0.198606708653412	0.796331918433265
"TBS_SPR_wPE2_Biofilm"	4.48222687245082e-05	0.00193173715158647	0.000183549764305462	0.00152599772725472	0.0180429003982816	0.137372517046677	0.840898475643171
"TBS_SPR_wPE3_Biofilm"	7.59776384001415e-05	0.00122147895804848	0.000964678985831505	0.00118026788830174	0.00291213217182232	0.140746194887894	0.852899269469702
"TBS_SPR_wPET1_Biofilm"	0.000726366275240642	0.00614560351279431	0.000389107120762491	0.00866007217306519	0.00192059729667001	0.275336870975532	0.706821382645936
"TBS_SPR_wPET2_Biofilm"	3.05504010961808e-05	0.000745050590727371	0.000480362105057442	0.00414127669387532	0.00620297350881456	0.136880402001967	0.851519384698462
"TBS_SPR_wPET3_Biofilm"	0.000239736347408287	0.000509550004450364	0.000182800139512332	0.00180679591925	0.00136902899242046	0.0665165499322652	0.929375538664693
