"TBS_5_F2_Water_TBS_Spring"	"TBS_5_F1_Water_TBS_Spring"	"TBS_5_F3_Water_TBS_Spring"	"TBS_6_F1_Water_TBS_Spring"	"TBS_6_F2_Water_TBS_Spring"	"TBS_6_F3_Water_TBS_Spring"	"Unknown"
"TBS_SUM_PET1_Biofilm"	0.00293021851371439	1.24186824746285e-05	0.0045304123201196	3.75283763919062e-05	0.00112005762427635	0.010915010845264	0.980454353637759
"TBS_SUM_G1_Biofilm"	2.1573924270322e-10	2.44440859945485e-05	4.5998292673935e-05	4.0617907681844e-05	3.5307528036303e-05	2.41593166333809e-06	0.999851216038211
"TBS_SUM_PET3_Biofilm"	0.00653902966580355	2.32050986107373e-11	0.00105333183589143	5.58729450342041e-05	0.000245461785907127	0.0789989591592606	0.913107344584898
"TBS_SUM_wPE3_Biofilm"	2.77235781940531e-05	2.59770578318487e-05	0.00136660834075266	0.000124035818340827	0.00196100073850211	0.150276354722712	0.846218299743666
"TBS_SUM_G2_Biofilm"	5.7078439937765e-07	0.00561944759362315	0.0104751953058014	7.65910466726631e-06	0.00188683970343588	0.223604475076091	0.758405812431982
"TBS_SUM_wPET1_Biofilm"	0.00214144720177896	4.14818005718879e-17	0.000234170473444175	2.62528106998291e-09	5.48611941017749e-05	0.0831699805723239	0.91439953793307
"TBS_SUM_G3_Biofilm"	0.0103038670498069	0.000206293742203668	0.00318238246821284	0.000491255975256369	0.000584306139714291	0.00609987302302049	0.979132021601785
"TBS_SUM_PE1_Biofilm"	5.61853394316566e-08	0.000236888489091362	0.0280624435850974	3.05404042867783e-05	0.00127102243237503	0.149728174122356	0.820670874781454
"TBS_SUM_wPET2_Biofilm"	0.00140411113065998	1.5744770241185e-10	1.94908824535952e-05	8.54053674919167e-10	0.00034064639738278	0.000627158335986185	0.997608592242016
"TBS_SUM_PE2_Biofilm"	3.61137602413177e-05	6.92317012574117e-06	0.0157756523115439	0.000923426558009266	0.000227502415465934	0.000533706138187356	0.982496675646427
"TBS_SUM_wPET3_Biofilm"	0.00115852075320055	2.31729955413697e-05	0.00624412171875193	2.08528093298751e-17	2.51616986594918e-05	0.00737383189460521	0.985175190939241
"TBS_SUM_PE3_Biofilm"	4.57674211282925e-06	5.99593996228035e-15	0.000149193885069592	5.3540178770256e-05	7.32766128880492e-10	5.21004381739245e-08	0.999792636360837
"TBS_SUM_PET2_Biofilm"	8.71029287123939e-07	1.93503620332195e-09	0.000377036311141715	4.32147786066661e-06	1.36028275659418e-05	0.000751483819359333	0.998852682599749
"TBS_SUM_wPE1_Biofilm"	1.13353687533747e-07	0.000143134616919025	0.00278646201676134	2.22346032050173e-05	0.00235080377830435	0.018398653716173	0.97629859791495
"TBS_SUM_wPE2_Biofilm"	8.96658728375662e-08	2.01006354760838e-06	0.0069737852827381	2.09838915633253e-05	0.000128082903417212	0.176190847646689	0.816684200546172
