"TBS_10_F1_Water_TBS_Fall"	"TBS_10_F2_Water_TBS_Fall"	"TBS_10_F3_Water_TBS_Fall"	"TBS_9_F1_Water_TBS_Fall"	"TBS_9_F2_Water_TBS_Fall"	"TBS_9_F3_Water_TBS_Fall"	"Unknown"
"TBS_WIN2_G1_Biofilm"	5.03644156627747e-07	4.2720537330956e-05	4.91016902953304e-23	1.94827444934734e-27	0.000602812362894768	7.03886024109189e-09	0.999353956416757
"TBS_WIN2_G2_Biofilm"	0.000112075277183994	2.98388633151506e-05	0.0248248294425327	0.000827732407814413	0.00068106274904419	0.00355989925936959	0.96996456200074
"TBS_WIN2_G3_Biofilm"	1.6051713091332e-09	1.80800115606284e-09	6.48453521334224e-10	1.54311500118125e-09	7.59577562939803e-10	1.91451331077396e-09	0.999999991721168
"TBS_WIN2_PE1_Biofilm"	9.52529000854209e-07	9.83078137149389e-09	0.0354629023643568	1.76939718127027e-12	1.91799906122766e-08	8.35049865527306e-13	0.964536116093266
"TBS_WIN2_PE3_Biofilm"	4.16964845644949e-10	1.88095055895911e-09	5.41787028272353e-10	6.84161051506183e-12	5.0937021115426e-11	6.85416889870593e-11	0.999999997033977
"TBS_WIN2_PET1_Biofilm"	2.29186958936412e-07	0.000544760170469369	0.0711794666312059	0.0065445282577459	3.88985087437797e-09	0.0271441672689712	0.894586844594798
"TBS_WIN2_PET2_Biofilm"	3.85667072130398e-05	0.222351391954407	0.0119432757404998	0.000125630946509656	0.00708646877967898	0.0057511272127943	0.752703538658897
"TBS_WIN2_PET3_Biofilm"	7.62552869332611e-08	0.0842965443350571	0.00104419820631701	0.000188303444119903	2.22057737401816e-05	0.0216011529355557	0.892847519049923
"TBS_WIN2_wPE1_Biofilm"	4.1246033035487e-07	7.16906349104949e-05	5.32073590963169e-06	8.26140988517182e-09	0.0297331595133218	2.81145266101292e-05	0.970161293867508
"TBS_WIN2_wPE2_Biofilm"	5.93922983525948e-11	2.13194229792994e-10	5.16219873196028e-11	4.92811606824672e-10	1.50226628024063e-09	1.20215836514346e-09	0.999999996478555
"TBS_WIN2_wPE3_Biofilm"	2.84294757565839e-07	0.0211379381895509	0.00196011751803391	0.0010577957385351	0.0236621084085313	0.000725471497915022	0.951456284352676
"TBS_WIN2_wPET1_Biofilm"	3.47819556190246e-07	5.00333290976452e-05	0.0156544970914365	0.00739501982856585	0.00632537272877807	0.0228131591288151	0.947761570073751
"TBS_WIN2_wPET2_Biofilm"	3.03812566721588e-08	2.13183965362461e-07	0.0594606042881218	0.000454725771763828	0.00479325332333874	0.00961296219739914	0.925678210854154
"TBS_WIN2_wPET3_Biofilm"	7.46007210317451e-06	0.00686939356880843	0.0131669865698017	0.00135383861016949	0.00031338737209589	0.0190790018597312	0.95920993194729
