"method","step","samples","reads","otus","reads_retained_pct","otus_retained_pct"
"nP_LULU","1_Demultiplexed",2769,112753728,27460,100,100
"nP_LULU","2_Positive_filtered",2668,111270313,27434,98.68,99.91
"nP_LULU","3_NTC_subtracted",2668,110354418,27434,97.87,99.91
"nP_LULU","4_Extraction_corrected",2668,108430395,27434,96.17,99.91
"nP_LULU","5_EnvSamples_only",1782,96633101,26232,85.7,95.53
"nP_LULU","6_QualityFiltered",1636,96438508,26195,85.53,95.39
"nP_LULU","7_RepFilter_50pct",1614,50853138,4876,45.1,17.76
"nP_LULU","8_RepFilter_75pct",1557,34716664,2627,30.79,9.57
"nP_LULU","9_Collapsed_NoFilter",424,96436332,26182,85.53,95.35
"nP_LULU","10_Collapsed_50pct",407,50558258,4865,44.84,17.72
"nP_LULU","11_Collapsed_75pct",389,34398210,2624,30.51,9.56
"psP_LULU","1_Demultiplexed",2769,113183594,28719,100,100
"psP_LULU","2_Positive_filtered",2668,111696196,28694,98.69,99.91
"psP_LULU","3_NTC_subtracted",2668,110690447,28694,97.8,99.91
"psP_LULU","4_Extraction_corrected",2668,108696708,28694,96.04,99.91
"psP_LULU","5_EnvSamples_only",1782,96961409,27681,85.67,96.39
"psP_LULU","6_QualityFiltered",1644,96902799,27646,85.62,96.26
"psP_LULU","7_RepFilter_50pct",1624,50950678,6670,45.02,23.23
"psP_LULU","8_RepFilter_75pct",1565,34969674,3036,30.9,10.57
"psP_LULU","9_Collapsed_NoFilter",425,96901227,27636,85.61,96.23
"psP_LULU","10_Collapsed_50pct",411,50870896,6646,44.95,23.14
"psP_LULU","11_Collapsed_75pct",390,34672610,3035,30.63,10.57
"fP_LULU","1_Demultiplexed",2769,113823486,16337,100,100
"fP_LULU","2_Positive_filtered",2668,112335515,16335,98.69,99.99
"fP_LULU","3_NTC_subtracted",2668,110983906,16335,97.51,99.99
"fP_LULU","4_Extraction_corrected",2668,108078260,16335,94.95,99.99
"fP_LULU","5_EnvSamples_only",1782,96270186,16151,84.58,98.86
"fP_LULU","6_QualityFiltered",1645,96222097,16149,84.54,98.85
"fP_LULU","7_RepFilter_50pct",1636,91812902,12476,80.66,76.37
"fP_LULU","8_RepFilter_75pct",1621,89389080,9844,78.53,60.26
"fP_LULU","9_Collapsed_NoFilter",426,96220653,16147,84.53,98.84
"fP_LULU","10_Collapsed_50pct",421,91796784,12474,80.65,76.35
"fP_LULU","11_Collapsed_75pct",404,89031420,9839,78.22,60.23
"nP_SWARM","1_Demultiplexed",2769,112753728,18826,100,100
"nP_SWARM","2_Positive_filtered",2668,111269726,18818,98.68,99.96
"nP_SWARM","3_NTC_subtracted",2668,110181095,18818,97.72,99.96
"nP_SWARM","4_Extraction_corrected",2668,107330337,18818,95.19,99.96
"nP_SWARM","5_EnvSamples_only",1782,95554444,18065,84.75,95.96
"nP_SWARM","6_QualityFiltered",1625,95226326,18035,84.46,95.8
"nP_SWARM","7_RepFilter_50pct",1618,71832352,5281,63.71,28.05
"nP_SWARM","8_RepFilter_75pct",1573,62021889,3162,55.01,16.8
"nP_SWARM","9_Collapsed_NoFilter",423,95224165,18028,84.45,95.76
"nP_SWARM","10_Collapsed_50pct",415,71650688,5275,63.55,28.02
"nP_SWARM","11_Collapsed_75pct",395,61676860,3160,54.7,16.79
"psP_SWARM","1_Demultiplexed",2769,113183594,19513,100,100
"psP_SWARM","2_Positive_filtered",2668,111695362,19505,98.69,99.96
"psP_SWARM","3_NTC_subtracted",2668,110496327,19505,97.63,99.96
"psP_SWARM","4_Extraction_corrected",2668,107624973,19505,95.09,99.96
"psP_SWARM","5_EnvSamples_only",1782,95912073,18878,84.74,96.75
"psP_SWARM","6_QualityFiltered",1634,95746304,18850,84.59,96.6
"psP_SWARM","7_RepFilter_50pct",1623,72401553,6406,63.97,32.83
"psP_SWARM","8_RepFilter_75pct",1582,62794510,3725,55.48,19.09
"psP_SWARM","9_Collapsed_NoFilter",424,95744833,18846,84.59,96.58
"psP_SWARM","10_Collapsed_50pct",416,72229151,6403,63.82,32.81
"psP_SWARM","11_Collapsed_75pct",393,62439470,3723,55.17,19.08
"fP_SWARM","1_Demultiplexed",2769,113823486,14930,100,100
"fP_SWARM","2_Positive_filtered",2668,112335668,14928,98.69,99.99
"fP_SWARM","3_NTC_subtracted",2668,110973388,14928,97.5,99.99
"fP_SWARM","4_Extraction_corrected",2668,107752967,14928,94.67,99.99
"fP_SWARM","5_EnvSamples_only",1782,95948222,14775,84.3,98.96
"fP_SWARM","6_QualityFiltered",1637,95803786,14767,84.17,98.91
"fP_SWARM","7_RepFilter_50pct",1630,91677412,11401,80.54,76.36
"fP_SWARM","8_RepFilter_75pct",1614,89337078,8989,78.49,60.21
"fP_SWARM","9_Collapsed_NoFilter",424,95802353,14766,84.17,98.9
"fP_SWARM","10_Collapsed_50pct",418,91519027,11398,80.4,76.34
"fP_SWARM","11_Collapsed_75pct",401,88974470,8989,78.17,60.21
