"sample","base_name","reads","OTUs","sibling_med","read_thresh","reason","method"
"EB_bc22_rep4","EB_bc22",521,39,41533,8306.6,"low_reads_relative","nP.lulu"
"SEL_5_PET1_rep3","SEL_5_PET1",0,0,70568,14113.6,"low_OTU+low_reads_relative+low_reads_hard","nP.lulu"
"TBS_5_wPE2_rep7","TBS_5_wPE2",1695,31,48091.5,9618.3,"low_reads_relative","nP.lulu"
"SEL_5_PET3_rep3","SEL_5_PET3",0,0,65379.5,13075.9,"low_OTU+low_reads_relative+low_reads_hard","nP.lulu"
"SEL_5_wPE1_rep3","SEL_5_wPE1",13,4,42466.5,8493.3,"low_reads_relative+low_reads_hard","nP.lulu"
"MB_iso16_rep2","MB_iso16",165,12,24239,4847.8,"low_reads_relative","nP.lulu"
"MB_iso16_rep6","MB_iso16",0,0,24239,4847.8,"low_OTU+low_reads_relative+low_reads_hard","nP.lulu"
"MB_iso26_rep4","MB_iso26",938,37,60781.5,12156.3,"low_reads_relative","nP.lulu"
"MB_iso46_rep8","MB_iso46",1,1,44749,8949.8,"low_OTU+low_reads_relative+low_reads_hard","nP.lulu"
"MB_iso56_rep6","MB_iso56",2,1,38779,7755.8,"low_OTU+low_reads_relative+low_reads_hard","nP.lulu"
"MB_iso56_rep7","MB_iso56",1,1,38779,7755.8,"low_OTU+low_reads_relative+low_reads_hard","nP.lulu"
"MB_iso66_rep2","MB_iso66",50,7,28196,5639.2,"low_reads_relative","nP.lulu"
"SEL_1_F1_rep2","SEL_1_F1",308,35,50487,10097.4,"low_reads_relative","nP.lulu"
"SEL_1_F2_rep2","SEL_1_F2",140,22,21112.5,4222.5,"low_reads_relative","nP.lulu"
"SEL_1_F3_rep2","SEL_1_F3",1053,71,41550.5,8310.1,"low_reads_relative","nP.lulu"
"SEL_1_G2_rep1","SEL_1_G2",34221,2,38588.5,7717.7,"low_OTU","nP.lulu"
"SEL_1_G2_rep4","SEL_1_G2",10339,2,38588.5,7717.7,"low_OTU","nP.lulu"
"SEL_1_G3_rep4","SEL_1_G3",8,2,7603.5,1520.7,"low_OTU+low_reads_relative+low_reads_hard","nP.lulu"
"SEL_1_PE3_rep1","SEL_1_PE3",2,1,1,0.2,"low_OTU+low_reads_hard","nP.lulu"
"SEL_1_PE3_rep2","SEL_1_PE3",0,0,1,0.2,"low_OTU+low_reads_relative+low_reads_hard","nP.lulu"
"SEL_1_PE3_rep4","SEL_1_PE3",0,0,1,0.2,"low_OTU+low_reads_relative+low_reads_hard","nP.lulu"
"SEL_1_wPE1_rep1","SEL_1_wPE1",0,0,91,18.2,"low_OTU+low_reads_relative+low_reads_hard","nP.lulu"
"SEL_1_wPE1_rep2","SEL_1_wPE1",1205,2,91,18.2,"low_OTU","nP.lulu"
"SEL_1_wPE1_rep3","SEL_1_wPE1",182,1,91,18.2,"low_OTU","nP.lulu"
"SEL_1_wPE1_rep4","SEL_1_wPE1",0,0,91,18.2,"low_OTU+low_reads_relative+low_reads_hard","nP.lulu"
"SEL_1_wPET1_rep1","SEL_1_wPET1",21,7,5,1,"low_reads_hard","nP.lulu"
"SEL_1_wPET1_rep2","SEL_1_wPET1",9,3,5,1,"low_reads_hard","nP.lulu"
"SEL_1_wPET1_rep3","SEL_1_wPET1",0,0,5,1,"low_OTU+low_reads_relative+low_reads_hard","nP.lulu"
"SEL_1_wPET1_rep4","SEL_1_wPET1",1,1,5,1,"low_OTU+low_reads_hard","nP.lulu"
"SEL_1_wPET2_rep1","SEL_1_wPET2",37,9,28.5,5.7,"low_reads_hard","nP.lulu"
"SEL_1_wPET2_rep3","SEL_1_wPET2",4,2,28.5,5.7,"low_OTU+low_reads_relative+low_reads_hard","nP.lulu"
"SEL_1_wPET2_rep4","SEL_1_wPET2",20,4,28.5,5.7,"low_reads_hard","nP.lulu"
