"method","group_type","group","total_reads","blank_reads","jump_rate","per_100k"
"nP.lulu","plate","P1",18562852,9324,0.000502293505329892,50.23
"nP.lulu","plate","P2",16721180,36165,0.0021628258292776,216.28
"nP.lulu","plate","P3",12002416,4060,0.000338265229267174,33.83
"nP.lulu","plate","P4",20839236,98,4.70266760259349e-06,0.47
"nP.lulu","plate","P5",12142134,17132,0.00141095461473247,141.1
"nP.lulu","plate","P6",14813713,1610,0.000108683083032593,10.87
"nP.lulu","plate","P7",17672197,170385,0.0096414158352807,964.14
"nP.lulu","cycling_group","10",3135058,65,2.07332687305945e-05,2.07
"nP.lulu","cycling_group","12",32148974,45424,0.00141292222887113,141.29
"nP.lulu","cycling_group","15",32841652,4158,0.000126607516576815,12.66
"nP.lulu","cycling_group","20",6720542,14160,0.00210697291974368,210.7
"nP.lulu","cycling_group","23",3319147,1469,0.000442583591507095,44.26
"nP.lulu","cycling_group","26",3837419,2125,0.000553757616773149,55.38
"nP.lulu","cycling_group","30",13842076,1604,0.00011587857197143,11.59
"nP.lulu","cycling_group","35",16908860,169769,0.0100402392591813,1004.02
"psP.lulu","plate","P1",18644372,10592,0.00056810709419443,56.81
"psP.lulu","plate","P2",16844225,40374,0.00239690457708799,239.69
"psP.lulu","plate","P3",12146382,5553,0.000457173173048567,45.72
"psP.lulu","plate","P4",20922464,256,1.22356525502924e-05,1.22
"psP.lulu","plate","P5",12225164,19895,0.00162738103145283,162.74
"psP.lulu","plate","P6",14783897,1757,0.00011884552496544,11.88
"psP.lulu","plate","P7",17617090,172969,0.00981825034668041,981.83
"psP.lulu","cycling_group","10",3149428,165,5.23904658242703e-05,5.24
"psP.lulu","cycling_group","12",32339169,50801,0.00157088142864772,157.09
"psP.lulu","cycling_group","15",33068846,5809,0.000175663825704713,17.57
"psP.lulu","cycling_group","20",6752899,16131,0.00238875185309302,238.88
"psP.lulu","cycling_group","23",3363330,1919,0.000570565481234372,57.06
"psP.lulu","cycling_group","26",3850283,2538,0.000659172325774495,65.92
"psP.lulu","cycling_group","30",13811123,1749,0.000126637059129804,12.66
"psP.lulu","cycling_group","35",16848516,172284,0.0102254703025477,1022.55
"fP.lulu","plate","P1",18763426,11073,0.000590137430126033,59.01
"fP.lulu","plate","P2",16943155,41704,0.00246140698116732,246.14
"fP.lulu","plate","P3",12254338,6096,0.000497456492549822,49.75
"fP.lulu","plate","P4",21001768,325,1.54748876380312e-05,1.55
"fP.lulu","plate","P5",12396528,20806,0.00167837317029413,167.84
"fP.lulu","plate","P6",14781797,1816,0.000122853804581405,12.29
"fP.lulu","plate","P7",17682474,174487,0.00986779338683037,986.78
"fP.lulu","cycling_group","10",3145270,196,6.23157948284249e-05,6.23
