"OTU_Label","Class","Family","Genus","Species","mean_rel_abund","abund_weight","total_estimate","total_SE","total_lower","total_upper","extreme","any_sig","site","season","substrate","display_label"
"Navicula_ASV_10078","Bacillariophyceae","Naviculaceae","Navicula",NA,0.112458696323662,1,0,0,0,0,FALSE,FALSE,"SELVA","Winter","Glass","Navicula sp. Navicula_ASV_10078"
"Electra_ASV_17846","Bryozoa","Bryozoa_XX","Electra","Electra_pilosa",0.0774123423111302,0.688362437426214,0,0,0,0,FALSE,FALSE,"SELVA","Winter","Glass","Electra_pilosa"
"Ectocarpus_ASV_8433","Phaeophyceae","Phaeophyceae_XX","Ectocarpus",NA,0.0581452866569324,0.517036819363327,0,0,0,0,FALSE,FALSE,"SELVA","Winter","Glass","Ectocarpus sp. Ectocarpus_ASV_8433"
"Diplosoma_ASV_13104","Urochordata","Ascidiacea","Diplosoma",NA,0.050967855135091,0.453213995904799,0,0,0,0,FALSE,FALSE,"SELVA","Winter","Glass","Diplosoma sp. Diplosoma_ASV_13104"
"Phallusia_ASV_17107","Urochordata","Ascidiacea","Phallusia",NA,0.0448138041481988,0.398491229341859,0,0,0,0,FALSE,FALSE,"SELVA","Winter","Glass","Phallusia sp. Phallusia_ASV_17107"
"Tiaropsidium_ASV_16743","Cnidaria","Hydrozoa","Tiaropsidium","Tiaropsidium_kelseyi",0.0503690621976292,0.447889437137565,0,0,0,0,FALSE,FALSE,"SELVA","Winter","Glass","Tiaropsidium_kelseyi"
"Navicula_ASV_10098","Bacillariophyceae","Naviculaceae","Navicula","Navicula_tripunctata",0.0405400798701084,0.360488616668932,0,0,0,0,FALSE,FALSE,"SELVA","Winter","Glass","Navicula_tripunctata"
"Costaria_ASV_10957","Phaeophyceae","Phaeophyceae_XX","Costaria","Costaria_costata",0.0565788664698335,0.503107970476527,0,0,0,0,FALSE,FALSE,"SELVA","Winter","Glass","Costaria_costata"
"Maxillopoda_ASV_13791","Arthropoda","Maxillopoda",NA,NA,0.021971052235425,0.195369970964194,0,0,0,0,FALSE,FALSE,"SELVA","Winter","Glass","Maxillopoda_ASV_13791"
"Pterocystida_ASV_21672","Pterocystida",NA,NA,NA,0.0280856574842357,0.249741979965727,0,0,0,0,FALSE,FALSE,"SELVA","Winter","Glass","Pterocystida_ASV_21672"
"Placuna_ASV_17776","Mollusca","Pectinoida","Placuna","Placuna_placenta",0.0211661847962305,0.188212966077013,0,0,0,0,FALSE,FALSE,"SELVA","Winter","Glass","Placuna_placenta"
"Pterocystida_ASV_21674","Pterocystida",NA,NA,NA,0.0291470755984906,0.259180272858613,0,0,0,0,FALSE,FALSE,"SELVA","Winter","Glass","Pterocystida_ASV_21674"
"Maxillopoda_ASV_13929","Arthropoda","Maxillopoda",NA,NA,0.0116499219993925,0.103592895705134,0,0,0,0,FALSE,FALSE,"SELVA","Winter","Glass","Maxillopoda_ASV_13929"
"Mediophyceae_ASV_10516","Mediophyceae",NA,NA,NA,0.0213169025075548,0.189553171114519,0,0,0,0,FALSE,FALSE,"SELVA","Winter","Glass","Mediophyceae_ASV_10516"
"Grammonema_ASV_10016","Bacillariophyceae","Fragilariaceae","Grammonema","Grammonema_striatula",0.0133326190424583,0.118555696253906,0,0,0,0,FALSE,FALSE,"SELVA","Winter","Glass","Grammonema_striatula"
"OTU_ASV_33054",NA,NA,NA,NA,0.00881307398992684,0.0783672074995638,0,0,0,0,FALSE,FALSE,"SELVA","Winter","Glass","OTU_ASV_33054"
"Harpacticus_ASV_13902","Arthropoda","Maxillopoda","Harpacticus","Harpacticus_sp.",0.0109416791116519,0.0972950911698389,0,0,0,0,FALSE,FALSE,"SELVA","Winter","Glass","Harpacticus_sp."
"Bacillariophyceae_ASV_10175","Bacillariophyceae",NA,NA,NA,0.0127478678926634,0.113355999219255,0,0,0,0,FALSE,FALSE,"SELVA","Winter","Glass","Bacillariophyceae_ASV_10175"
"Ephelota_ASV_4004","Phyllopharyngea","Ephelotidae","Ephelota",NA,0.0144076964004095,0.128115449239633,0,0,0,0,FALSE,FALSE,"SELVA","Winter","Glass","Ephelota sp. Ephelota_ASV_4004"
"Ephelota_ASV_4014","Phyllopharyngea","Ephelotidae","Ephelota","Ephelota_mammillata",0.00801960351973601,0.0713115462111991,0,0,0,0,FALSE,FALSE,"SELVA","Winter","Glass","Ephelota_mammillata"
"Obelia_ASV_16795","Cnidaria","Hydrozoa","Obelia","Obelia_longissima",0.00902310734379116,0.0802348563406977,0,0,0,0,FALSE,FALSE,"SELVA","Winter","Glass","Obelia_longissima"
"Maxillopoda_ASV_13865","Arthropoda","Maxillopoda",NA,NA,0.00845989483368111,0.0752266841981976,0,0,0,0,FALSE,FALSE,"SELVA","Winter","Glass","Maxillopoda_ASV_13865"
"Ephelota_ASV_662","Phyllopharyngea","Ephelotidae","Ephelota",NA,0.00564256186461111,0.0501745267290982,0,0,0,0,FALSE,FALSE,"SELVA","Winter","Glass","Ephelota sp. Ephelota_ASV_662"
"Caenogastropoda_ASV_13678","Mollusca","Caenogastropoda",NA,NA,0.00766976346525699,0.0682007147155878,0,0,0,0,FALSE,FALSE,"SELVA","Winter","Glass","Caenogastropoda_ASV_13678"
"OTU_ASV_22251",NA,NA,NA,NA,0.00948783170683053,0.0843672567528621,0,0,0,0,FALSE,FALSE,"SELVA","Winter","Glass","OTU_ASV_22251"
"Suctoria_XX_ASV_12412","Phyllopharyngea","Suctoria_X","Suctoria_XX","Suctoria_XX_sp.",0.00735987753851895,0.0654451614603183,0,0,0,0,FALSE,FALSE,"SELVA","Winter","Glass","Suctoria_XX_sp."
"Telonema-Group-1_ASV_18184","Telonemia_XX","Telonemia-Group-1","Telonema-Group-1","Telonema_subtile",0.0084712240926511,0.0753274257089953,0,0,0,0,FALSE,FALSE,"SELVA","Winter","Glass","Telonema_subtile"
"Naviculaceae_ASV_9847","Bacillariophyceae","Naviculaceae",NA,NA,0.00554069921849448,0.0492687484349638,0,0,0,0,FALSE,FALSE,"SELVA","Winter","Glass","Naviculaceae_ASV_9847"
"Heribaudiella_ASV_10928","Phaeophyceae","Phaeophyceae_XX","Heribaudiella","Heribaudiella_fluviatilis",0.00678152252811873,0.0603023398795338,0,0,0,0,FALSE,FALSE,"SELVA","Winter","Glass","Heribaudiella_fluviatilis"
"Ephelota_ASV_1009","Phyllopharyngea","Ephelotidae","Ephelota","Ephelota_sp.",0.00667651400298658,0.0593685879460245,0,0,0,0,FALSE,FALSE,"SELVA","Winter","Glass","Ephelota_sp."
"Bacillariophyceae_ASV_6651","Bacillariophyceae",NA,NA,NA,0.00501514365404532,0.0445954276369297,0,0,0,0,FALSE,FALSE,"SELVA","Winter","Glass","Bacillariophyceae_ASV_6651"
"Ephelota_ASV_2990","Phyllopharyngea","Ephelotidae","Ephelota","Ephelota_truncata",0.00534820198225588,0.0475570334450924,0,0,0,0,FALSE,FALSE,"SELVA","Winter","Glass","Ephelota_truncata"
"Pseudovorticella_ASV_29499","Oligohymenophorea","Sessilida","Pseudovorticella","Pseudovorticella_sinensis",0.00436710216526945,0.0388329431874322,0,0,0,0,FALSE,FALSE,"SELVA","Winter","Glass","Pseudovorticella_sinensis"
"Hiatella_ASV_13195","Mollusca","Heteroconchia","Hiatella","Hiatella_arctica",0.00404297266884858,0.0359507339229036,0,0,0,0,FALSE,FALSE,"SELVA","Winter","Glass","Hiatella_arctica"
"Saccharina_ASV_10960","Phaeophyceae","Phaeophyceae_XX","Saccharina","Saccharina_japonica",0.00450882815559207,0.0400931924607718,0,0,0,0,FALSE,FALSE,"SELVA","Winter","Glass","Saccharina_japonica"
"Navicula_ASV_10502","Bacillariophyceae","Naviculaceae","Navicula","Navicula_cryptotenella",0.00336920486167902,0.0299594870989993,0,0,0,0,FALSE,FALSE,"SELVA","Winter","Glass","Navicula_cryptotenella"
"Spirotrichea_ASV_33143","Spirotrichea",NA,NA,NA,0.00681861766804703,0.0606321955611392,0,0,0,0,FALSE,FALSE,"SELVA","Winter","Glass","Spirotrichea_ASV_33143"
"Mytilus_ASV_18471","Mollusca","Mytiloida","Mytilus","Mytilus_trossulus",0.00296304175226016,0.0263478223483258,0,0,0,0,FALSE,FALSE,"SELVA","Winter","Glass","Mytilus_trossulus"
"Bacillariophyceae_ASV_9867","Bacillariophyceae",NA,NA,NA,0.00334743770392897,0.0297659301891148,0,0,0,0,FALSE,FALSE,"SELVA","Winter","Glass","Bacillariophyceae_ASV_9867"
"Phaeophyceae_XX_ASV_8454","Phaeophyceae","Phaeophyceae_XX",NA,NA,0.00373382110791964,0.0332017107611982,0,0,0,0,FALSE,FALSE,"SELVA","Winter","Glass","Phaeophyceae_XX_ASV_8454"
"Scytosiphon_ASV_8447","Phaeophyceae","Phaeophyceae_XX","Scytosiphon","Scytosiphon_lomentaria",0.00354770353878193,0.0315467247510273,0,0,0,0,FALSE,FALSE,"SELVA","Winter","Glass","Scytosiphon_lomentaria"
"Stypopodium_ASV_10934","Phaeophyceae","Phaeophyceae_XX","Stypopodium","Stypopodium_sp.",0.00680035423025665,0.0604697942672649,0,0,0,0,FALSE,FALSE,"SELVA","Winter","Glass","Stypopodium_sp."
