"OTU_j","lowest_j","Cls_j","OTU_k","lowest_k","Cls_k","env_cor","res_cor","surprise","quadrant"
"Dino-Group-I-Clade-1_X_ASV_21086","Dino-Group-I-Clade-1_X_sp.","Syndiniales","Pseudoscourfieldiaceae_X_ASV_25684","Pseudoscourfieldiaceae_X_sp.","Pseudoscourfieldiophyceae",0.04,0.733,0.694,"Q1"
"Navicula_ASV_10078","Navicula sp.","Bacillariophyceae","Dino-Group-I-Clade-1_X_ASV_21086","Dino-Group-I-Clade-1_X_sp.","Syndiniales",0.099,0.781,0.682,"Q1"
"Dino-Group-II-Clade-10-and-11_X_ASV_23376","Dino-Group-II-Clade-10-and-11_X_sp.","Syndiniales","Bacillariophyceae_ASV_9972","Bacillariophyceae","Bacillariophyceae",0.014,0.686,0.672,"Q1"
"Dino-Group-I-Clade-1_X_ASV_25271","Dino-Group-I-Clade-1_X_sp.","Syndiniales","Dino-Group-I-Clade-1_X_ASV_21086","Dino-Group-I-Clade-1_X_sp.","Syndiniales",0.007,0.676,0.669,"Q1"
"Navicula_ASV_10078","Navicula sp.","Bacillariophyceae","Dino-Group-II-Clade-10-and-11_X_ASV_23376","Dino-Group-II-Clade-10-and-11_X_sp.","Syndiniales",-0.075,0.734,0.659,"Q3"
"Pleurosigma_ASV_10232","Pleurosigma_sp.","Bacillariophyceae","Dino-Group-I-Clade-1_X_ASV_20879","Dino-Group-I-Clade-1_X_sp.","Syndiniales",-0.053,0.711,0.659,"Q3"
"Navicula_ASV_10078","Navicula sp.","Bacillariophyceae","Metromonas_ASV_18427","Metromonas_simplex","Filosa-Metromonadea",-0.014,0.668,0.654,"Q3"
"Dino-Group-II-Clade-10-and-11_X_ASV_23376","Dino-Group-II-Clade-10-and-11_X_sp.","Syndiniales","Chaetoceros_ASV_11054","Chaetoceros_socialis","Mediophyceae",-0.015,0.668,0.653,"Q3"
"Costaria_ASV_10957","Costaria_costata","Phaeophyceae","Loxosomella_ASV_16675","Loxosomella_sp.","Entoprocta",0.009,0.658,0.649,"Q1"
"Dino-Group-I-Clade-1_X_ASV_21086","Dino-Group-I-Clade-1_X_sp.","Syndiniales","Adineta_ASV_17598","Adineta_vaga","Rotifera",-0.033,-0.68,0.647,"Q4"
"Dino-Group-I-Clade-1_X_ASV_25271","Dino-Group-I-Clade-1_X_sp.","Syndiniales","Craticula_ASV_10145","Craticula_importuna","Bacillariophyceae",0.017,0.662,0.645,"Q1"
"Naviculaceae_ASV_9847","Naviculaceae (fam.)","Bacillariophyceae","Dino-Group-II-Clade-10-and-11_X_ASV_23376","Dino-Group-II-Clade-10-and-11_X_sp.","Syndiniales",-0.023,0.668,0.644,"Q3"
"Dino-Group-I-Clade-1_X_ASV_21086","Dino-Group-I-Clade-1_X_sp.","Syndiniales","Cymbella_ASV_11535","Cymbella_acuta","Bacillariophyceae",0.049,0.69,0.641,"Q1"
"Bacillariophyceae_ASV_9867","Bacillariophyceae","Bacillariophyceae","Dino-Group-II-Clade-10-and-11_X_ASV_23376","Dino-Group-II-Clade-10-and-11_X_sp.","Syndiniales",0.035,0.667,0.633,"Q1"
"Scytosiphon_ASV_8447","Scytosiphon_lomentaria","Phaeophyceae","Dino-Group-I-Clade-1_X_ASV_21086","Dino-Group-I-Clade-1_X_sp.","Syndiniales",0.019,0.642,0.624,"Q1"
"Lichomolgus_ASV_17960","Lichomolgus_marginatus","Arthropoda","Pleurosigma_ASV_10260","Pleurosigma_intermedium","Bacillariophyceae",-0.04,-0.663,0.623,"Q4"
"Arcocellulus_ASV_11592","Arcocellulus_cornucervis","Mediophyceae","Dino-Group-I-Clade-1_X_ASV_20870","Dino-Group-I-Clade-1_X_sp.","Syndiniales",0,0.621,0.621,"Q3"
"Navicula_ASV_10502","Navicula_cryptotenella","Bacillariophyceae","Dino-Group-II-Clade-10-and-11_X_ASV_23376","Dino-Group-II-Clade-10-and-11_X_sp.","Syndiniales",0.02,0.637,0.617,"Q1"
"Stypopodium_ASV_10934","Stypopodium_sp.","Phaeophyceae","Loxosomella_ASV_16675","Loxosomella_sp.","Entoprocta",-0.059,0.675,0.616,"Q3"
"Dino-Group-I-Clade-1_X_ASV_21086","Dino-Group-I-Clade-1_X_sp.","Syndiniales","Pleurosigma_ASV_10260","Pleurosigma_intermedium","Bacillariophyceae",0.083,0.697,0.614,"Q1"
"Dino-Group-I-Clade-1_X_ASV_21086","Dino-Group-I-Clade-1_X_sp.","Syndiniales","Bacillariophyceae_ASV_9683","Bacillariophyceae","Bacillariophyceae",0.027,0.636,0.609,"Q1"
"Naviculaceae_ASV_9847","Naviculaceae (fam.)","Bacillariophyceae","Halomonhystera_ASV_27080","Halomonhystera_disjuncta","Nematoda",-0.021,-0.627,0.606,"Q4"
"Cymbella_ASV_11535","Cymbella_acuta","Bacillariophyceae","Dino-Group-I-Clade-1_X_ASV_20870","Dino-Group-I-Clade-1_X_sp.","Syndiniales",0.003,0.606,0.603,"Q1"
