"OTU_j","OTU_k","res_cor","env_cor","Class_j","Division_j","Class_k","Division_k","same_class","same_division","quadrant","surprise","strong_res","concordant"
"Navicula_ASV_10078","Electra_ASV_17846",0.177087217447883,0.344623882115358,"Bacillariophyceae","Stramenopiles","Bryozoa","Opisthokonta",FALSE,FALSE,"Q1",-0.167536664667475,FALSE,TRUE
"Navicula_ASV_10078","Ectocarpus_ASV_8433",0.522942095090706,0.811441067369298,"Bacillariophyceae","Stramenopiles","Phaeophyceae","Stramenopiles",FALSE,TRUE,"Q1",-0.288498972278591,TRUE,TRUE
"Electra_ASV_17846","Ectocarpus_ASV_8433",0.132979544401744,0.563981777021766,"Bryozoa","Opisthokonta","Phaeophyceae","Stramenopiles",FALSE,FALSE,"Q1",-0.431002232620022,FALSE,TRUE
"Navicula_ASV_10078","Diplosoma_ASV_13104",-0.174976860274107,-0.13375983052912,"Bacillariophyceae","Stramenopiles","Urochordata","Opisthokonta",FALSE,FALSE,"Q4",0.0412170297449875,FALSE,TRUE
"Electra_ASV_17846","Diplosoma_ASV_13104",-0.075386220889619,0.489647027681795,"Bryozoa","Opisthokonta","Urochordata","Opisthokonta",FALSE,TRUE,"Q2",-0.414260806792176,FALSE,FALSE
"Ectocarpus_ASV_8433","Diplosoma_ASV_13104",-0.284645143528885,-0.051173168088373,"Phaeophyceae","Stramenopiles","Urochordata","Opisthokonta",FALSE,FALSE,"Q4",0.233471975440512,FALSE,TRUE
"Navicula_ASV_10078","Phallusia_ASV_17107",0.194589995855807,0.167916291215433,"Bacillariophyceae","Stramenopiles","Urochordata","Opisthokonta",FALSE,FALSE,"Q1",0.0266737046403741,FALSE,TRUE
"Electra_ASV_17846","Phallusia_ASV_17107",0.0604208377395387,0.456103872608011,"Bryozoa","Opisthokonta","Urochordata","Opisthokonta",FALSE,TRUE,"Q1",-0.395683034868472,FALSE,TRUE
"Ectocarpus_ASV_8433","Phallusia_ASV_17107",0.206817021989858,0.440301648150276,"Phaeophyceae","Stramenopiles","Urochordata","Opisthokonta",FALSE,FALSE,"Q1",-0.233484626160418,FALSE,TRUE
"Diplosoma_ASV_13104","Phallusia_ASV_17107",-0.2313488923343,0.125945897313456,"Urochordata","Opisthokonta","Urochordata","Opisthokonta",TRUE,TRUE,"Q2",0.105402995020844,FALSE,FALSE
"Navicula_ASV_10078","Tiaropsidium_ASV_16743",0.0985728372775429,-0.175234575461875,"Bacillariophyceae","Stramenopiles","Cnidaria","Opisthokonta",FALSE,FALSE,"Q3",-0.0766617381843326,FALSE,FALSE
"Electra_ASV_17846","Tiaropsidium_ASV_16743",0.063537544319863,-0.721795702457099,"Bryozoa","Opisthokonta","Cnidaria","Opisthokonta",FALSE,TRUE,"Q3",-0.658258158137236,FALSE,FALSE
"Ectocarpus_ASV_8433","Tiaropsidium_ASV_16743",0.259091385768674,-0.292600900988117,"Phaeophyceae","Stramenopiles","Cnidaria","Opisthokonta",FALSE,FALSE,"Q3",-0.033509515219443,FALSE,FALSE
"Diplosoma_ASV_13104","Tiaropsidium_ASV_16743",-0.494808729827699,-0.638801111708768,"Urochordata","Opisthokonta","Cnidaria","Opisthokonta",FALSE,TRUE,"Q4",-0.143992381881069,FALSE,TRUE
"Phallusia_ASV_17107","Tiaropsidium_ASV_16743",0.240920497340849,-0.313304002858554,"Urochordata","Opisthokonta","Cnidaria","Opisthokonta",FALSE,TRUE,"Q3",-0.0723835055177048,FALSE,FALSE
"Navicula_ASV_10078","Navicula_ASV_10098",0.644996555842583,0.913606328475972,"Bacillariophyceae","Stramenopiles","Bacillariophyceae","Stramenopiles",TRUE,TRUE,"Q1",-0.268609772633389,TRUE,TRUE
"Electra_ASV_17846","Navicula_ASV_10098",0.122003854473576,0.467101686687893,"Bryozoa","Opisthokonta","Bacillariophyceae","Stramenopiles",FALSE,FALSE,"Q1",-0.345097832214316,FALSE,TRUE
"Ectocarpus_ASV_8433","Navicula_ASV_10098",0.318721762749814,0.841606193603588,"Phaeophyceae","Stramenopiles","Bacillariophyceae","Stramenopiles",FALSE,TRUE,"Q1",-0.522884430853774,FALSE,TRUE
"Diplosoma_ASV_13104","Navicula_ASV_10098",0.130685998700743,-0.0428238862225984,"Urochordata","Opisthokonta","Bacillariophyceae","Stramenopiles",FALSE,FALSE,"Q3",0.0878621124781443,FALSE,FALSE
"Phallusia_ASV_17107","Navicula_ASV_10098",0.0345613813367664,0.202328709321776,"Urochordata","Opisthokonta","Bacillariophyceae","Stramenopiles",FALSE,FALSE,"Q1",-0.16776732798501,FALSE,TRUE
"Tiaropsidium_ASV_16743","Navicula_ASV_10098",-0.235489662796779,-0.387734069948199,"Cnidaria","Opisthokonta","Bacillariophyceae","Stramenopiles",FALSE,FALSE,"Q4",-0.15224440715142,FALSE,TRUE
"Navicula_ASV_10078","Costaria_ASV_10957",0.609274720144806,0.646626452424427,"Bacillariophyceae","Stramenopiles","Phaeophyceae","Stramenopiles",FALSE,TRUE,"Q1",-0.0373517322796211,TRUE,TRUE
"Electra_ASV_17846","Costaria_ASV_10957",0.11546749266223,0.0902175786260387,"Bryozoa","Opisthokonta","Phaeophyceae","Stramenopiles",FALSE,FALSE,"Q1",0.025249914036191,FALSE,TRUE
"Ectocarpus_ASV_8433","Costaria_ASV_10957",0.30210370675947,0.46830539970606,"Phaeophyceae","Stramenopiles","Phaeophyceae","Stramenopiles",TRUE,TRUE,"Q1",-0.16620169294659,FALSE,TRUE
"Diplosoma_ASV_13104","Costaria_ASV_10957",0.120918854150128,-0.241071412436592,"Urochordata","Opisthokonta","Phaeophyceae","Stramenopiles",FALSE,FALSE,"Q3",-0.120152558286464,FALSE,FALSE
"Phallusia_ASV_17107","Costaria_ASV_10957",0.0338050729890057,-0.258334488548393,"Urochordata","Opisthokonta","Phaeophyceae","Stramenopiles",FALSE,FALSE,"Q3",-0.224529415559387,FALSE,FALSE
"Tiaropsidium_ASV_16743","Costaria_ASV_10957",-0.21953341548167,0.139474240842164,"Cnidaria","Opisthokonta","Phaeophyceae","Stramenopiles",FALSE,FALSE,"Q2",0.0800591746395064,FALSE,FALSE
"Navicula_ASV_10098","Costaria_ASV_10957",0.674546491162114,0.59638836886767,"Bacillariophyceae","Stramenopiles","Phaeophyceae","Stramenopiles",FALSE,TRUE,"Q1",0.0781581222944442,TRUE,TRUE
"Navicula_ASV_10078","Maxillopoda_ASV_13791",-0.152463195713821,0.540882813405572,"Bacillariophyceae","Stramenopiles","Arthropoda","Opisthokonta",FALSE,FALSE,"Q2",-0.388419617691751,FALSE,FALSE
"Electra_ASV_17846","Maxillopoda_ASV_13791",-0.00871836269770259,0.6836959006631,"Bryozoa","Opisthokonta","Arthropoda","Opisthokonta",FALSE,TRUE,"Q2",-0.674977537965398,FALSE,FALSE
