"OTU_j","OTU_k","res_cor","env_cor","Class_j","Division_j","Class_k","Division_k","same_class","same_division","quadrant","surprise","strong_res","concordant"
"Dino-Group-I-Clade-1_X_ASV_21086","Pseudoscourfieldiaceae_X_ASV_25684",0.733,0.04,"Syndiniales","Alveolata","Pseudoscourfieldiophyceae","Chlorophyta",FALSE,FALSE,"Q1",0.694,TRUE,TRUE
"Navicula_ASV_10078","Dino-Group-I-Clade-1_X_ASV_21086",0.781,0.099,"Bacillariophyceae","Stramenopiles","Syndiniales","Alveolata",FALSE,FALSE,"Q1",0.682,TRUE,TRUE
"Dino-Group-II-Clade-10-and-11_X_ASV_23376","Bacillariophyceae_ASV_9972",0.686,0.014,"Syndiniales","Alveolata","Bacillariophyceae","Stramenopiles",FALSE,FALSE,"Q1",0.672,TRUE,TRUE
"Dino-Group-I-Clade-1_X_ASV_25271","Dino-Group-I-Clade-1_X_ASV_21086",0.676,0.007,"Syndiniales","Alveolata","Syndiniales","Alveolata",TRUE,TRUE,"Q1",0.669,TRUE,TRUE
"Navicula_ASV_10078","Dino-Group-II-Clade-10-and-11_X_ASV_23376",0.734,-0.075,"Bacillariophyceae","Stramenopiles","Syndiniales","Alveolata",FALSE,FALSE,"Q3",0.659,TRUE,FALSE
"Pleurosigma_ASV_10232","Dino-Group-I-Clade-1_X_ASV_20879",0.711,-0.053,"Bacillariophyceae","Stramenopiles","Syndiniales","Alveolata",FALSE,FALSE,"Q3",0.659,TRUE,FALSE
"Navicula_ASV_10078","Metromonas_ASV_18427",0.668,-0.014,"Bacillariophyceae","Stramenopiles","Filosa-Metromonadea","Rhizaria",FALSE,FALSE,"Q3",0.654,TRUE,FALSE
"Dino-Group-II-Clade-10-and-11_X_ASV_23376","Chaetoceros_ASV_11054",0.668,-0.015,"Syndiniales","Alveolata","Mediophyceae","Stramenopiles",FALSE,FALSE,"Q3",0.653,TRUE,FALSE
"Costaria_ASV_10957","Loxosomella_ASV_16675",0.658,0.009,"Phaeophyceae","Stramenopiles","Entoprocta","Opisthokonta",FALSE,FALSE,"Q1",0.649,TRUE,TRUE
"Dino-Group-I-Clade-1_X_ASV_21086","Adineta_ASV_17598",-0.68,-0.033,"Syndiniales","Alveolata","Rotifera","Opisthokonta",FALSE,FALSE,"Q4",0.647,TRUE,TRUE
"Dino-Group-I-Clade-1_X_ASV_25271","Craticula_ASV_10145",0.662,0.017,"Syndiniales","Alveolata","Bacillariophyceae","Stramenopiles",FALSE,FALSE,"Q1",0.645,TRUE,TRUE
"Naviculaceae_ASV_9847","Dino-Group-II-Clade-10-and-11_X_ASV_23376",0.668,-0.023,"Bacillariophyceae","Stramenopiles","Syndiniales","Alveolata",FALSE,FALSE,"Q3",0.644,TRUE,FALSE
"Dino-Group-I-Clade-1_X_ASV_21086","Cymbella_ASV_11535",0.69,0.049,"Syndiniales","Alveolata","Bacillariophyceae","Stramenopiles",FALSE,FALSE,"Q1",0.641,TRUE,TRUE
"Bacillariophyceae_ASV_9867","Dino-Group-II-Clade-10-and-11_X_ASV_23376",0.667,0.035,"Bacillariophyceae","Stramenopiles","Syndiniales","Alveolata",FALSE,FALSE,"Q1",0.633,TRUE,TRUE
"OTU_ASV_13628","Arcocellulus_ASV_11592",0.639,-0.006,NA,"Opisthokonta","Mediophyceae","Stramenopiles",FALSE,FALSE,"Q3",0.633,TRUE,FALSE
"Scytosiphon_ASV_8447","Dino-Group-I-Clade-1_X_ASV_21086",0.642,0.019,"Phaeophyceae","Stramenopiles","Syndiniales","Alveolata",FALSE,FALSE,"Q1",0.624,TRUE,TRUE
"Lichomolgus_ASV_17960","Pleurosigma_ASV_10260",-0.663,-0.04,"Arthropoda","Opisthokonta","Bacillariophyceae","Stramenopiles",FALSE,FALSE,"Q4",0.623,TRUE,TRUE
