"OTU_Label","OTU_ID","Cluster","Division","Class","Order","Family","Genus","Species"
"Navicula_ASV_10078","ASV_10078","C1","Stramenopiles","Bacillariophyceae","Naviculales","Naviculaceae","Navicula",NA
"Electra_ASV_17846","ASV_17846","C2","Opisthokonta","Bryozoa","Bryozoa_X","Bryozoa_XX","Electra","Electra_pilosa"
"Ectocarpus_ASV_8433","ASV_8433","C2","Stramenopiles","Phaeophyceae","Phaeophyceae_X","Phaeophyceae_XX","Ectocarpus",NA
"Diplosoma_ASV_13104","ASV_13104","C3","Opisthokonta","Urochordata","Urochordata_X","Ascidiacea","Diplosoma",NA
"Phallusia_ASV_17107","ASV_17107","C4","Opisthokonta","Urochordata","Urochordata_X","Ascidiacea","Phallusia",NA
"Tiaropsidium_ASV_16743","ASV_16743","C4","Opisthokonta","Cnidaria","Cnidaria_X","Hydrozoa","Tiaropsidium","Tiaropsidium_kelseyi"
"Navicula_ASV_10098","ASV_10098","C5","Stramenopiles","Bacillariophyceae","Naviculales","Naviculaceae","Navicula","Navicula_tripunctata"
"Costaria_ASV_10957","ASV_10957","C5","Stramenopiles","Phaeophyceae","Phaeophyceae_X","Phaeophyceae_XX","Costaria","Costaria_costata"
"Maxillopoda_ASV_13791","ASV_13791","C4","Opisthokonta","Arthropoda","Crustacea","Maxillopoda",NA,NA
"Pterocystida_ASV_21672","ASV_21672","C1","Centroplasthelida","Pterocystida","Pterista",NA,NA,NA
"Placuna_ASV_17776","ASV_17776","C1","Opisthokonta","Mollusca","Bivalvia","Pectinoida","Placuna","Placuna_placenta"
"Pterocystida_ASV_21674","ASV_21674","C3","Centroplasthelida","Pterocystida","Pterista",NA,NA,NA
"Maxillopoda_ASV_13929","ASV_13929","C2","Opisthokonta","Arthropoda","Crustacea","Maxillopoda",NA,NA
"Mediophyceae_ASV_10516","ASV_10516","C1","Stramenopiles","Mediophyceae",NA,NA,NA,NA
"Grammonema_ASV_10016","ASV_10016","C5","Stramenopiles","Bacillariophyceae","Fragilariales","Fragilariaceae","Grammonema","Grammonema_striatula"
"OTU_ASV_33054","ASV_33054","C4",NA,NA,NA,NA,NA,NA
"Harpacticus_ASV_13902","ASV_13902","C3","Opisthokonta","Arthropoda","Crustacea","Maxillopoda","Harpacticus","Harpacticus_sp."
"Bacillariophyceae_ASV_10175","ASV_10175","C2","Stramenopiles","Bacillariophyceae",NA,NA,NA,NA
"Ephelota_ASV_4004","ASV_4004","C3","Alveolata","Phyllopharyngea","Suctoria","Ephelotidae","Ephelota",NA
"Ephelota_ASV_4014","ASV_4014","C4","Alveolata","Phyllopharyngea","Suctoria","Ephelotidae","Ephelota","Ephelota_mammillata"
"Obelia_ASV_16795","ASV_16795","C3","Opisthokonta","Cnidaria","Cnidaria_X","Hydrozoa","Obelia","Obelia_longissima"
"Maxillopoda_ASV_13865","ASV_13865","C5","Opisthokonta","Arthropoda","Crustacea","Maxillopoda",NA,NA
