"OTU_Label","lowest_tax","Class","Cluster","node_degree","node_strength","node_betweenness","pos_degree","neg_degree","signed_dominance"
"Navicula_ASV_10078","Navicula (genus)","Bacillariophyceae","C1",87,54.5772,0.2681,83,4,0.908045977011494
"Dino-Group-I-Clade-1_X_ASV_20879","Dino-Group-I-Clade-1_X_sp. (species)","Syndiniales","C2",79,48.0363,0.1301,76,3,0.924050632911392
"Chaetoceros_ASV_11054","Chaetoceros_socialis (species)","Mediophyceae","C5",69,42.2307,0.1198,67,2,0.942028985507246
"Grammonema_ASV_10016","Grammonema_striatula (species)","Bacillariophyceae","C5",34,19.5662,0.0958,32,2,0.882352941176471
"Loxosomella_ASV_16675","Loxosomella_sp. (species)","Entoprocta","C1",77,48.2351,0.0881,75,2,0.948051948051948
"Ephelota_ASV_4014","Ephelota_mammillata (species)","Phyllopharyngea","C4",2,1.0379,0.0582,1,1,0
"Tiaropsidium_ASV_16743","Tiaropsidium_kelseyi (species)","Cnidaria","C4",2,1.0633,0.0392,2,0,1
"Maxillopoda_ASV_13839","Maxillopoda (family)","Arthropoda","C4",2,1.0619,0.0198,1,1,0
"Pseudoscourfieldiaceae_X_ASV_25684","Pseudoscourfieldiaceae_X_sp. (species)","Pseudoscourfieldiophyceae","C2",83,49.6142,0.003,79,4,0.903614457831325
"Bacillariophyceae_ASV_9972","Bacillariophyceae (class)","Bacillariophyceae","C1",80,47.8494,2e-04,76,4,0.9
"Ectocarpus_ASV_8433","Ectocarpus (genus)","Phaeophyceae","C2",11,5.796,0,10,1,0.818181818181818
"Diplosoma_ASV_13104","Diplosoma (genus)","Urochordata","C3",1,0.5061,0,0,1,-1
"Navicula_ASV_10098","Navicula_tripunctata (species)","Bacillariophyceae","C5",48,29.2155,0,46,2,0.916666666666667
"Costaria_ASV_10957","Costaria_costata (species)","Phaeophyceae","C5",44,25.6751,0,42,2,0.909090909090909
"Pterocystida_ASV_21672","Pterista (order)","Pterocystida","C1",41,22.2148,0,39,2,0.902439024390244
"Placuna_ASV_17776","Placuna_placenta (species)","Mollusca","C1",44,24.098,0,42,2,0.909090909090909
"Mediophyceae_ASV_10516","Mediophyceae (class)","Mediophyceae","C1",82,50.2351,0,78,4,0.902439024390244
"Bacillariophyceae_ASV_10175","Bacillariophyceae (class)","Bacillariophyceae","C2",57,31.7232,0,54,3,0.894736842105263
"Telonema-Group-1_ASV_18184","Telonema_subtile (species)","Telonemia_XX","C2",40,22.0157,0,37,3,0.85
"Naviculaceae_ASV_9847","Naviculaceae (family)","Bacillariophyceae","C1",68,41.0492,0,66,2,0.941176470588235
"Heribaudiella_ASV_10928","Heribaudiella_fluviatilis (species)","Phaeophyceae","C2",37,20.1083,0,35,2,0.891891891891892
"Bacillariophyceae_ASV_6651","Bacillariophyceae (class)","Bacillariophyceae","C2",48,26.357,0,46,2,0.916666666666667
"Navicula_ASV_10502","Navicula_cryptotenella (species)","Bacillariophyceae","C1",59,34.2641,0,57,2,0.932203389830508
"Bacillariophyceae_ASV_9867","Bacillariophyceae (class)","Bacillariophyceae","C1",70,41.571,0,67,3,0.914285714285714
"Phaeophyceae_XX_ASV_8454","Phaeophyceae_XX (family)","Phaeophyceae","C1",71,42.133,0,68,3,0.915492957746479
"Scytosiphon_ASV_8447","Scytosiphon_lomentaria (species)","Phaeophyceae","C5",49,29.3515,0,47,2,0.918367346938776
"Stypopodium_ASV_10934","Stypopodium_sp. (species)","Phaeophyceae","C5",47,27.838,0,45,2,0.914893617021277
"Phaeophyceae_XX_ASV_8507","Phaeophyceae_XX (family)","Phaeophyceae","C1",35,18.7517,0,34,1,0.942857142857143
"Bacillariaceae_ASV_10168","Bacillariaceae (family)","Bacillariophyceae","C2",58,32.9341,0,55,3,0.896551724137931
"OTU_ASV_8306","Unclassified",NA,"C2",3,1.5382,0,3,0,1
"Dino-Group-I-Clade-1_X_ASV_25271","Dino-Group-I-Clade-1_X_sp. (species)","Syndiniales","C2",67,39.043,0,64,3,0.91044776119403
"Rhabdochona_ASV_27104","Rhabdochona_guerreroensis (species)","Nematoda","C5",1,0.5,0,1,0,1
"OTU_ASV_7470","Unclassified",NA,"C5",1,0.5125,0,1,0,1
"Mediophyceae_ASV_9615","Thalassiosirales (order)","Mediophyceae","C1",38,20.463,0,37,1,0.947368421052632
"Dino-Group-I-Clade-1_X_ASV_25263","Dino-Group-I-Clade-1_X_sp. (species)","Syndiniales","C2",27,14.666,0,25,2,0.851851851851852
"Dino-Group-I-Clade-1_X_ASV_21086","Dino-Group-I-Clade-1_X_sp. (species)","Syndiniales","C1",87,54.493,0,83,4,0.908045977011494
"Palmaria_ASV_24380","Palmaria_palmata (species)","Florideophyceae","C2",14,7.3494,0,14,0,1
"Naviculaceae_ASV_9674","Naviculaceae (family)","Bacillariophyceae","C1",38,20.2695,0,37,1,0.947368421052632
"Pterocystidae_ASV_21686","Pterocystidae (family)","Pterocystida","C2",9,4.6809,0,8,1,0.777777777777778
"Lichomolgus_ASV_17960","Lichomolgus_marginatus (species)","Arthropoda","C3",43,24.2624,0,2,41,-0.906976744186046
"Navicula_ASV_10118","Navicula (genus)","Bacillariophyceae","C5",35,19.9682,0,34,1,0.942857142857143
"CCW10-lineage_X_ASV_13480","CCW10-lineage_X_sp. (species)","Filosa-Thecofilosea","C2",20,10.7952,0,18,2,0.8
"OTU_ASV_17235","Unclassified",NA,"C2",12,6.5633,0,10,2,0.666666666666667
"Leathesia_ASV_8462","Leathesia_difformis (species)","Phaeophyceae","C5",39,22.2496,0,38,1,0.948717948717949
"Reckertia_ASV_15655","Reckertia_filosa (species)","Filosa-Imbricatea","C1",59,33.5951,0,57,2,0.932203389830508
"Ascidiella_ASV_17116","Ascidiella_sp. (species)","Urochordata","C5",15,8.1425,0,14,1,0.866666666666667
"Aplanochytrium_ASV_9331","Aplanochytrium_sp. (species)","Sagenista","C1",45,24.7165,0,43,2,0.911111111111111
"Craticula_ASV_10145","Craticula_importuna (species)","Bacillariophyceae","C2",66,38.1195,0,63,3,0.909090909090909
"Adineta_ASV_17598","Adineta_vaga (species)","Rotifera","C3",62,35.7527,0,2,60,-0.935483870967742
"Pylaiella_ASV_8146","Pylaiella_littoralis (species)","Phaeophyceae","C5",1,0.5117,0,1,0,1
"Amphora_ASV_11507","Amphora_coffeaeformis (species)","Bacillariophyceae","C5",45,25.8504,0,43,2,0.911111111111111
"Embryophyceae_XX_ASV_21512","Embryophyceae_XX (family)","Embryophyceae","C2",16,8.6024,0,14,2,0.75
"OTU_ASV_13628","Unclassified",NA,"C1",74,43.9101,0,71,3,0.918918918918919
"Tisbe_ASV_13853","Tisbe_sp. (species)","Arthropoda","C1",2,1.0087,0,2,0,1
"Cymbella_ASV_11535","Cymbella_acuta (species)","Bacillariophyceae","C1",66,38.3097,0,63,3,0.909090909090909
"Dino-Group-II-Clade-10-and-11_X_ASV_23376","Dino-Group-II-Clade-10-and-11_X_sp. (species)","Syndiniales","C1",76,45.9256,0,73,3,0.921052631578947
"Gastrotricha_XX_ASV_16593","Gastrotricha_XX (family)","Gastrotricha","C1",14,7.253,0,14,0,1
"Phaeophyceae_XX_ASV_8496","Phaeophyceae_XX (family)","Phaeophyceae","C1",52,29.2039,0,50,2,0.923076923076923
"Bacillariaceae_ASV_10164","Bacillariaceae (family)","Bacillariophyceae","C2",11,5.8456,0,10,1,0.818181818181818
"Dino-Group-I-Clade-1_X_ASV_21077","Dino-Group-I-Clade-1_X_sp. (species)","Syndiniales","C1",59,33.9734,0,57,2,0.932203389830508
"Halomonhystera_ASV_27080","Halomonhystera_disjuncta (species)","Nematoda","C3",44,25.3335,0,1,43,-0.954545454545455
"Metromonas_ASV_18427","Metromonas_simplex (species)","Filosa-Metromonadea","C1",59,33.609,0,57,2,0.932203389830508
"MAST-3I_ASV_9358","MAST-3I_sp. (species)","Opalozoa","C2",6,3.0676,0,6,0,1
"Bacillariophyceae_ASV_10160","Bacillariophyceae (class)","Bacillariophyceae","C2",9,4.6844,0,9,0,1
"Fragilariaceae_ASV_10037","Fragilariaceae (family)","Bacillariophyceae","C1",68,40.9602,0,66,2,0.941176470588235
"Pleurosigma_ASV_10232","Pleurosigma_sp. (species)","Bacillariophyceae","C2",66,38.3771,0,63,3,0.909090909090909
"Bacillariophyceae_ASV_9918","Bacillariophyceae (class)","Bacillariophyceae","C1",58,33.0598,0,56,2,0.931034482758621
"Bacillariophyceae_ASV_32933","Naviculales (order)","Bacillariophyceae","C2",58,32.9714,0,55,3,0.896551724137931
"Bacillariophyceae_ASV_8723","Bacillariophyceae (class)","Bacillariophyceae","C5",43,24.8556,0,42,1,0.953488372093023
"Arcocellulus_ASV_11592","Arcocellulus_cornucervis (species)","Mediophyceae","C1",66,39.3351,0,64,2,0.939393939393939
"Adineta_ASV_17599","Adineta_vaga (species)","Rotifera","C3",20,10.6816,0,1,19,-0.9
"OTU_ASV_15511","Unclassified",NA,"C2",22,11.9994,0,20,2,0.818181818181818
"Pleurosigma_ASV_10236","Pleurosigma_intermedium (species)","Bacillariophyceae","C2",18,9.5362,0,17,1,0.888888888888889
"Cryothecomonas_ASV_15153","Cryothecomonas_aestivalis (species)","Filosa-Thecofilosea","C5",21,11.0865,0,20,1,0.904761904761905
"Ectocarpus_ASV_8444","Ectocarpus (genus)","Phaeophyceae","C1",21,11.1226,0,21,0,1
"Haslea_ASV_9240","Haslea_avium (species)","Bacillariophyceae","C1",45,26.0878,0,43,2,0.911111111111111
