"taxon_group","comparison","Z","p_adj","significant"
"Syndiniales","Filter - Glass",6.134,0,TRUE
"Syndiniales","Filter - PE",5.372,0,TRUE
"Syndiniales","Glass - PE",-0.604,0.3724,FALSE
"Syndiniales","Filter - Weathered_PE",6.413,0,TRUE
"Syndiniales","Glass - Weathered_PE",0.303,0.4082,FALSE
"Syndiniales","PE - Weathered_PE",0.899,0.3457,FALSE
"Syndiniales","Filter - PET",5.486,0,TRUE
"Syndiniales","Glass - PET",-0.563,0.3586,FALSE
"Syndiniales","PE - PET",0.046,0.4818,FALSE
"Syndiniales","Weathered_PE - PET",-0.861,0.3245,FALSE
"Syndiniales","Filter - Weathered_PET",4.787,0,TRUE
"Syndiniales","Glass - Weathered_PET",-1.169,0.2595,FALSE
"Syndiniales","PE - Weathered_PET",-0.556,0.3336,FALSE
"Syndiniales","Weathered_PE - Weathered_PET",-1.462,0.1795,FALSE
"Syndiniales","PET - Weathered_PET",-0.607,0.408,FALSE
"Bacillariophyceae","Filter - Glass",-3.257,0.0017,TRUE
"Bacillariophyceae","Filter - PE",-4.751,0,TRUE
"Bacillariophyceae","Glass - PE",-1.333,0.1521,FALSE
"Bacillariophyceae","Filter - Weathered_PE",-4.847,0,TRUE
"Bacillariophyceae","Glass - Weathered_PE",-1.417,0.1466,FALSE
"Bacillariophyceae","PE - Weathered_PE",-0.083,0.5001,FALSE
"Bacillariophyceae","Filter - PET",-5.045,0,TRUE
"Bacillariophyceae","Glass - PET",-1.553,0.1505,FALSE
"Bacillariophyceae","PE - PET",-0.207,0.6272,FALSE
"Bacillariophyceae","Weathered_PE - PET",-0.123,0.564,FALSE
"Bacillariophyceae","Filter - Weathered_PET",-5.008,0,TRUE
"Bacillariophyceae","Glass - Weathered_PET",-1.521,0.1375,FALSE
"Bacillariophyceae","PE - Weathered_PET",-0.175,0.5873,FALSE
"Bacillariophyceae","Weathered_PE - Weathered_PET",-0.091,0.5353,FALSE
"Bacillariophyceae","PET - Weathered_PET",0.032,0.4871,FALSE
