"OTU_j","OTU_k","res_cor","env_cor","surprise","quadrant","same_class","Class_j","Class_k","association","abs_r","Class_from","Class_to","synd_otu","diatom_otu","diatom_class","pollock_signal"
"Navicula_ASV_10078","Dino-Group-I-Clade-1_X_ASV_25271",0.676336295424279,-0.503948043296377,0.172388252127901,"Q3",FALSE,"Bacillariophyceae","Syndiniales","positive",0.676336295424279,"Bacillariophyceae","Syndiniales","Dino-Group-I-Clade-1_X_ASV_25271","Navicula_ASV_10078","Bacillariophyceae","Q3"
"Mediophyceae_ASV_10516","Dino-Group-I-Clade-1_X_ASV_25271",0.65847245456825,-0.342807292363482,0.315665162204768,"Q3",FALSE,"Mediophyceae","Syndiniales","positive",0.65847245456825,"Mediophyceae","Syndiniales","Dino-Group-I-Clade-1_X_ASV_25271","Mediophyceae_ASV_10516","Mediophyceae","Q3"
"Bacillariophyceae_ASV_10175","Dino-Group-I-Clade-1_X_ASV_25271",0.622494028143434,-0.450265072393805,0.172228955749628,"Q3",FALSE,"Bacillariophyceae","Syndiniales","positive",0.622494028143434,"Bacillariophyceae","Syndiniales","Dino-Group-I-Clade-1_X_ASV_25271","Bacillariophyceae_ASV_10175","Bacillariophyceae","Q3"
"Naviculaceae_ASV_9847","Dino-Group-I-Clade-1_X_ASV_25271",0.541105681391056,-0.406805821967346,0.13429985942371,"Q3",FALSE,"Bacillariophyceae","Syndiniales","positive",0.541105681391056,"Bacillariophyceae","Syndiniales","Dino-Group-I-Clade-1_X_ASV_25271","Naviculaceae_ASV_9847","Bacillariophyceae","Q3"
"Bacillariophyceae_ASV_6651","Dino-Group-I-Clade-1_X_ASV_25271",0.581167229375523,-0.48001296106393,0.101154268311593,"Q3",FALSE,"Bacillariophyceae","Syndiniales","positive",0.581167229375523,"Bacillariophyceae","Syndiniales","Dino-Group-I-Clade-1_X_ASV_25271","Bacillariophyceae_ASV_6651","Bacillariophyceae","Q3"
"Navicula_ASV_10502","Dino-Group-I-Clade-1_X_ASV_25271",0.576704502568464,-0.469990707370518,0.106713795197946,"Q3",FALSE,"Bacillariophyceae","Syndiniales","positive",0.576704502568464,"Bacillariophyceae","Syndiniales","Dino-Group-I-Clade-1_X_ASV_25271","Navicula_ASV_10502","Bacillariophyceae","Q3"
"Bacillariophyceae_ASV_9867","Dino-Group-I-Clade-1_X_ASV_25271",0.594891070403134,-0.0872014204578056,0.507689649945328,"Q3",FALSE,"Bacillariophyceae","Syndiniales","positive",0.594891070403134,"Bacillariophyceae","Syndiniales","Dino-Group-I-Clade-1_X_ASV_25271","Bacillariophyceae_ASV_9867","Bacillariophyceae","Q3"
"Bacillariaceae_ASV_10168","Dino-Group-I-Clade-1_X_ASV_25271",0.63008449103507,-0.337545269666875,0.292539221368195,"Q3",FALSE,"Bacillariophyceae","Syndiniales","positive",0.63008449103507,"Bacillariophyceae","Syndiniales","Dino-Group-I-Clade-1_X_ASV_25271","Bacillariaceae_ASV_10168","Bacillariophyceae","Q3"
"Dino-Group-I-Clade-1_X_ASV_25271","Mediophyceae_ASV_9615",0.541183523431289,0.791329391083631,-0.250145867652341,"Q1",FALSE,"Syndiniales","Mediophyceae","positive",0.541183523431289,"Syndiniales","Mediophyceae","Dino-Group-I-Clade-1_X_ASV_25271","Mediophyceae_ASV_9615","Mediophyceae","Q1"
"Navicula_ASV_10078","Dino-Group-I-Clade-1_X_ASV_25263",0.571365328211284,-0.357724446715469,0.213640881495815,"Q3",FALSE,"Bacillariophyceae","Syndiniales","positive",0.571365328211284,"Bacillariophyceae","Syndiniales","Dino-Group-I-Clade-1_X_ASV_25263","Navicula_ASV_10078","Bacillariophyceae","Q3"
"Mediophyceae_ASV_10516","Dino-Group-I-Clade-1_X_ASV_25263",0.556618746391486,-0.305479912138063,0.251138834253424,"Q3",FALSE,"Mediophyceae","Syndiniales","positive",0.556618746391486,"Mediophyceae","Syndiniales","Dino-Group-I-Clade-1_X_ASV_25263","Mediophyceae_ASV_10516","Mediophyceae","Q3"
