"OTU_Label","Term","Estimate","SE","z","p_raw","is_degenerate_SE","is_extreme_coef","is_separation","lower","upper","site","term_season","term_substrate","is_substrate_contrast","p_BH","sig_BH","reliable","Domain","Supergroup","Division","Subdivision","Class","Order","Family","Genus","Species","mean_rel_abund","abund_weight","display_label"
"Navicula_ASV_10078","seasonSpring",6.58477372033288,1.81151325607628,3.63495751314314,0.000278026451247548,FALSE,FALSE,FALSE,3.03420773842337,10.1353397022424,"SELVA","Spring",NA,FALSE,0.0212713024257755,TRUE,TRUE,"Eukaryota","TSAR","Stramenopiles","Gyrista","Bacillariophyceae","Naviculales","Naviculaceae","Navicula",NA,0.112458696323662,1,"Navicula sp. Navicula_ASV_10078"
"Electra_ASV_17846","seasonSpring",7.65356056095755,49.9454974835586,0.153238248622451,0.878210395814335,FALSE,FALSE,FALSE,-90.2396145068173,105.546735628732,"SELVA","Spring",NA,FALSE,0.999999999999946,FALSE,FALSE,"Eukaryota","Obazoa","Opisthokonta","Metazoa","Bryozoa","Bryozoa_X","Bryozoa_XX","Electra","Electra_pilosa",0.0774123423111302,0.688362437426214,"Electra_pilosa"
"Ectocarpus_ASV_8433","seasonSpring",12.2468135461121,1.32690318475165e-05,922962.103554239,0,TRUE,FALSE,TRUE,12.2467875388096,12.2468395534145,"SELVA","Spring",NA,FALSE,NA,FALSE,FALSE,"Eukaryota","TSAR","Stramenopiles","Gyrista","Phaeophyceae","Phaeophyceae_X","Phaeophyceae_XX","Ectocarpus",NA,0.0581452866569324,0.517036819363327,"Ectocarpus sp. Ectocarpus_ASV_8433"
"Diplosoma_ASV_13104","seasonSpring",-1.30726749896058,2572.00139170824,-0.000508268581492616,0.999594460363547,FALSE,FALSE,FALSE,-5042.42999524711,5039.81546024919,"SELVA","Spring",NA,FALSE,0.999999999999946,FALSE,FALSE,"Eukaryota","Obazoa","Opisthokonta","Metazoa","Urochordata","Urochordata_X","Ascidiacea","Diplosoma",NA,0.050967855135091,0.453213995904799,"Diplosoma sp. Diplosoma_ASV_13104"
"Phallusia_ASV_17107","seasonSpring",6.4594547505417,100.197602083812,0.0644671590557485,0.948598255973863,FALSE,FALSE,FALSE,-189.92784533373,202.846754834813,"SELVA","Spring",NA,FALSE,0.999999999999946,FALSE,FALSE,"Eukaryota","Obazoa","Opisthokonta","Metazoa","Urochordata","Urochordata_X","Ascidiacea","Phallusia",NA,0.0448138041481988,0.398491229341859,"Phallusia sp. Phallusia_ASV_17107"
"Tiaropsidium_ASV_16743","seasonSpring",-11.1521448032971,7373997425.86498,-1.51236082130703e-09,0.999999998793311,FALSE,FALSE,FALSE,-14453034965.8475,14453034943.5432,"SELVA","Spring",NA,FALSE,0.999999999999946,FALSE,FALSE,"Eukaryota","Obazoa","Opisthokonta","Metazoa","Cnidaria","Cnidaria_X","Hydrozoa","Tiaropsidium","Tiaropsidium_kelseyi",0.0503690621976292,0.447889437137565,"Tiaropsidium_kelseyi"
"Navicula_ASV_10098","seasonSpring",10.5917935647056,1.11209357233389,9.52419277316488,1.66329540274225e-21,FALSE,FALSE,FALSE,8.41209016293115,12.77149696648,"SELVA","Spring",NA,FALSE,1.61720825929126e-19,TRUE,TRUE,"Eukaryota","TSAR","Stramenopiles","Gyrista","Bacillariophyceae","Naviculales","Naviculaceae","Navicula","Navicula_tripunctata",0.0405400798701084,0.360488616668932,"Navicula_tripunctata"
"Costaria_ASV_10957","seasonSpring",-1.32504822239365,1.28255422895079,-1.03313231712442,0.301541981501814,FALSE,FALSE,FALSE,-3.83885451113719,1.1887580663499,"SELVA","Spring",NA,FALSE,0.999999999999946,FALSE,FALSE,"Eukaryota","TSAR","Stramenopiles","Gyrista","Phaeophyceae","Phaeophyceae_X","Phaeophyceae_XX","Costaria","Costaria_costata",0.0565788664698335,0.503107970476527,"Costaria_costata"
"Maxillopoda_ASV_13791","seasonSpring",5.52426437774884,78.1778514533479,0.0706627807627255,0.943666143406249,FALSE,FALSE,FALSE,-147.704324470813,158.752853226311,"SELVA","Spring",NA,FALSE,0.999999999999946,FALSE,FALSE,"Eukaryota","Obazoa","Opisthokonta","Metazoa","Arthropoda","Crustacea","Maxillopoda",NA,NA,0.021971052235425,0.195369970964194,"Maxillopoda_ASV_13791"
"Pterocystida_ASV_21672","seasonSpring",1.46415128485708,1.08762732031719,1.34618840250362,0.178241764308971,FALSE,FALSE,FALSE,-0.667598262964604,3.59590083267877,"SELVA","Spring",NA,FALSE,0.999999999999946,FALSE,FALSE,"Eukaryota","Haptista","Centroplasthelida","Centroplasthelida_X","Pterocystida","Pterista",NA,NA,NA,0.0280856574842357,0.249741979965727,"Pterocystida_ASV_21672"
