"site","season","OTU_Label","n_glass","n_plastic","k_glass","k_plastic","enough","prop_plastic","prop_glass","Prevalence","fisher_p","fisher_BH","reliable_occ","occ_dir","display_label","Class"
"SELVA","Fall","Adineta_ASV_17598",3,12,0,0,TRUE,0,0,"0/12 vs 0/3",1,1,FALSE,"ns","Adineta_vaga","Rotifera"
"SELVA","Fall","Adineta_ASV_17599",3,12,0,0,TRUE,0,0,"0/12 vs 0/3",1,1,FALSE,"ns","Adineta_vaga","Rotifera"
"SELVA","Fall","Amphileptus_ASV_432",3,12,0,0,TRUE,0,0,"0/12 vs 0/3",1,1,FALSE,"ns","Amphileptus sp. Amphileptus_ASV_432","Litostomatea"
"SELVA","Fall","Amphora_ASV_11507",3,12,0,5,TRUE,0.416666666666667,0,"5/12 vs 0/3",0.505494505494505,1,FALSE,"ns","Amphora_coffeaeformis","Bacillariophyceae"
"SELVA","Fall","Ampullofolliculina_ASV_3611",3,12,0,0,TRUE,0,0,"0/12 vs 0/3",1,1,FALSE,"ns","Ampullofolliculina_lageniformis","Heterotrichea"
"SELVA","Fall","Ampullofolliculina_ASV_3619",3,12,0,0,TRUE,0,0,"0/12 vs 0/3",1,1,FALSE,"ns","Ampullofolliculina_lageniformis","Heterotrichea"
"SELVA","Fall","Annelida_XX_ASV_18258",3,12,0,2,TRUE,0.166666666666667,0,"2/12 vs 0/3",1,1,FALSE,"ns","Annelida_XX_ASV_18258","Annelida"
"SELVA","Fall","Aplanochytrium_ASV_9331",3,12,0,9,TRUE,0.75,0,"9/12 vs 0/3",0.043956043956044,1,FALSE,"ns","Aplanochytrium_sp.","Sagenista"
"SELVA","Fall","Arcocellulus_ASV_11592",3,12,0,5,TRUE,0.416666666666667,0,"5/12 vs 0/3",0.505494505494505,1,FALSE,"ns","Arcocellulus_cornucervis","Mediophyceae"
"SELVA","Fall","Argopecten_ASV_16928",3,12,0,0,TRUE,0,0,"0/12 vs 0/3",1,1,FALSE,"ns","Argopecten sp. Argopecten_ASV_16928","Mollusca"
"SELVA","Fall","Arthropoda_ASV_17239",3,12,0,5,TRUE,0.416666666666667,0,"5/12 vs 0/3",0.505494505494505,1,FALSE,"ns","Arthropoda_ASV_17239","Arthropoda"
"SELVA","Fall","Ascidiella_ASV_17116",3,12,0,5,TRUE,0.416666666666667,0,"5/12 vs 0/3",0.505494505494505,1,FALSE,"ns","Ascidiella_sp.","Urochordata"
"SELVA","Fall","Bacillariaceae_ASV_10164",3,12,0,5,TRUE,0.416666666666667,0,"5/12 vs 0/3",0.505494505494505,1,FALSE,"ns","Bacillariaceae_ASV_10164","Bacillariophyceae"
"SELVA","Fall","Bacillariaceae_ASV_10168",3,12,0,6,TRUE,0.5,0,"6/12 vs 0/3",0.228571428571429,1,FALSE,"ns","Bacillariaceae_ASV_10168","Bacillariophyceae"
"SELVA","Fall","Bacillariaceae_ASV_10197",3,12,0,5,TRUE,0.416666666666667,0,"5/12 vs 0/3",0.505494505494505,1,FALSE,"ns","Bacillariaceae_ASV_10197","Bacillariophyceae"
"SELVA","Fall","Bacillariophyceae_ASV_10048",3,12,0,1,TRUE,0.0833333333333333,0,"1/12 vs 0/3",1,1,FALSE,"ns","Bacillariophyceae_ASV_10048","Bacillariophyceae"
"SELVA","Fall","Bacillariophyceae_ASV_10151",3,12,0,5,TRUE,0.416666666666667,0,"5/12 vs 0/3",0.505494505494505,1,FALSE,"ns","Bacillariophyceae_ASV_10151","Bacillariophyceae"
