"site","OTU_Label","n_glass","n_plastic","k_glass","k_plastic","enough","prop_plastic","prop_glass","Prevalence","fisher_p","fisher_BH","reliable_occ","occ_dir","display_label","Class","gllvm_any_reliable","gllvm_any_separation","group"
"SELVA","Adineta_ASV_17598",15,59,1,2,TRUE,0.0338983050847458,0.0666666666666667,"2/59 vs 1/15",0.498503640626928,0.984957708862783,FALSE,"ns","Adineta_vaga","Rotifera",TRUE,FALSE,"No reliable preference"
"SELVA","Adineta_ASV_17599",15,59,1,1,TRUE,0.0169491525423729,0.0666666666666667,"1/59 vs 1/15",0.36653091447612,0.902865314829865,FALSE,"ns","Adineta_vaga","Rotifera",FALSE,FALSE,"No reliable preference"
"SELVA","Amphileptus_ASV_432",15,59,2,2,TRUE,0.0338983050847458,0.133333333333333,"2/59 vs 2/15",0.180653835390474,0.848630815333197,FALSE,"ns","Amphileptus sp. Amphileptus_ASV_432","Litostomatea",FALSE,FALSE,"No reliable preference"
"SELVA","Amphora_ASV_11507",15,59,3,28,TRUE,0.474576271186441,0.2,"28/59 vs 3/15",0.0787381077377094,0.730579937442526,FALSE,"ns","Amphora_coffeaeformis","Bacillariophyceae",FALSE,FALSE,"No reliable preference"
"SELVA","Ampullofolliculina_ASV_3611",15,59,2,6,TRUE,0.101694915254237,0.133333333333333,"6/59 vs 2/15",0.660468414332293,1,FALSE,"ns","Ampullofolliculina_lageniformis","Heterotrichea",FALSE,FALSE,"No reliable preference"
"SELVA","Ampullofolliculina_ASV_3619",15,59,1,6,TRUE,0.101694915254237,0.0666666666666667,"6/59 vs 1/15",1,1,FALSE,"ns","Ampullofolliculina_lageniformis","Heterotrichea",FALSE,TRUE,"No reliable preference"
"SELVA","Annelida_XX_ASV_18258",15,59,0,2,TRUE,0.0338983050847458,0,"2/59 vs 0/15",1,1,FALSE,"ns","Annelida_XX_ASV_18258","Annelida",TRUE,FALSE,"No reliable preference"
"SELVA","Aplanochytrium_ASV_9331",15,59,2,35,TRUE,0.593220338983051,0.133333333333333,"35/59 vs 2/15",0.00285955605461588,0.232744824326533,FALSE,"ns","Aplanochytrium_sp.","Sagenista",FALSE,TRUE,"No reliable preference"
"SELVA","Arcocellulus_ASV_11592",15,59,6,32,TRUE,0.542372881355932,0.4,"32/59 vs 6/15",0.392746411950991,0.902865314829865,FALSE,"ns","Arcocellulus_cornucervis","Mediophyceae",FALSE,FALSE,"No reliable preference"
"SELVA","Argopecten_ASV_16928",15,59,5,12,TRUE,0.203389830508475,0.333333333333333,"12/59 vs 5/15",0.313022204359319,0.902865314829865,FALSE,"ns","Argopecten sp. Argopecten_ASV_16928","Mollusca",FALSE,FALSE,"No reliable preference"
"SELVA","Arthropoda_ASV_17239",15,59,4,21,TRUE,0.355932203389831,0.266666666666667,"21/59 vs 4/15",0.76063021826507,1,FALSE,"ns","Arthropoda_ASV_17239","Arthropoda",FALSE,TRUE,"No reliable preference"
"SELVA","Ascidiella_ASV_17116",15,59,4,16,TRUE,0.271186440677966,0.266666666666667,"16/59 vs 4/15",1,1,FALSE,"ns","Ascidiella_sp.","Urochordata",FALSE,FALSE,"No reliable preference"
"SELVA","Bacillariaceae_ASV_10164",15,59,6,31,TRUE,0.525423728813559,0.4,"31/59 vs 6/15",0.564160551384974,0.984957708862783,FALSE,"ns","Bacillariaceae_ASV_10164","Bacillariophyceae",TRUE,TRUE,"No reliable preference"
"SELVA","Bacillariaceae_ASV_10168",15,59,8,45,TRUE,0.76271186440678,0.533333333333333,"45/59 vs 8/15",0.109118163667903,0.730579937442526,FALSE,"ns","Bacillariaceae_ASV_10168","Bacillariophyceae",FALSE,FALSE,"No reliable preference"
"SELVA","Bacillariaceae_ASV_10197",15,59,2,20,TRUE,0.338983050847458,0.133333333333333,"20/59 vs 2/15",0.204615756018192,0.848630815333197,FALSE,"ns","Bacillariaceae_ASV_10197","Bacillariophyceae",FALSE,FALSE,"No reliable preference"
"SELVA","Bacillariophyceae_ASV_10048",15,59,1,12,TRUE,0.203389830508475,0.0666666666666667,"12/59 vs 1/15",0.28216872997726,0.85505675750685,FALSE,"ns","Bacillariophyceae_ASV_10048","Bacillariophyceae",FALSE,FALSE,"No reliable preference"
"SELVA","Bacillariophyceae_ASV_10151",15,59,4,38,TRUE,0.644067796610169,0.266666666666667,"38/59 vs 4/15",0.0174345285420203,0.672974281346246,FALSE,"ns","Bacillariophyceae_ASV_10151","Bacillariophyceae",FALSE,FALSE,"No reliable preference"
"SELVA","Bacillariophyceae_ASV_10160",15,59,2,14,TRUE,0.23728813559322,0.133333333333333,"14/59 vs 2/15",0.499013180365588,0.984957708862783,FALSE,"ns","Bacillariophyceae_ASV_10160","Bacillariophyceae",FALSE,FALSE,"No reliable preference"
"SELVA","Bacillariophyceae_ASV_10175",15,59,6,37,TRUE,0.627118644067797,0.4,"37/59 vs 6/15",0.146119843478767,0.835999964349967,FALSE,"ns","Bacillariophyceae_ASV_10175","Bacillariophyceae",FALSE,FALSE,"No reliable preference"
"SELVA","Bacillariophyceae_ASV_10229",15,59,3,17,TRUE,0.288135593220339,0.2,"17/59 vs 3/15",0.745737587373592,1,FALSE,"ns","Bacillariophyceae_ASV_10229","Bacillariophyceae",FALSE,FALSE,"No reliable preference"
"SELVA","Bacillariophyceae_ASV_11568",15,59,5,32,TRUE,0.542372881355932,0.333333333333333,"32/59 vs 5/15",0.247044393432106,0.848630815333197,FALSE,"ns","Bacillariophyceae_ASV_11568","Bacillariophyceae",FALSE,FALSE,"No reliable preference"
"SELVA","Bacillariophyceae_ASV_32933",15,59,8,37,TRUE,0.627118644067797,0.533333333333333,"37/59 vs 8/15",0.56151784363063,0.984957708862783,FALSE,"ns","Bacillariophyceae_ASV_32933","Bacillariophyceae",FALSE,FALSE,"No reliable preference"
"SELVA","Bacillariophyceae_ASV_6651",15,59,9,35,TRUE,0.593220338983051,0.6,"35/59 vs 9/15",1,1,FALSE,"ns","Bacillariophyceae_ASV_6651","Bacillariophyceae",TRUE,TRUE,"No reliable preference"
"SELVA","Bacillariophyceae_ASV_8723",15,59,4,20,TRUE,0.338983050847458,0.266666666666667,"20/59 vs 4/15",0.76063021826507,1,FALSE,"ns","Bacillariophyceae_ASV_8723","Bacillariophyceae",FALSE,FALSE,"No reliable preference"
"SELVA","Bacillariophyceae_ASV_9683",15,59,3,20,TRUE,0.338983050847458,0.2,"20/59 vs 3/15",0.364697662358485,0.902865314829865,FALSE,"ns","Bacillariophyceae_ASV_9683","Bacillariophyceae",FALSE,FALSE,"No reliable preference"
"SELVA","Bacillariophyceae_ASV_9843",15,59,1,12,TRUE,0.203389830508475,0.0666666666666667,"12/59 vs 1/15",0.28216872997726,0.85505675750685,FALSE,"ns","Bacillariophyceae_ASV_9843","Bacillariophyceae",FALSE,FALSE,"No reliable preference"
"SELVA","Bacillariophyceae_ASV_9867",15,59,10,45,TRUE,0.76271186440678,0.666666666666667,"45/59 vs 10/15",0.512663709132717,0.984957708862783,FALSE,"ns","Bacillariophyceae_ASV_9867","Bacillariophyceae",FALSE,FALSE,"No reliable preference"
"SELVA","Bacillariophyceae_ASV_9918",15,59,1,22,TRUE,0.372881355932203,0.0666666666666667,"22/59 vs 1/15",0.0277921094543325,0.672974281346246,FALSE,"ns","Bacillariophyceae_ASV_9918","Bacillariophyceae",FALSE,FALSE,"No reliable preference"
"SELVA","Bacillariophyceae_ASV_9972",15,59,5,28,TRUE,0.474576271186441,0.333333333333333,"28/59 vs 5/15",0.392350545264565,0.902865314829865,FALSE,"ns","Bacillariophyceae_ASV_9972","Bacillariophyceae",FALSE,TRUE,"No reliable preference"
"SELVA","Bacillariophyceae_ASV_9977",15,59,5,20,TRUE,0.338983050847458,0.333333333333333,"20/59 vs 5/15",1,1,FALSE,"ns","Bacillariophyceae_ASV_9977","Bacillariophyceae",FALSE,FALSE,"No reliable preference"
"SELVA","Bougainvillia_ASV_16800",15,59,4,3,TRUE,0.0508474576271186,0.266666666666667,"3/59 vs 4/15",0.0276812778035297,0.672974281346246,FALSE,"ns","Bougainvillia_sp.","Cnidaria",FALSE,FALSE,"No reliable preference"
"SELVA","Bryocamptus_ASV_13856",15,59,1,9,TRUE,0.152542372881356,0.0666666666666667,"9/59 vs 1/15",0.675901668226279,1,FALSE,"ns","Bryocamptus_stillae","Arthropoda",FALSE,FALSE,"No reliable preference"
"SELVA","Bryozoa_XX_ASV_17870",15,59,0,4,TRUE,0.0677966101694915,0,"4/59 vs 0/15",0.576200259684728,0.984957708862783,FALSE,"ns","Bryozoa_XX_ASV_17870","Bryozoa",FALSE,TRUE,"No reliable preference"
