"Site","Taxon","Class","Substrate","Season","Estimate","SE","Lower_95CI","Upper_95CI","p_BH","Direction","Prevalence"
"SELVA","Adineta_vaga","Rotifera","wPE","Spring",7.764,0.619,6.551,8.977,6.3e-34,"higher","1/3 vs 0/3"
"SELVA","Annelida_XX_ASV_18258","Annelida","wPET","Fall",7.539,0.246,7.057,8.02,2.02e-203,"higher","2/3 vs 0/3"
"SELVA","Bacillariaceae_ASV_10164","Bacillariophyceae","wPE","Spring",-7.516,0.752,-8.99,-6.041,1.68e-21,"lower","2/3 vs 3/3"
"SELVA","Bacillariaceae_ASV_10164","Bacillariophyceae","PET","Fall",7.223,0.673,5.903,8.542,8.08e-25,"higher","1/3 vs 0/3"
"SELVA","Bacillariophyceae_ASV_6651","Bacillariophyceae","wPE","Fall",10.438,0.842,8.788,12.088,3.93e-33,"higher","2/3 vs 0/3"
"SELVA","Cymbella_acuta","Bacillariophyceae","wPE","Spring",-5.561,0.885,-7.295,-3.827,2.59e-08,"lower","3/3 vs 3/3"
"SELVA","Cymbella_acuta","Bacillariophyceae","wPE","Fall",10.997,0.83,9.37,12.625,9.66e-38,"higher","3/3 vs 0/3"
"SELVA","Dino-Group-I-Clade-1_X_sp.","Syndiniales","wPET","Summer",9.962,0.675,8.64,11.284,5.48e-47,"higher","1/3 vs 0/3"
"SELVA","Enoplea_X_ASV_18404","Nematoda","wPE","Summer",9.289,0.349,8.604,9.973,6.46e-153,"higher","1/3 vs 0/3"
"SELVA","Ephelota sp. Ephelota_ASV_661","Phyllopharyngea","wPET","Winter",6.5,0.391,5.733,7.267,1.82e-59,"higher","1/3 vs 0/3"
"SELVA","Ephelota_truncata","Phyllopharyngea","PET","Spring",7.541,0.567,6.429,8.653,5.56e-38,"higher","1/3 vs 0/3"
"SELVA","Heribaudiella_fluviatilis","Phaeophyceae","wPET","Summer",6.088,0.598,4.915,7.261,2.63e-22,"higher","1/3 vs 0/3"
"SELVA","Leathesia_difformis","Phaeophyceae","PE","Winter2",11.271,1.126,9.064,13.478,1.42e-21,"higher","2/3 vs 0/3"
"SELVA","Leathesia_difformis","Phaeophyceae","wPE","Spring",-6.383,0.711,-7.777,-4.99,2.52e-17,"lower","3/3 vs 3/3"
"SELVA","Leathesia_difformis","Phaeophyceae","PET","Winter2",10.273,0.905,8.499,12.047,8.95e-28,"higher","2/3 vs 0/3"
"SELVA","Leathesia_difformis","Phaeophyceae","wPET","Winter2",7.955,1.013,5.97,9.94,3.42e-13,"higher","1/3 vs 0/3"
"SELVA","Mytilus_trossulus","Mollusca","PE","Winter2",5.118,0.733,3.681,6.555,2.38e-10,"higher","1/3 vs 0/3"
"SELVA","Mytilus_trossulus","Mollusca","PET","Winter2",5.95,0.714,4.55,7.35,7.48e-15,"higher","1/3 vs 0/3"
"SELVA","Navicula sp. Navicula_ASV_10078","Bacillariophyceae","wPE","Spring",-7.264,1.812,-10.815,-3.713,0.00473,"lower","2/3 vs 3/3"
"SELVA","Navicula_tripunctata","Bacillariophyceae","wPE","Spring",-8.631,1.112,-10.811,-6.451,7.14e-13,"lower","2/3 vs 3/3"
"SELVA","OTU_ASV_16598",NA,"PET","Fall",10.624,0.366,9.907,11.342,7.95e-182,"higher","2/3 vs 0/3"
"SELVA","OTU_ASV_22251",NA,"wPE","Fall",7.057,0.885,5.322,8.793,1.41e-13,"higher","1/3 vs 0/3"
"SELVA","OTU_ASV_22251",NA,"PET","Fall",8.044,0.847,6.384,9.704,2.07e-19,"higher","2/3 vs 0/3"
"SELVA","OTU_ASV_22251",NA,"wPET","Fall",6.956,0.61,5.76,8.151,4.85e-28,"higher","1/3 vs 0/3"
"SELVA","OTU_ASV_33058",NA,"PE","Spring",6.252,0.393,5.481,7.023,1.89e-54,"higher","1/3 vs 0/3"
"SELVA","OTU_ASV_33058",NA,"PET","Summer",6.005,0.294,5.428,6.582,9.36e-90,"higher","1/3 vs 0/3"
"SELVA","OTU_ASV_5396",NA,"wPET","Winter",5.983,0.85,4.317,7.65,1.62e-10,"higher","1/3 vs 0/3"
"SELVA","Phaeophyceae_XX_ASV_8499","Phaeophyceae","wPE","Fall",6.194,0.536,5.143,7.245,9.28e-29,"higher","1/3 vs 0/3"
"SELVA","Placidae_X_sp.","Prostomatea_2","PE","Spring",6.902,0.614,5.699,8.105,2.81e-27,"higher","1/3 vs 0/3"
"SELVA","Placidae_X_sp.","Prostomatea_2","PET","Spring",7.344,0.574,6.218,8.469,3.37e-35,"higher","1/3 vs 0/3"
"SELVA","Scytosiphon_lomentaria","Phaeophyceae","wPE","Spring",-10.777,0.888,-12.518,-9.037,9.23e-32,"lower","2/3 vs 3/3"
"SELVA","Spirotrichea_ASV_29935","Spirotrichea","wPET","Fall",5.558,0.255,5.059,6.057,1.09e-102,"higher","1/3 vs 0/3"
"SELVA","Suctoria_XX_sp.","Phyllopharyngea","PET","Winter2",7.174,0.352,6.484,7.865,1.53e-89,"higher","2/3 vs 0/3"
"SELVA","Zoothamnium_1 sp. Zoothamnium_1_ASV_32734","Oligohymenophorea","PE","Fall",7.714,1.012,5.729,9.698,2.13e-12,"higher","1/3 vs 0/3"
