"site","OTU_Label","display_label","Class","abund_weight","substrate_label","group","consistency","n_higher","n_lower","n_sig","seasons_higher","seasons_lower","mean_estimate"
"SELVA","Aplanochytrium_ASV_9331","Aplanochytrium_sp.","Sagenista",0.0149543872810011,"PE","Plastic generalist","moderate",2,0,2,"Winter, Summer","",4.21
"SELVA","Aplanochytrium_ASV_9331","Aplanochytrium_sp.","Sagenista",0.0149543872810011,"wPE","Plastic generalist","moderate",2,0,2,"Summer, Fall","",4.82
"SELVA","Aplanochytrium_ASV_9331","Aplanochytrium_sp.","Sagenista",0.0149543872810011,"PET","Plastic generalist","moderate",2,0,2,"Summer, Fall","",4.3
"SELVA","Aplanochytrium_ASV_9331","Aplanochytrium_sp.","Sagenista",0.0149543872810011,"wPET","Plastic generalist","occasional",1,0,1,"Winter","",2.81
"SELVA","Arcocellulus_ASV_11592","Arcocellulus_cornucervis","Mediophyceae",0.00537776741410045,"PE","Plastic generalist","occasional",1,0,1,"Winter","",3.58
"SELVA","Arcocellulus_ASV_11592","Arcocellulus_cornucervis","Mediophyceae",0.00537776741410045,"wPE","Plastic generalist","occasional",1,0,1,"Spring","",5.67
"SELVA","Arcocellulus_ASV_11592","Arcocellulus_cornucervis","Mediophyceae",0.00537776741410045,"PET","Plastic generalist","occasional",1,0,1,"Summer","",5.92
"SELVA","Arcocellulus_ASV_11592","Arcocellulus_cornucervis","Mediophyceae",0.00537776741410045,"wPET","Plastic generalist","occasional",1,0,1,"Winter","",2.56
"SELVA","Dino-Group-I-Clade-1_X_ASV_21086","Dino-Group-I-Clade-1_X_sp.","Syndiniales",0.0242859399649427,"PE","Plastic generalist","occasional",1,0,1,"Winter","",4.92
"SELVA","Dino-Group-I-Clade-1_X_ASV_21086","Dino-Group-I-Clade-1_X_sp.","Syndiniales",0.0242859399649427,"wPE","Plastic generalist","occasional",1,0,1,"Fall","",6.11
"SELVA","Dino-Group-I-Clade-1_X_ASV_21086","Dino-Group-I-Clade-1_X_sp.","Syndiniales",0.0242859399649427,"PET","Plastic generalist","occasional",1,0,1,"Fall","",4.76
"SELVA","Dino-Group-I-Clade-1_X_ASV_21086","Dino-Group-I-Clade-1_X_sp.","Syndiniales",0.0242859399649427,"wPET","Plastic generalist","moderate",2,0,2,"Winter, Fall","",4.24
"SELVA","Dino-Group-I-Clade-1_X_ASV_25263","Dino-Group-I-Clade-1_X_sp.","Syndiniales",0.0240898296765062,"PE","Plastic generalist","moderate",2,0,2,"Winter, Fall","",3.68
"SELVA","Dino-Group-I-Clade-1_X_ASV_25263","Dino-Group-I-Clade-1_X_sp.","Syndiniales",0.0240898296765062,"wPE","Plastic generalist","occasional",1,0,1,"Fall","",4.4
"SELVA","Dino-Group-I-Clade-1_X_ASV_25263","Dino-Group-I-Clade-1_X_sp.","Syndiniales",0.0240898296765062,"PET","Plastic generalist","occasional",1,0,1,"Fall","",4.22
"SELVA","Dino-Group-I-Clade-1_X_ASV_25263","Dino-Group-I-Clade-1_X_sp.","Syndiniales",0.0240898296765062,"wPET","Plastic generalist","moderate",2,0,2,"Winter, Fall","",2.78
"SELVA","Dino-Group-I-Clade-1_X_ASV_25271","Dino-Group-I-Clade-1_X_sp.","Syndiniales",0.0310238177962359,"PE","Plastic generalist","moderate",2,0,2,"Winter, Spring","",4.51
"SELVA","Dino-Group-I-Clade-1_X_ASV_25271","Dino-Group-I-Clade-1_X_sp.","Syndiniales",0.0310238177962359,"wPE","Plastic generalist","occasional",1,0,1,"Summer","",4.93
"SELVA","Dino-Group-I-Clade-1_X_ASV_25271","Dino-Group-I-Clade-1_X_sp.","Syndiniales",0.0310238177962359,"PET","Plastic generalist","occasional",1,0,1,"Fall","",4.8
"SELVA","Dino-Group-I-Clade-1_X_ASV_25271","Dino-Group-I-Clade-1_X_sp.","Syndiniales",0.0310238177962359,"wPET","Plastic generalist","consistent",3,0,3,"Winter, Spring, Summer","",4.47
"SELVA","Pseudoscourfieldiaceae_X_ASV_25684","Pseudoscourfieldiaceae_X_sp.","Pseudoscourfieldiophyceae",0.0254480815489377,"PE","Plastic generalist","occasional",1,0,1,"Winter","",3.71
"SELVA","Pseudoscourfieldiaceae_X_ASV_25684","Pseudoscourfieldiaceae_X_sp.","Pseudoscourfieldiophyceae",0.0254480815489377,"wPE","Plastic generalist","occasional",1,0,1,"Fall","",6.29
"SELVA","Pseudoscourfieldiaceae_X_ASV_25684","Pseudoscourfieldiaceae_X_sp.","Pseudoscourfieldiophyceae",0.0254480815489377,"PET","Plastic generalist","occasional",1,0,1,"Fall","",4.9
"SELVA","Pseudoscourfieldiaceae_X_ASV_25684","Pseudoscourfieldiaceae_X_sp.","Pseudoscourfieldiophyceae",0.0254480815489377,"wPET","Plastic generalist","moderate",2,0,2,"Winter, Summer","",3.88
