"site","season","OTU_Label","display_label","Class","abund_weight","PE","wPE","PET","wPET"
"TBS","Winter","Arthropoda_ASV_17239","Arthropoda_ASV_17239","Arthropoda",0.00742754009626867,"higher_occurrence","higher_occurrence","ns","higher_occurrence"
"TBS","Winter","Bacillariaceae_ASV_10164","Bacillariaceae_ASV_10164","Bacillariophyceae",0.00655855851556622,"ns","ns","ns","higher_occurrence"
"TBS","Winter","Bacillariophyceae_ASV_10229","Bacillariophyceae_ASV_10229","Bacillariophyceae",0.00606613572162871,"ns","ns","ns","higher_occurrence"
"TBS","Winter","Bacillariophyceae_ASV_32933","Bacillariophyceae_ASV_32933","Bacillariophyceae",0.00526920880452405,"ns","higher_occurrence","ns","ns"
"TBS","Winter","Bacillariophyceae_ASV_8723","Bacillariophyceae_ASV_8723","Bacillariophyceae",0.00615528200594587,"ns","higher_occurrence","ns","ns"
"TBS","Winter","Bacillariophyceae_ASV_9843","Bacillariophyceae_ASV_9843","Bacillariophyceae",0.00384803533276133,"ns","higher_occurrence","ns","ns"
"TBS","Winter","Bacillariophyceae_ASV_9867","Bacillariophyceae_ASV_9867","Bacillariophyceae",0.0297659301891148,"ns","higher_occurrence","ns","ns"
"TBS","Winter","Bacillariophyceae_ASV_9918","Bacillariophyceae_ASV_9918","Bacillariophyceae",0.00595938222893109,"higher_occurrence","ns","higher_occurrence","higher_occurrence"
"TBS","Winter","Craticula_ASV_10145","Craticula_importuna","Bacillariophyceae",0.00989127748996579,"ns","higher_occurrence","ns","higher_occurrence"
"TBS","Winter","Cymbella_ASV_11535","Cymbella_acuta","Bacillariophyceae",0.00803534659968157,"higher_occurrence","ns","higher_occurrence","ns"
"TBS","Winter","Fragilariaceae_ASV_10037","Fragilariaceae_ASV_10037","Bacillariophyceae",0.00510758859603341,"higher_occurrence","higher_occurrence","ns","ns"
"TBS","Winter","Navicula_ASV_10118","Navicula sp. Navicula_ASV_10118","Bacillariophyceae",0.0128753450688817,"higher_occurrence","higher_occurrence","ns","higher_occurrence"
"TBS","Winter","Navicula_ASV_9836","Navicula sp. Navicula_ASV_9836","Bacillariophyceae",0.00445255501471619,"ns","higher_occurrence","higher_occurrence","ns"
"TBS","Winter","Naviculaceae_ASV_9674","Naviculaceae_ASV_9674","Bacillariophyceae",0.0140981907625539,"ns","higher_occurrence","higher_occurrence","ns"
"TBS","Winter","Pleurosigma_ASV_10236","Pleurosigma_intermedium","Bacillariophyceae",0.00563354744695381,"higher_occurrence","higher_occurrence","ns","higher_occurrence"
"TBS","Winter","Pleurosigma_ASV_10260","Pleurosigma_intermedium","Bacillariophyceae",0.00525138082428398,"ns","higher_occurrence","ns","higher_occurrence"
"TBS","Winter","Tiaropsidium_ASV_16743","Tiaropsidium_kelseyi","Cnidaria",0.447889437137565,"ns","ns","ns","lower_occurrence"
"TBS","Winter","Euglyphida_XX_ASV_18003","Euglyphida_XX_sp.","Filosa-Imbricatea",0.00613582712961361,"higher_occurrence","ns","ns","higher_occurrence"
"TBS","Winter","Metromonas_ASV_18427","Metromonas_simplex","Filosa-Metromonadea",0.0101432011440985,"ns","ns","ns","higher_occurrence"
"TBS","Winter","Ceramium_ASV_24711","Ceramium_virgatum","Florideophyceae",0.00364234452917097,"ns","ns","ns","higher_occurrence"
"TBS","Winter","Arcocellulus_ASV_11592","Arcocellulus_cornucervis","Mediophyceae",0.00537776741410045,"higher_occurrence","higher_occurrence","ns","higher_occurrence"
"TBS","Winter","Chaetoceros_ASV_11054","Chaetoceros_socialis","Mediophyceae",0.00410327560461157,"higher_occurrence","ns","ns","ns"
"TBS","Winter","Heribaudiella_ASV_10922","Heribaudiella_fluviatilis","Phaeophyceae",0.00900417840426956,"higher_occurrence","higher_occurrence","ns","higher_occurrence"
"TBS","Winter","Heribaudiella_ASV_10928","Heribaudiella_fluviatilis","Phaeophyceae",0.0603023398795338,"ns","higher_occurrence","ns","ns"
"TBS","Winter","Leathesia_ASV_8462","Leathesia_difformis","Phaeophyceae",0.0116369701310303,"higher_occurrence","higher_occurrence","ns","higher_occurrence"
