"site","season","OTU_Label","display_label","Class","abund_weight","PE","wPE","PET","wPET","pattern"
"SELVA","Winter","Placuna_ASV_17776","Placuna_placenta","Mollusca",0.188212966077013,"lower_occurrence","lower_occurrence","lower_occurrence","lower_occurrence","lower_occurrence/lower_occurrence/lower_occurrence/lower_occurrence"
"SELVA","Winter","Ectocarpus_ASV_8433","Ectocarpus sp. Ectocarpus_ASV_8433","Phaeophyceae",0.517036819363327,"ns","ns","ns","higher_occurrence","ns/ns/ns/higher_occurrence"
"SELVA","Winter","Leathesia_ASV_8462","Leathesia_difformis","Phaeophyceae",0.0116369701310303,"ns","ns","lower_occurrence","ns","ns/ns/lower_occurrence/ns"
"SELVA","Winter","Ephelota_ASV_661","Ephelota sp. Ephelota_ASV_661","Phyllopharyngea",0.00926172408790495,"ns","ns","ns","higher_occurrence","ns/ns/ns/higher_occurrence"
"SELVA","Winter","Prolecithophora_ASV_18418","Prolecithophora_ASV_18418","Platyhelminthes",0.0272673481178869,"ns","lower_occurrence","ns","lower_occurrence","ns/lower_occurrence/ns/lower_occurrence"
"SELVA","Winter","Dino-Group-I-Clade-1_X_ASV_21086","Dino-Group-I-Clade-1_X_sp.","Syndiniales",0.0242859399649427,"higher_occurrence","ns","ns","ns","higher_occurrence/ns/ns/ns"
"SELVA","Winter","OTU_ASV_16598","OTU_ASV_16598",NA,0.00440358662701965,"lower_occurrence","lower_occurrence","lower_occurrence","lower_occurrence","lower_occurrence/lower_occurrence/lower_occurrence/lower_occurrence"
"SELVA","Winter","OTU_ASV_22251","OTU_ASV_22251",NA,0.0843672567528621,"lower_occurrence","lower_occurrence","lower_occurrence","lower_occurrence","lower_occurrence/lower_occurrence/lower_occurrence/lower_occurrence"
"SELVA","Winter","OTU_ASV_5396","OTU_ASV_5396",NA,0.00308214177635498,"ns","ns","ns","higher_occurrence","ns/ns/ns/higher_occurrence"
"SELVA","Spring","Maxillopoda_ASV_13792","Maxillopoda_ASV_13792","Arthropoda",0.0132939770760347,"higher_occurrence","ns","ns","ns","higher_occurrence/ns/ns/ns"
"SELVA","Spring","Bacillariaceae_ASV_10164","Bacillariaceae_ASV_10164","Bacillariophyceae",0.00655855851556622,"higher_occurrence","lower_occurrence","ns","ns","higher_occurrence/lower_occurrence/ns/ns"
"SELVA","Spring","Cymbella_ASV_11535","Cymbella_acuta","Bacillariophyceae",0.00803534659968157,"ns","lower_occurrence","ns","ns","ns/lower_occurrence/ns/ns"
"SELVA","Spring","Navicula_ASV_10078","Navicula sp. Navicula_ASV_10078","Bacillariophyceae",1,"ns","lower_occurrence","ns","ns","ns/lower_occurrence/ns/ns"
"SELVA","Spring","Navicula_ASV_10098","Navicula_tripunctata","Bacillariophyceae",0.360488616668932,"ns","lower_occurrence","ns","ns","ns/lower_occurrence/ns/ns"
"SELVA","Spring","Bryozoa_XX_ASV_17870","Bryozoa_XX_ASV_17870","Bryozoa",0.00901088059721326,"lower_occurrence","ns","lower_occurrence","ns","lower_occurrence/ns/lower_occurrence/ns"
"SELVA","Spring","Tiaropsidium_ASV_16743","Tiaropsidium_kelseyi","Cnidaria",0.447889437137565,"ns","lower_occurrence","ns","ns","ns/lower_occurrence/ns/ns"
"SELVA","Spring","Placuna_ASV_17776","Placuna_placenta","Mollusca",0.188212966077013,"lower_occurrence","lower_occurrence","lower_occurrence","lower_occurrence","lower_occurrence/lower_occurrence/lower_occurrence/lower_occurrence"
"SELVA","Spring","Ectocarpus_ASV_8433","Ectocarpus sp. Ectocarpus_ASV_8433","Phaeophyceae",0.517036819363327,"higher_occurrence","higher_occurrence","higher_occurrence","higher_occurrence","higher_occurrence/higher_occurrence/higher_occurrence/higher_occurrence"
"SELVA","Spring","Leathesia_ASV_8462","Leathesia_difformis","Phaeophyceae",0.0116369701310303,"ns","lower_occurrence","ns","higher_occurrence","ns/lower_occurrence/ns/higher_occurrence"
"SELVA","Spring","Scytosiphon_ASV_8447","Scytosiphon_lomentaria","Phaeophyceae",0.0315467247510273,"higher_occurrence","lower_occurrence","higher_occurrence","higher_occurrence","higher_occurrence/lower_occurrence/higher_occurrence/higher_occurrence"
"SELVA","Spring","Ephelota_ASV_661","Ephelota sp. Ephelota_ASV_661","Phyllopharyngea",0.00926172408790495,"lower_occurrence","ns","lower_occurrence","ns","lower_occurrence/ns/lower_occurrence/ns"
"SELVA","Spring","Ephelota_ASV_4846","Ephelota_sp.","Phyllopharyngea",0.00801828383670939,"ns","ns","ns","lower_occurrence","ns/ns/ns/lower_occurrence"
"SELVA","Spring","Ephelota_ASV_2990","Ephelota_truncata","Phyllopharyngea",0.0475570334450924,"ns","ns","higher_occurrence","ns","ns/ns/higher_occurrence/ns"
"SELVA","Spring","Prolecithophora_ASV_18418","Prolecithophora_ASV_18418","Platyhelminthes",0.0272673481178869,"lower_occurrence","lower_occurrence","lower_occurrence","lower_occurrence","lower_occurrence/lower_occurrence/lower_occurrence/lower_occurrence"
"SELVA","Spring","Placidae_X_ASV_29901","Placidae_X_sp.","Prostomatea_2",0.00354161407647394,"higher_occurrence","ns","higher_occurrence","ns","higher_occurrence/ns/higher_occurrence/ns"
"SELVA","Spring","Pterocystidae_ASV_21684","Pterocystidae_ASV_21684","Pterocystida",0.0082634369782347,"higher_occurrence","higher_occurrence","higher_occurrence","higher_occurrence","higher_occurrence/higher_occurrence/higher_occurrence/higher_occurrence"
"SELVA","Spring","Adineta_ASV_17598","Adineta_vaga","Rotifera",0.0280311563631488,"ns","higher_occurrence","ns","ns","ns/higher_occurrence/ns/ns"
"SELVA","Spring","Aplanochytrium_ASV_9331","Aplanochytrium_sp.","Sagenista",0.0149543872810011,"ns","lower_occurrence","ns","ns","ns/lower_occurrence/ns/ns"
"SELVA","Spring","OTU_ASV_16598","OTU_ASV_16598",NA,0.00440358662701965,"lower_occurrence","lower_occurrence","lower_occurrence","lower_occurrence","lower_occurrence/lower_occurrence/lower_occurrence/lower_occurrence"
"SELVA","Spring","OTU_ASV_22251","OTU_ASV_22251",NA,0.0843672567528621,"lower_occurrence","lower_occurrence","lower_occurrence","lower_occurrence","lower_occurrence/lower_occurrence/lower_occurrence/lower_occurrence"
"SELVA","Spring","OTU_ASV_33058","OTU_ASV_33058",NA,0.00318599772599433,"higher_occurrence","ns","ns","ns","higher_occurrence/ns/ns/ns"
"SELVA","Summer","Caenogastropoda_ASV_13678","Caenogastropoda_ASV_13678","Mollusca",0.0682007147155878,"ns","ns","ns","higher_occurrence","ns/ns/ns/higher_occurrence"
"SELVA","Summer","Enoplea_X_ASV_18404","Enoplea_X_ASV_18404","Nematoda",0.00365097665052441,"ns","higher_occurrence","ns","ns","ns/higher_occurrence/ns/ns"
"SELVA","Summer","Heribaudiella_ASV_10928","Heribaudiella_fluviatilis","Phaeophyceae",0.0603023398795338,"ns","ns","ns","higher_occurrence","ns/ns/ns/higher_occurrence"
"SELVA","Summer","Dino-Group-I-Clade-1_X_ASV_20870","Dino-Group-I-Clade-1_X_sp.","Syndiniales",0.00632974617094253,"ns","ns","ns","higher_occurrence","ns/ns/ns/higher_occurrence"
"SELVA","Summer","OTU_ASV_16598","OTU_ASV_16598",NA,0.00440358662701965,"lower_occurrence","lower_occurrence","lower_occurrence","lower_occurrence","lower_occurrence/lower_occurrence/lower_occurrence/lower_occurrence"
