"OTU_j","OTU_k","res_cor","env_cor","Class_j","Division_j","Class_k","Division_k","same_class","same_division","quadrant","surprise","strong_res","concordant"
"Oithona_ASV_13819","Neocalanus_ASV_13969",0.0736366937131543,-0.00601242626150477,"Arthropoda","Opisthokonta","Arthropoda","Opisthokonta",TRUE,TRUE,"Q3",0.0676242674516495,FALSE,FALSE
"Oithona_ASV_13819","Paracalanus_ASV_13346",0.730553971071918,0.824832488224335,"Arthropoda","Opisthokonta","Arthropoda","Opisthokonta",TRUE,TRUE,"Q1",-0.0942785171524169,TRUE,TRUE
"Neocalanus_ASV_13969","Paracalanus_ASV_13346",0.104729599363745,-0.549897973759821,"Arthropoda","Opisthokonta","Arthropoda","Opisthokonta",TRUE,TRUE,"Q3",-0.445168374396076,FALSE,FALSE
"Oithona_ASV_13819","Amphidoma_ASV_23695",0.617069728531421,0.256370534147456,"Arthropoda","Opisthokonta","Dinophyceae","Alveolata",FALSE,FALSE,"Q1",0.360699194383965,TRUE,TRUE
"Neocalanus_ASV_13969","Amphidoma_ASV_23695",0.155712183911105,-0.597596613841147,"Arthropoda","Opisthokonta","Dinophyceae","Alveolata",FALSE,FALSE,"Q3",-0.441884429930042,FALSE,FALSE
"Paracalanus_ASV_13346","Amphidoma_ASV_23695",0.714331721686708,0.477146001127959,"Arthropoda","Opisthokonta","Dinophyceae","Alveolata",FALSE,FALSE,"Q1",0.23718572055875,TRUE,TRUE
"Oithona_ASV_13819","Teleaulax_ASV_21269",0.184142357066731,0.40152374076852,"Arthropoda","Opisthokonta","Cryptophyceae","Cryptophyta",FALSE,FALSE,"Q1",-0.217381383701789,FALSE,TRUE
"Neocalanus_ASV_13969","Teleaulax_ASV_21269",0.153067642745967,-0.0371229277563419,"Arthropoda","Opisthokonta","Cryptophyceae","Cryptophyta",FALSE,FALSE,"Q3",0.115944714989625,FALSE,FALSE
"Paracalanus_ASV_13346","Teleaulax_ASV_21269",0.338346869739433,0.354439706973797,"Arthropoda","Opisthokonta","Cryptophyceae","Cryptophyta",FALSE,FALSE,"Q1",-0.016092837234364,FALSE,TRUE
"Amphidoma_ASV_23695","Teleaulax_ASV_21269",0.610752867843225,-0.352928716043538,"Dinophyceae","Alveolata","Cryptophyceae","Cryptophyta",FALSE,FALSE,"Q3",0.257824151799687,TRUE,FALSE
"Oithona_ASV_13819","Centropages_ASV_17881",-0.275291602701537,0.870485043463665,"Arthropoda","Opisthokonta","Arthropoda","Opisthokonta",TRUE,TRUE,"Q2",-0.595193440762128,FALSE,FALSE
"Neocalanus_ASV_13969","Centropages_ASV_17881",0.0289118386139752,0.181438464826916,"Arthropoda","Opisthokonta","Arthropoda","Opisthokonta",TRUE,TRUE,"Q1",-0.15252662621294,FALSE,TRUE
"Paracalanus_ASV_13346","Centropages_ASV_17881",-0.203157237948719,0.648252347694794,"Arthropoda","Opisthokonta","Arthropoda","Opisthokonta",TRUE,TRUE,"Q2",-0.445095109746075,FALSE,FALSE
"Amphidoma_ASV_23695","Centropages_ASV_17881",-0.0366857864328601,0.26225661541952,"Dinophyceae","Alveolata","Arthropoda","Opisthokonta",FALSE,FALSE,"Q2",-0.225570828986659,FALSE,FALSE
"Teleaulax_ASV_21269","Centropages_ASV_17881",0.202904891586076,-0.0118790438361463,"Cryptophyceae","Cryptophyta","Arthropoda","Opisthokonta",FALSE,FALSE,"Q3",0.19102584774993,FALSE,FALSE
"Oithona_ASV_13819","Leptocylindrus_ASV_11029",0.787521130093196,0.0576844699327071,"Arthropoda","Opisthokonta","Mediophyceae","Stramenopiles",FALSE,FALSE,"Q1",0.729836660160489,TRUE,TRUE
"Neocalanus_ASV_13969","Leptocylindrus_ASV_11029",0.0974801834386321,0.89394669711454,"Arthropoda","Opisthokonta","Mediophyceae","Stramenopiles",FALSE,FALSE,"Q1",-0.796466513675907,FALSE,TRUE
"Paracalanus_ASV_13346","Leptocylindrus_ASV_11029",0.792760016075062,-0.38713025321392,"Arthropoda","Opisthokonta","Mediophyceae","Stramenopiles",FALSE,FALSE,"Q3",0.405629762861141,TRUE,FALSE
"Amphidoma_ASV_23695","Leptocylindrus_ASV_11029",0.717616665445864,-0.828986663289965,"Dinophyceae","Alveolata","Mediophyceae","Stramenopiles",FALSE,FALSE,"Q3",-0.111369997844101,TRUE,FALSE
"Teleaulax_ASV_21269","Leptocylindrus_ASV_11029",0.290238748773989,0.156516440129597,"Cryptophyceae","Cryptophyta","Mediophyceae","Stramenopiles",FALSE,FALSE,"Q1",0.133722308644393,FALSE,TRUE
"Centropages_ASV_17881","Leptocylindrus_ASV_11029",-0.249925174308701,0.207371996865908,"Arthropoda","Opisthokonta","Mediophyceae","Stramenopiles",FALSE,FALSE,"Q2",0.0425531774427926,FALSE,FALSE
