"OTU_j","OTU_k","res_cor","env_cor","Class_j","Division_j","Class_k","Division_k","same_class","same_division","quadrant","surprise","strong_res","concordant"
"Falcomonas:nucl_ASV_25160","OTU_ASV_25040",0.901,-0.047,"Cryptophyceae:nucl","Cryptophyta:nucl",NA,NA,FALSE,FALSE,"Q3",0.854,TRUE,FALSE
"Amphidomataceae_ASV_23742","OTU_ASV_25040",0.875,0.024,"Dinophyceae","Alveolata",NA,NA,FALSE,FALSE,"Q1",0.852,TRUE,TRUE
"Leptocylindrus_ASV_11029","Maxillopoda_ASV_13793",0.885,-0.039,"Mediophyceae","Stramenopiles","Arthropoda","Opisthokonta",FALSE,FALSE,"Q3",0.847,TRUE,FALSE
"Maxillopoda_ASV_13793","Dino-Group-I-Clade-1_X_ASV_21064",0.859,-0.016,"Arthropoda","Opisthokonta","Syndiniales","Alveolata",FALSE,FALSE,"Q3",0.843,TRUE,FALSE
"Dinophyceae_ASV_23704","Maxillopoda_ASV_13793",0.839,-0.002,"Dinophyceae","Alveolata","Arthropoda","Opisthokonta",FALSE,FALSE,"Q3",0.837,TRUE,FALSE
"Heterocapsa_ASV_23734","Arenicola_ASV_18312",0.836,0.002,"Dinophyceae","Alveolata","Annelida","Opisthokonta",FALSE,FALSE,"Q1",0.834,TRUE,TRUE
"Heterocapsa_ASV_23734","Telonemia-Group-2_X_ASV_18212",0.9,0.073,"Dinophyceae","Alveolata","Telonemia_XX","Telonemia",FALSE,FALSE,"Q1",0.827,TRUE,TRUE
"OTU_ASV_25040","Tintinnidae_X_ASV_5334",0.893,0.078,NA,NA,"Spirotrichea","Alveolata",FALSE,FALSE,"Q1",0.815,TRUE,TRUE
"Phallusia_ASV_17107","Telonemia-Group-2_X_ASV_18212",0.825,0.01,"Urochordata","Opisthokonta","Telonemia_XX","Telonemia",FALSE,FALSE,"Q1",0.815,TRUE,TRUE
"Paracalanus_ASV_13346","Telonemia-Group-2_X_ASV_18236",0.812,-0.005,"Arthropoda","Opisthokonta","Telonemia_XX","Telonemia",FALSE,FALSE,"Q3",0.807,TRUE,FALSE
"MAST-1C_ASV_7330","Hemiselmis:nucl_ASV_25423",0.858,-0.052,"Gyrista_X","Stramenopiles","Cryptophyceae:nucl","Cryptophyta:nucl",FALSE,FALSE,"Q3",0.806,TRUE,FALSE
"Skeletonema_ASV_9621","Maxillopoda_ASV_13793",0.857,0.052,"Mediophyceae","Stramenopiles","Arthropoda","Opisthokonta",FALSE,FALSE,"Q1",0.805,TRUE,TRUE
"Heterocapsa_ASV_23734","Mantoniella_ASV_21412",0.814,0.014,"Dinophyceae","Alveolata","Mamiellophyceae","Chlorophyta",FALSE,FALSE,"Q1",0.8,TRUE,TRUE
"Gymnodiniaceae_ASV_23319","Membranipora_ASV_17859",0.805,0.005,"Dinophyceae","Alveolata","Bryozoa","Opisthokonta",FALSE,FALSE,"Q1",0.799,TRUE,TRUE
"Dinophyceae_ASV_23712","Ostreococcus_ASV_21458",0.817,0.02,"Dinophyceae","Alveolata","Mamiellophyceae","Chlorophyta",FALSE,FALSE,"Q1",0.797,TRUE,TRUE
"Amphidomataceae_ASV_23742","Filosa-Thecofilosea_ASV_15150",0.834,0.038,"Dinophyceae","Alveolata","Filosa-Thecofilosea","Rhizaria",FALSE,FALSE,"Q1",0.795,TRUE,TRUE
"Telonemia-Group-2_X_ASV_18212","Ostreococcus_ASV_21458",0.854,0.066,"Telonemia_XX","Telonemia","Mamiellophyceae","Chlorophyta",FALSE,FALSE,"Q1",0.788,TRUE,TRUE
"Dinophyceae_ASV_23740","Chaetoceros_ASV_11073",0.863,0.075,"Dinophyceae","Alveolata","Mediophyceae","Stramenopiles",FALSE,FALSE,"Q1",0.788,TRUE,TRUE
"Paracalanus_ASV_13346","Chrysochromulina_ASV_20888",0.796,-0.008,"Arthropoda","Opisthokonta","Prymnesiophyceae","Haptophyta",FALSE,FALSE,"Q3",0.788,TRUE,FALSE
"Gymnodiniaceae_ASV_23647","Chaetoceros_ASV_11073",0.83,-0.045,"Dinophyceae","Alveolata","Mediophyceae","Stramenopiles",FALSE,FALSE,"Q3",0.784,TRUE,FALSE
"Gymnodiniaceae_ASV_23647","Parafavella_ASV_29968",0.835,0.053,"Dinophyceae","Alveolata","Spirotrichea","Alveolata",FALSE,TRUE,"Q1",0.782,TRUE,TRUE
"Chrysochromulina_ASV_20888","Aureococcus_ASV_10692",0.781,-0.002,"Prymnesiophyceae","Haptophyta","Pelagophyceae","Stramenopiles",FALSE,FALSE,"Q3",0.779,TRUE,FALSE
"MAST-4D_ASV_8545","Lepidodinium_ASV_23822",0.796,-0.02,"Sagenista","Stramenopiles","Dinophyceae","Alveolata",FALSE,FALSE,"Q3",0.776,TRUE,FALSE
