library,sample
GAB_EUK1,GAB_EUK1_A1
GAB_EUK1,GAB_EUK1_B1
GAB_EUK1,GAB_EUK1_C1
GAB_EUK1,GAB_EUK1_D1
GAB_EUK1,GAB_EUK1_E1
GAB_EUK1,GAB_EUK1_F1
GAB_EUK1,GAB_EUK1_G1
GAB_EUK1,GAB_EUK1_H1
GAB_EUK1,GAB_EUK1_A2
GAB_EUK1,GAB_EUK1_B2
GAB_EUK1,GAB_EUK1_C2
GAB_EUK1,GAB_EUK1_D2
GAB_EUK1,GAB_EUK1_E2
GAB_EUK1,GAB_EUK1_F2
GAB_EUK1,GAB_EUK1_G2
GAB_EUK1,GAB_EUK1_H2
GAB_EUK1,GAB_EUK1_A3
GAB_EUK1,GAB_EUK1_B3
GAB_EUK1,GAB_EUK1_C3
GAB_EUK1,GAB_EUK1_D3
GAB_EUK1,GAB_EUK1_E3
GAB_EUK1,GAB_EUK1_F3
GAB_EUK1,GAB_EUK1_G3
GAB_EUK1,GAB_EUK1_H3
GAB_EUK1,GAB_EUK1_A4
GAB_EUK1,GAB_EUK1_B4
GAB_EUK1,GAB_EUK1_C4
GAB_EUK1,GAB_EUK1_D4
GAB_EUK1,GAB_EUK1_E4
GAB_EUK1,GAB_EUK1_F4
GAB_EUK1,GAB_EUK1_G4
GAB_EUK1,GAB_EUK1_H4
GAB_EUK1,GAB_EUK1_A5
GAB_EUK1,GAB_EUK1_B5
GAB_EUK1,GAB_EUK1_C5
GAB_EUK1,GAB_EUK1_D5
GAB_EUK1,GAB_EUK1_E5
GAB_EUK1,GAB_EUK1_F5
GAB_EUK1,GAB_EUK1_G5
GAB_EUK1,GAB_EUK1_H5
GAB_EUK1,GAB_EUK1_A6
GAB_EUK1,GAB_EUK1_B6
GAB_EUK1,GAB_EUK1_C6
GAB_EUK1,GAB_EUK1_D6
GAB_EUK1,GAB_EUK1_E6
GAB_EUK1,GAB_EUK1_F6
GAB_EUK1,GAB_EUK1_G6
GAB_EUK1,GAB_EUK1_H6
GAB_EUK1,GAB_EUK1_A7
GAB_EUK1,GAB_EUK1_B7
GAB_EUK1,GAB_EUK1_C7
GAB_EUK1,GAB_EUK1_D7
GAB_EUK1,GAB_EUK1_E7
GAB_EUK1,GAB_EUK1_F7
GAB_EUK1,GAB_EUK1_G7
GAB_EUK1,GAB_EUK1_H7
GAB_EUK1,GAB_EUK1_A8
GAB_EUK1,GAB_EUK1_B8
GAB_EUK1,GAB_EUK1_C8
GAB_EUK1,GAB_EUK1_D8
GAB_EUK1,GAB_EUK1_E8
GAB_EUK1,GAB_EUK1_F8
GAB_EUK1,GAB_EUK1_G8
GAB_EUK1,GAB_EUK1_H8
GAB_EUK1,GAB_EUK1_A9
GAB_EUK1,GAB_EUK1_B9
GAB_EUK1,GAB_EUK1_C9
GAB_EUK1,GAB_EUK1_D9
GAB_EUK1,GAB_EUK1_E9
GAB_EUK1,GAB_EUK1_F9
GAB_EUK1,GAB_EUK1_G9
GAB_EUK1,GAB_EUK1_H9
GAB_EUK1,GAB_EUK1_A10
GAB_EUK1,GAB_EUK1_B10
GAB_EUK1,GAB_EUK1_C10
GAB_EUK1,GAB_EUK1_D10
GAB_EUK1,GAB_EUK1_E10
GAB_EUK1,GAB_EUK1_F10
GAB_EUK1,GAB_EUK1_G10
GAB_EUK1,GAB_EUK1_H10
GAB_EUK1,GAB_EUK1_A11
GAB_EUK1,GAB_EUK1_B11
GAB_EUK1,GAB_EUK1_C11
GAB_EUK1,GAB_EUK1_D11
GAB_EUK1,GAB_EUK1_E11
GAB_EUK1,GAB_EUK1_F11
GAB_EUK1,GAB_EUK1_G11
GAB_EUK1,GAB_EUK1_H11
GAB_EUK1,GAB_EUK1_A12
GAB_EUK1,GAB_EUK1_B12
GAB_EUK1,GAB_EUK1_C12
GAB_EUK1,GAB_EUK1_D12
GAB_EUK1,GAB_EUK1_E12
GAB_EUK1,GAB_EUK1_F12
GAB_EUK1,GAB_EUK1_G12
GAB_EUK1,GAB_EUK1_H12
GAB_EUK2,P3_DEG_Xblk
GAB_EUK2,EB_bc12
GAB_EUK2,P3_B01
GAB_EUK2,MB_iso16
GAB_EUK2,MB_iso66
GAB_EUK2,SEL_10_F1
GAB_EUK2,P3_NTCa
GAB_EUK2,SEL_10_F2
GAB_EUK2,SEL_10_F3
GAB_EUK2,SEL_10_Fil
GAB_EUK2,SEL_11_F1
GAB_EUK2,P3_B02
GAB_EUK2,SEL_11_F2
GAB_EUK2,P3_FISHa
GAB_EUK2,SEL_11_F3
GAB_EUK2,SEL_11_Fil
GAB_EUK2,SEL_12_F1
GAB_EUK2,SEL_12_F2
GAB_EUK2,P3_F7_blank
GAB_EUK2,SEL_12_Fil
GAB_EUK2,P3_B03
GAB_EUK2,SEL_1_F1
GAB_EUK2,SEL_1_F2
GAB_EUK2,SEL_1_F3
GAB_EUK2,SEL_1_Fil
GAB_EUK2,SEL_2_F1
GAB_EUK2,SEL_2_F2
GAB_EUK2,SEL_2_F3
GAB_EUK2,SEL_2_Fil
GAB_EUK2,P3_B04
GAB_EUK2,SEL_3_F1
GAB_EUK2,SEL_3_F2
GAB_EUK2,P3_NTCb
GAB_EUK2,SEL_3_F3
GAB_EUK2,SEL_3_Fil
GAB_EUK2,SEL_4_F1
GAB_EUK2,SEL_4_F2
GAB_EUK2,SEL_4_F3
GAB_EUK2,P3_B05
GAB_EUK2,SEL_4_Fil
GAB_EUK2,SEL_5_F1
GAB_EUK2,SEL_5_F2
GAB_EUK2,SEL_5_F3
GAB_EUK2,SEL_5_Fil
GAB_EUK2,SEL_6_F1
GAB_EUK2,SEL_6_F2
GAB_EUK2,P3_FISHb
GAB_EUK2,P3_B06
GAB_EUK2,SEL_6_F3
GAB_EUK2,SEL_6_Fil
GAB_EUK2,SEL_7_F2
GAB_EUK2,SEL_7_F3
GAB_EUK2,SEL_7_Fil
GAB_EUK2,SEL_8_F2
GAB_EUK2,P3_B07
GAB_EUK2,SEL_8_F3
GAB_EUK2,SEL_8_Fil
GAB_EUK2,SEL_9_F1
GAB_EUK2,SEL_9_F2
GAB_EUK2,P3_NTCc
GAB_EUK2,SEL_9_Fil
GAB_EUK2,P3_B08
GAB_EUK2,TBS_10_F1
GAB_EUK2,TBS_10_F2
GAB_EUK2,TBS_10_F3
GAB_EUK2,TBS_10_Fil
GAB_EUK2,P3_FISHc
GAB_EUK2,TBS_11_F2
GAB_EUK2,P3_B09
GAB_EUK2,TBS_11_F3
GAB_EUK2,TBS_11_Fil
GAB_EUK2,TBS_12_F1
GAB_EUK2,P3_F8_blank
GAB_EUK2,TBS_12_F2
GAB_EUK2,TBS_12_F3
GAB_EUK2,P3_B10
GAB_EUK2,TBS_12_Fil
GAB_EUK2,TBS_9_F1
GAB_EUK2,TBS_9_F2
